method,category,n,fraction,ci_low,ci_high
traditional_rules,pre_trigger_contamination,2850,0.5428571428571428,0.45863451628719676,0.6241524638755094
traditional_rules,post_trigger_undershoot,396,0.07542857142857143,0.061792897828870354,0.09058714397514854
traditional_rules,pile_up,1729,0.3293333333333333,0.2645243500517546,0.40221192096993175
traditional_rules,electronics_baseline_drift,275,0.05238095238095238,0.039827347861819073,0.06795047109566264
ml_random_forest,pre_trigger_contamination,2516,0.47923809523809524,0.37513230105840845,0.5807706557984439
ml_random_forest,post_trigger_undershoot,607,0.11561904761904762,0.08984604752588403,0.1434786295086959
ml_random_forest,pile_up,1780,0.33904761904761904,0.2662048489855189,0.42450954760038895
ml_random_forest,electronics_baseline_drift,347,0.0660952380952381,0.049892910687513385,0.08455612451521055
