feature,importance
late_mean_seedcorr_adc,0.07195652412227659
peak_sample,0.06891216238969432
undershoot_samples,0.06597750255398872
raw_baseline_slope_adc_per_sample,0.06435637761398588
seed_minus_late_median_raw_adc,0.05721612006046401
w_norm_06,0.046937166757268875
w_norm_17,0.041385137780998824
w_norm_15,0.0378983434862386
pretrigger_max_seedcorr_adc,0.037751197386114745
area_over_amp_samples,0.037619909179316256
postpeak_negative_area_frac,0.03440198979290832
adaptive_lowering_adc,0.03011676695176456
postpeak_min_seedcorr_adc,0.028111860743703976
lowering_frac_amp,0.026845655702831126
width10_samples,0.025052825283571018
w_norm_16,0.024778341628840746
w_norm_03,0.024260574224060527
w_norm_14,0.024212794867121763
positive_area_over_amp_samples,0.022745631832051492
late_absmax_adc,0.022418902669868967
w_norm_13,0.017986077836398624
pretrigger_ptp_adc,0.016603791629729782
width20_samples,0.015473796064128197
w_norm_01,0.014073499904318438
w_norm_12,0.013771543004150497
secondary_peak_frac,0.012693831326500886
pretrigger_absmax_adc,0.012687659627207117
w_norm_02,0.011773331884680856
w_norm_07,0.011763098490608172
w_norm_05,0.01036929110434487
tail_area_frac,0.010179107788381134
pretrigger_min_seedcorr_adc,0.009838642233639944
w_norm_11,0.00874670210447712
w_norm_04,0.0060752964130093064
w_norm_08,0.0059232489587453
w_norm_00,0.004780776793054202
w_norm_10,0.004741926135716713
amplitude_adc,0.004655390141156181
w_norm_09,0.004564905716819143
width50_samples,0.004205154756650952
pretrigger_mean_seedcorr_adc,0.0038098022783170063
local_maxima_ge20pct,0.002327340780896293
