run,selected_pulses,large_lowering_pulses,B2,B4,B6,B8
31,27871,1634,1522,88,20,4
32,28240,1736,1620,73,27,16
33,48737,943,863,55,14,11
34,34118,603,521,56,19,7
35,11667,1161,1087,52,18,4
36,10391,1050,995,38,13,4
37,24537,3050,2857,126,48,19
39,14218,1903,1773,85,30,15
40,14708,1988,1849,94,33,12
41,16146,2063,1928,97,27,11
42,18112,2038,1920,83,25,10
44,2038,257,243,8,5,1
45,24333,2990,2793,126,51,20
46,687,37,37,0,0,0
47,5276,263,247,9,6,1
48,14000,1791,1663,84,31,13
49,14815,1938,1804,89,28,17
50,35217,1244,1129,81,25,9
51,14740,737,675,41,16,5
52,7152,341,312,16,8,5
53,32200,1154,1046,65,31,12
54,30440,985,887,67,21,10
55,17387,946,868,50,22,6
56,40148,1566,1416,101,33,16
57,13833,1753,1636,76,30,11
58,16781,504,382,83,28,11
59,21377,3510,2380,685,310,135
60,17029,2542,1340,693,355,154
61,18965,2713,1506,704,355,148
62,19089,2833,1706,652,337,138
63,18817,2464,1868,379,152,65
64,14630,1729,1355,247,97,30
65,13038,1235,1081,110,35,9
