run,traditional_label,n
44,electronics_baseline_drift,16
44,pile_up,61
44,post_trigger_undershoot,13
44,pre_trigger_contamination,167
45,electronics_baseline_drift,129
45,pile_up,732
45,post_trigger_undershoot,205
45,pre_trigger_contamination,1924
46,electronics_baseline_drift,1
46,pile_up,11
46,post_trigger_undershoot,2
46,pre_trigger_contamination,23
47,electronics_baseline_drift,15
47,pile_up,63
47,post_trigger_undershoot,18
47,pre_trigger_contamination,167
48,electronics_baseline_drift,93
48,pile_up,455
48,post_trigger_undershoot,109
48,pre_trigger_contamination,1134
49,electronics_baseline_drift,93
49,pile_up,471
49,post_trigger_undershoot,133
49,pre_trigger_contamination,1241
50,electronics_baseline_drift,96
50,pile_up,471
50,post_trigger_undershoot,110
50,pre_trigger_contamination,567
51,electronics_baseline_drift,45
51,pile_up,228
51,post_trigger_undershoot,58
51,pre_trigger_contamination,406
52,electronics_baseline_drift,21
52,pile_up,105
52,post_trigger_undershoot,30
52,pre_trigger_contamination,185
53,electronics_baseline_drift,52
53,pile_up,442
53,post_trigger_undershoot,109
53,pre_trigger_contamination,551
