method_metric,value,ci_low,ci_high,bootstrap_unit,n_bootstrap,n_scored_events,method,method_label,quantity
traditional_template_fit_secondary_fraction,0.01719134414229251,-0.013978900831017625,0.04594349860612577,source_run_within_current_group,500,9522,traditional_template_fit,Traditional bounded two-pulse template fit,secondary_fraction
traditional_template_fit_overlap_score,0.008541186143238294,-0.02795524434578718,0.04443927851090417,source_run_within_current_group,500,9522,traditional_template_fit,Traditional bounded two-pulse template fit,overlap_score
ridge_secondary_fraction,0.018107633805662302,0.007719031142668216,0.026738978482847005,source_run_within_current_group,500,9522,ridge,Ridge/logistic linear calibration,secondary_fraction
ridge_overlap_score,0.044823086915416366,0.027100237255325805,0.06310596854305478,source_run_within_current_group,500,9522,ridge,Ridge/logistic linear calibration,overlap_score
gradient_boosted_trees_secondary_fraction,0.006331351124677278,0.0032205114922853055,0.009792516740386045,source_run_within_current_group,500,9522,gradient_boosted_trees,Histogram gradient-boosted trees,secondary_fraction
gradient_boosted_trees_overlap_score,0.0198311577192375,0.007556435984306333,0.03119880136032499,source_run_within_current_group,500,9522,gradient_boosted_trees,Histogram gradient-boosted trees,overlap_score
mlp_secondary_fraction,-0.0024213429282832133,-0.010550436298888603,0.006036456444087543,source_run_within_current_group,500,9522,mlp,Multilayer perceptron,secondary_fraction
mlp_overlap_score,0.004659808962015193,-0.03842629109132377,0.04373163953401182,source_run_within_current_group,500,9522,mlp,Multilayer perceptron,overlap_score
one_d_cnn_secondary_fraction,0.01753714123955326,0.009172147609333057,0.024449671403051987,source_run_within_current_group,500,9522,one_d_cnn,Compact 1D-CNN,secondary_fraction
one_d_cnn_overlap_score,0.05625882458787572,0.022687942620758232,0.08887752641747326,source_run_within_current_group,500,9522,one_d_cnn,Compact 1D-CNN,overlap_score
residual_shape_extratrees_secondary_fraction,0.007142901679964327,0.0026379786622999298,0.012679609361455384,source_run_within_current_group,500,9522,residual_shape_extratrees,Residual-shape ExtraTrees ensemble,secondary_fraction
residual_shape_extratrees_overlap_score,0.02650315859615362,0.011867018350183988,0.041415438348620506,source_run_within_current_group,500,9522,residual_shape_extratrees,Residual-shape ExtraTrees ensemble,overlap_score
