method,method_label,metric,value,ci_low,ci_high,bootstrap_unit,n_bootstrap
traditional_template_fit,Traditional bounded two-pulse template fit,real_overlap_fraction_rank_discordance,0.031324578008826084,0.029629127257527456,0.03324575635770707,source_run_within_current_group,500
ridge,Ridge/logistic linear calibration,real_overlap_fraction_rank_discordance,0.1125118293584792,0.10447673018820833,0.1205799436583823,source_run_within_current_group,500
gradient_boosted_trees,Histogram gradient-boosted trees,real_overlap_fraction_rank_discordance,0.11652841796715163,0.11237322719302426,0.12099571017823005,source_run_within_current_group,500
mlp,Multilayer perceptron,real_overlap_fraction_rank_discordance,0.23663384511866326,0.22382758398958807,0.24899899435604347,source_run_within_current_group,500
one_d_cnn,Compact 1D-CNN,real_overlap_fraction_rank_discordance,0.02950000796307568,0.02569988628102467,0.035014092690570306,source_run_within_current_group,500
residual_shape_extratrees,Residual-shape ExtraTrees ensemble,real_overlap_fraction_rank_discordance,0.08239532272316365,0.0786681015920393,0.08647411915457937,source_run_within_current_group,500
