feature,family
log_amplitude,energy_window
pedestal_even_adc,pedestal_sideband
pedestal_odd_adc,pedestal_sideband
pedestal_delta_adc,pedestal_sideband
peak_sample,timing_shape
tail_10_17,pulse_shape
tail_12_17,pulse_shape
early_0_4,pulse_shape
rise_20_80,timing_shape
cfd20,timing_shape
cfd50,timing_shape
max_rise_step,pulse_shape
max_fall_step,pulse_shape
fft_k1_fraction,pulse_shape
fft_high_over_low,pulse_shape
saturation_flag,energy_window
pileup_proxy,context
energy_bin,energy_window
stave_idx,pid_depth_proxy
stave_B2,pid_depth_proxy
stave_B4,pid_depth_proxy
stave_B6,pid_depth_proxy
stave_B8,pid_depth_proxy
