method,pid_auc,pid_auc_ci_low,pid_auc_ci_high,pid_accuracy,pid_accuracy_ci_low,pid_accuracy_ci_high,tn,fp,fn,tp,pedestal_residual_corr,pedestal_residual_corr_ci_low,pedestal_residual_corr_ci_high,timing_residual_corr,timing_residual_corr_ci_low,timing_residual_corr_ci_high
ML_gradient_boosted_trees,0.9992777600170252,0.9989261253877124,0.9996437225012099,0.9924684906240393,0.9894978769381868,0.9949775706680054,6470,36,62,6444,0.022137813200235397,-0.02021089690896922,0.06117558397092161,-0.014885080050154792,-0.051936249269963236,0.013239638978367985
ML_ridge,0.9949290111168871,0.9924020826840498,0.9972312281478316,0.9631878266215801,0.9486219886672856,0.9686223736741132,6079,427,52,6454,0.020757901903695013,-0.013030556824567736,0.05468178826943663,-0.042750764383341994,-0.08172349234660319,-0.01016784079270755
ML_mlp,0.9941202209334732,0.9907316075401125,0.9967654990815495,0.9670304334460498,0.9464114301826427,0.9830657222261998,6214,292,137,6369,0.05429514283921237,0.016327821457664923,0.08716062201904179,-0.03004222252411061,-0.06422030803147002,-0.0007164487646999378
traditional_sideband_energy_window,0.9783194287587547,0.974297192945125,0.9826014915764432,0.9622656009837074,0.954644086064034,0.9693651536826524,6148,358,133,6373,0.23040053853073908,0.113346191825236,0.34065322670045434,-0.4256024617611697,-0.4754177940409709,-0.37351088177383324
NN_transformer_new,0.6817797310510697,0.6580697418181751,0.7149023063929988,0.511681524746388,0.5088301486717349,0.5163357685866549,158,6348,6,6500,-0.7506930052298975,-0.7850583502319249,-0.7012057201051513,0.31501740645539245,0.28550969839224205,0.34609706943694046
NN_1d_cnn,0.6663980818765132,0.6476261562092881,0.688867138912776,0.5567937288656625,0.5484391864231026,0.5661396280830358,809,5697,70,6436,-0.2687339523556009,-0.3403269734954852,-0.19223232984057115,0.2829069952360765,0.26167434878357804,0.30717468121222236
