method,run,n,rmse_adc,mae_adc,bias_adc
ML_gradient_boosted_trees,41,1425,84.69220324435769,34.59829994468155,3.2015081639211815
ML_gradient_boosted_trees,49,1396,76.74208831411498,32.70788094354896,1.6245776493963304
ML_gradient_boosted_trees,56,1593,64.22780672301045,29.927749915823508,0.011292213434830584
ML_gradient_boosted_trees,58,1399,130.49372489742746,31.148652316882266,-4.081811763724662
ML_gradient_boosted_trees,60,2000,56.24118459273014,29.15300300459374,1.137794781187442
ML_gradient_boosted_trees,62,2000,99.14930167011514,29.9083800606403,-1.115793963954669
ML_gradient_boosted_trees,64,1771,56.11025263843181,27.35243130327981,0.023540161768987246
ML_gradient_boosted_trees,65,1428,68.38708762353734,29.827167334449452,0.9137303286190287
ML_mlp,41,1425,366.84197618868575,188.30855834960937,5.09287826805784
ML_mlp,49,1396,312.30672704062926,182.04145339703493,-6.732617058521697
ML_mlp,56,1593,355.0737504420037,227.58601197400185,-18.362548971804745
ML_mlp,58,1399,269.9549409452929,173.02172774123326,-13.689721686231655
ML_mlp,60,2000,242.4792472628015,154.91015142059325,-17.731845954895018
ML_mlp,62,2000,254.37759790819763,145.2211188697815,-15.123158145904542
ML_mlp,64,1771,211.17288812260136,141.8888253891017,-10.557735755442227
ML_mlp,65,1428,284.7139278077808,161.92940760059517,-23.938258168410186
ML_ridge,41,1425,269.2414232648816,189.3917894222862,4.536448310718201
ML_ridge,49,1396,277.3859678429487,193.31235204658398,9.477768162943232
ML_ridge,56,1593,330.02249460197106,230.88932705464336,-28.634088069630806
ML_ridge,58,1399,276.835584043377,188.89255857978912,3.580294692916816
ML_ridge,60,2000,223.39665323006483,157.17170947265626,27.97455615234375
ML_ridge,62,2000,224.44223408731438,149.5397666015625,25.350625
ML_ridge,64,1771,230.94661286287737,163.518484174835,14.607277058666538
ML_ridge,65,1428,276.1699333575996,184.00858099587492,19.505004369912026
NN_1d_cnn,41,1425,3649.3833545439757,3268.7092342550714,3082.441469383909
NN_1d_cnn,49,1396,3707.2022587481392,3335.361214099436,3204.2854292467878
NN_1d_cnn,56,1593,3468.865536355072,2979.8517751460245,2739.5234148943864
NN_1d_cnn,58,1399,3709.699546794969,3361.9952580177246,3268.732628146779
NN_1d_cnn,60,2000,3725.1957008816125,3413.8573521118165,3342.58199407959
NN_1d_cnn,62,2000,3889.6480498246824,3602.6672473754884,3531.0156060180666
NN_1d_cnn,64,1771,4162.231385438508,3855.2026152134213,3780.18102400105
NN_1d_cnn,65,1428,4036.5354286846127,3726.6340706448595,3667.067766974954
NN_transformer_new,41,1425,13559.192790707712,13218.01869800233,13160.579584104304
NN_transformer_new,49,1396,13586.25323856404,13182.140312566456,13115.305349180555
NN_transformer_new,56,1593,13221.314454646154,12976.697454975749,12958.619511127172
NN_transformer_new,58,1399,14057.994496871856,13835.370880410534,13823.866234234692
NN_transformer_new,60,2000,13712.861710518599,13422.25348071289,13402.56504345703
NN_transformer_new,62,2000,13798.096192604164,13487.51284161377,13467.439869567872
NN_transformer_new,64,1771,14255.03964245454,13996.311482356808,13978.690524255806
NN_transformer_new,65,1428,14322.825330121874,14018.704499829717,14001.752118877335
traditional_sideband_energy_window,41,1425,430.15819866306737,182.73753966814795,61.74629232697481
traditional_sideband_energy_window,49,1396,468.89831099221414,203.34700864179754,59.421865097619225
traditional_sideband_energy_window,56,1593,380.25808891416716,135.28656196078674,20.41014750085552
traditional_sideband_energy_window,58,1399,360.38951994975804,120.5541192867461,30.015963147292297
traditional_sideband_energy_window,60,2000,453.0027383194142,200.32824245100116,132.3945955797416
traditional_sideband_energy_window,62,2000,426.9895061711844,186.46541007550468,130.10696909065211
traditional_sideband_energy_window,64,1771,392.8210059185132,161.8593321660929,99.15774258107973
traditional_sideband_energy_window,65,1428,443.28895244993754,166.8411106513343,71.17983889046921
