method,amp_low,amp_high,n,sigma68_ns,mae_ns,bias_ns,rms_ns
le500,5.543982850165858,21058.786135772705,2202,25.225814783685166,43.58408495979483,43.56717409201171,25.54327862340817
le500,21058.786135772705,23488.52464918474,2552,15.049313473763007,34.10284197029116,34.09692688148548,14.345550561618621
le500,23488.52464918474,25788.50326685014,2552,15.114471577641496,34.988348651468264,34.97695891942732,14.197338297042501
le500,25788.50326685014,29384.366719648366,2552,15.19091847411257,35.609981813649014,35.602308790251726,14.146158929105102
le500,29384.366719648366,54131.75282998995,2552,15.077807644515243,35.039447778205066,35.036806746915914,13.730263302314233
cfd20,5.543982850165858,21058.786135772705,2552,21.20614677025362,448.7429171836233,-355.87657099489,10642.015861404157
cfd20,21058.786135772705,23488.52464918474,2552,17.031086268743017,43.88657945259783,43.88643067691738,15.967343846125667
cfd20,23488.52464918474,25788.50326685014,2552,16.04156865866049,45.30459982730814,45.30442377958124,15.641119063838017
cfd20,25788.50326685014,29384.366719648366,2552,15.986590440028445,46.17726044836992,46.177067073253774,15.728611026167785
cfd20,29384.366719648366,54131.75282998995,2552,16.066903982932452,46.113747111957984,46.113747111957984,15.455477587410389
cfd30,5.543982850165858,21058.786135772705,2552,24.656018658103125,451.7385793234601,-351.4317566796409,10642.153963460905
cfd30,21058.786135772705,23488.52464918474,2552,16.794510318684903,46.92365140288489,46.92365140288489,16.265188236941633
cfd30,23488.52464918474,25788.50326685014,2552,16.237093195164846,48.34714279354897,48.34714279354897,15.888623938820942
cfd30,25788.50326685014,29384.366719648366,2552,16.302613885903625,49.179144113704815,49.179144113704815,15.962132307625776
cfd30,29384.366719648366,54131.75282998995,2552,16.277070179858804,49.017241797435574,49.017241797435574,15.694966158116165
cfd40,5.543982850165858,21058.786135772705,2552,28.055744801988542,453.9987100711001,-347.84571576438265,10641.759230332324
cfd40,21058.786135772705,23488.52464918474,2552,17.085158759669547,49.60507225277035,49.60507225277035,16.462865396882066
cfd40,23488.52464918474,25788.50326685014,2552,16.537579673065803,51.025189123976105,51.025189123976105,16.036211275566153
cfd40,25788.50326685014,29384.366719648366,2552,16.515666869889543,51.83234364386932,51.83234364386932,16.092807593326576
cfd40,29384.366719648366,54131.75282998995,2552,16.59225646143616,51.52949027637438,51.52949027637438,15.88332776963397
template_phase,5.543982850165858,21058.786135772705,2552,2.193840427030829,410.6942453383348,-392.08414041498173,10639.413907199258
template_phase,21058.786135772705,23488.52464918474,2552,2.2054599281447214,10.423048063725558,10.423048063725558,2.1368656989084815
template_phase,23488.52464918474,25788.50326685014,2552,2.1977621933119575,11.236602492100763,11.236602492100763,2.071100671569493
template_phase,25788.50326685014,29384.366719648366,2552,0.3920897651093824,12.16905817570301,12.16905817570301,1.5111691728921743
template_phase,29384.366719648366,54131.75282998995,2552,0.35594523195203376,12.445147800358326,12.445147800358326,0.5962121792823926
of_1_9,5.543982850165858,21058.786135772705,2552,1.8903208894096775,413.3881588109185,-386.1479638240569,10638.997788582703
of_1_9,21058.786135772705,23488.52464918474,2552,1.8775679062038213,13.73045182441872,13.73045182441872,2.5257243579897226
of_1_9,23488.52464918474,25788.50326685014,2552,1.867387051404016,14.018096398520346,14.018096398520346,2.278420370960399
of_1_9,25788.50326685014,29384.366719648366,2552,1.5265607386472873,14.402363520660044,14.402363520660044,2.105450785145401
of_1_9,29384.366719648366,54131.75282998995,2552,1.4800919253919247,13.75268692991759,13.75268692991759,2.2465153262461213
of_2_10,5.543982850165858,21058.786135772705,2552,2.5808767030329083,411.64579940679874,-388.2082625769266,10638.96488801641
of_2_10,21058.786135772705,23488.52464918474,2552,2.583670374645889,11.969991976754805,11.969991976754805,3.2276812194479305
of_2_10,23488.52464918474,25788.50326685014,2552,2.581591604720405,12.374965424637981,12.374965424637981,2.9191084945981354
of_2_10,25788.50326685014,29384.366719648366,2552,1.9399774403654622,12.922723955888939,12.922723955888939,2.6611154571400117
of_2_10,29384.366719648366,54131.75282998995,2552,1.7936133383951516,12.222052910045202,12.222052910045202,2.729621128776697
analytic_timewalk,5.543982850165858,21058.786135772705,2552,2.3842325581371666,403.8670077571801,-400.5089280652694,10638.105646544855
analytic_timewalk,21058.786135772705,23488.52464918474,2552,2.2077447410719673,2.369303096867627,-1.88155942479304,2.134069217229082
analytic_timewalk,23488.52464918474,25788.50326685014,2552,2.2015477081435004,1.7410689318892403,-1.1469239123487973,2.068838875003103
analytic_timewalk,25788.50326685014,29384.366719648366,2552,0.41348350290235114,0.9024807338779763,-0.29577272211552985,1.5069004384019824
