method,run,n,sigma68_ns,mae_ns,bias_ns,rms_ns
le500,58,1771,15.278293391885496,36.72471202831387,36.713652613848474,16.908976995005894
le500,59,1767,15.302631874889713,36.553461074341854,36.53878718535044,17.135359759789903
le500,60,1785,15.21404904425183,36.333760766897115,36.33021015154797,16.66098023834239
le500,61,1783,15.297011482871204,36.80620207876188,36.79183153985691,17.66528600877734
le500,62,1752,15.279560490283696,36.411669806657805,36.41054803301623,17.12313596171893
le500,63,1774,15.198066619909081,36.165910067376174,36.16203786700751,16.82738198451271
le500,65,1774,15.194123020238484,36.27770447772573,36.26563516193491,16.97527414645256
cfd20,58,1824,17.46582142599214,264.07435791523653,-172.59647326685408,9299.3448347783
cfd20,59,1824,17.490485733690328,46.18276395702512,44.776605839764976,21.36042588000499
cfd20,60,1824,16.8199212496752,294.68640982556946,-203.56968993843964,7509.395341128032
cfd20,61,1821,17.309735325630616,139.31229484917213,-47.36340045106413,3964.5987713110526
cfd20,62,1821,17.08829532236213,46.05849538416584,44.81313572134771,20.984393592140947
cfd20,63,1821,16.908511293509626,45.903254894679876,45.24430310743168,19.58869963986747
cfd20,65,1821,17.276457421763553,45.88059071160579,44.719410299563684,20.71550814342696
cfd30,58,1824,17.414602035981915,266.95836748189777,-169.25844260340543,9299.395316386363
cfd30,59,1824,17.409355916597914,49.08030418863612,48.11557537289911,20.945739428826364
cfd30,60,1824,16.870787206001886,297.7082277326571,-200.32352194584817,7509.484041603567
cfd30,61,1821,17.30404896925173,142.2600071455372,-44.190550472456486,3964.672375112085
cfd30,62,1821,17.2347901370579,49.23012267390093,48.23899049751854,21.05175681690118
cfd30,63,1821,17.007713248489388,48.9760683563789,48.55727841565191,19.610373468619542
cfd30,65,1821,17.22451795778708,48.85717720027233,47.886432821799026,20.731716537007415
cfd40,58,1824,17.685929843624386,269.58281742487407,-166.3787098821712,9299.435312538219
cfd40,59,1824,17.75794004913432,51.57375387681297,51.06216907612905,20.26616440741129
cfd40,60,1824,17.18132182867437,300.2806979706512,-197.54991842221716,7508.5666512706375
cfd40,61,1821,17.724027849243548,144.8316623952677,-41.48800808360218,3964.7356120330605
cfd40,62,1821,17.609290350587834,51.76703947032127,51.035385884450044,20.845293204807586
cfd40,63,1821,17.37488299580297,51.53072111596659,51.27411504910659,19.428246183840628
cfd40,65,1821,17.603883065843092,51.402111767909275,50.82592660732914,20.16522656000478
template_phase,58,1824,2.194445752729682,229.2131212659989,-207.05767411273933,9297.751574041667
template_phase,59,1824,2.1944194885390083,11.53174344333757,10.63094743622903,5.010070829545957
template_phase,60,1824,2.1944386383192818,260.1321100528823,-237.893185806307,7507.365458208023
template_phase,61,1821,2.194122027982978,104.3200276889316,-82.03551733561672,3962.6904477097787
template_phase,62,1821,2.194544219602851,11.437205461125075,10.700856418326346,4.604779630911898
template_phase,63,1821,2.19437470399311,11.441885431934494,10.903434463062686,4.105200620305817
