n,sigma68_ns,mae_ns,bias_ns,rms_ns,ci_low,ci_high,data_anchor_pull_sigma,method,method_class
5300,15.224176851061896,36.284569378165145,36.27886266173364,16.975383857650826,15.194175798820147,15.282404911784063,124.7652441005627,le500,traditional
5463,17.09434846996334,45.94744699681717,44.92561637611436,20.43975651948623,16.914810705060646,17.28411011265441,141.76680427239398,cfd20,traditional
5463,17.195523888590195,49.021122743517395,48.22756724498983,20.475778339857662,17.075975620858756,17.281307444064858,142.6865808053654,cfd30,traditional
5463,17.53192802171803,51.56662411806572,51.04514251362859,20.155395803754622,17.382715967624023,17.63873378685652,145.74480019743663,cfd40,traditional
5463,2.194437083830146,11.45321316262275,10.805607338384124,4.392807403802693,2.194387626280097,2.194549274076728,6.313064398455874,template_phase,traditional
5463,1.8619677757847706,13.94224992052249,13.894110415377213,3.926282505498575,1.861191724823179,1.8634533590617153,3.2906161434979144,of_1_9,traditional
5463,2.5807105660381513,12.313975844139108,12.20542592783509,4.371113679352614,2.570756085418516,2.592065388285384,9.82464150943774,of_2_10,traditional
5463,2.169018153776435,1.9554316501379008,-0.8031092178444384,3.5422410178156047,2.167742137541083,2.1696416278975286,6.08198321614941,analytic_timewalk,traditional
5463,693.412923761937,939.1229293453515,136.74067234512694,2886.1164164152065,669.4360735416412,717.3135213065523,6290.1174887448815,ridge,ml_nn
5463,0.036075061865446824,170.27432311532328,102.09968327378431,1460.8681934276663,0.0358232350876905,0.03645293838842903,-13.308408528495939,gradient_boosted_trees,ml_nn
5463,2.2912701090472094,11.896171310840469,11.40187231903705,4.1094303884791135,2.2867567684548247,2.307164457072531,7.193364627701904,mlp,ml_nn
5463,2.933381553851259,41.789413846753426,41.78772101370639,5.699921034396408,2.9139694687025894,2.9567408081190933,13.030741398647807,1d_cnn,ml_nn
5463,2.227937879194534,18.521909011690095,18.076302166850716,4.61481668539284,2.2256645675795426,2.228430938352858,6.617617083586672,physics_residual_gate,ml_nn
