run,events,candidate_pretrigger_rows,sampled_rows
31,39990,639840,12000
32,41921,670736,12000
33,57173,914768,12000
34,39765,636240,12000
35,27786,444576,12000
36,21764,348224,12000
37,50513,808208,12000
39,30321,485136,12000
40,32613,521808,12000
41,33997,543952,12000
42,33972,543552,12000
44,4294,68704,12000
45,48181,770896,12000
46,1441,23056,12000
47,10970,175520,12000
48,31713,507408,12000
49,32354,517664,12000
50,44804,716864,12000
51,20569,329104,12000
52,10005,160080,12000
53,39612,633792,12000
54,37413,598608,12000
55,24416,390656,12000
56,51823,829168,12000
57,31284,500544,12000
58,34141,546256,12000
59,42303,676848,12000
60,36074,577184,12000
61,36535,584560,12000
62,37584,601344,12000
63,37030,592480,12000
64,35943,575088,12000
65,38424,614784,12000
