model,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
ridge,1.6103124519596401,0.02131819725036621,32,10.0,,,
gradient_boosted_trees,1.5736097853144362,1.0477707386016846,140,,0.03,,
mlp,1.7027109245517833,0.9107184410095215,1056,,,32.0,
cnn,2.065701379563322,1.019885778427124,361,,,,8.0
attention_quant,1.9765436839721904,4.338707685470581,433,,,,8.0
