stratum_family,stratum,model,n_pair_residuals,sigma68_ns,median_abs_residual_ns
quantization_stratum,half_step_grid,attention_quant,1158,2.3625921574697473,1.7866015181236037
quantization_stratum,half_step_grid,cnn,1158,1.693470680818551,1.360679892049788
quantization_stratum,half_step_grid,gradient_boosted_trees,1158,1.5038429996917537,1.5930839166780117
quantization_stratum,half_step_grid,mlp,1158,1.49640276508637,1.4871687048969449
quantization_stratum,half_step_grid,ridge,1158,1.4124234827072266,1.6047433867760006
quantization_stratum,half_step_grid,traditional_template_phase,1158,3.031445957527147,3.83779773566053
quantization_stratum,integer_grid,attention_quant,1152,2.3622282091245608,1.7860546356143665
quantization_stratum,integer_grid,cnn,1152,1.6826670909976884,1.3555982980594585
quantization_stratum,integer_grid,gradient_boosted_trees,1152,1.4828704270565256,1.5930839166780117
quantization_stratum,integer_grid,mlp,1152,1.4824114279196174,1.4871687048969449
quantization_stratum,integer_grid,ridge,1152,1.414031700948875,1.5769695296593014
quantization_stratum,integer_grid,traditional_template_phase,1152,2.8939930472240434,3.83779773566053
pulse_shape_stratum,compact,attention_quant,597,2.1601979396209634,1.5780044000167877
pulse_shape_stratum,compact,cnn,597,1.6208695373401556,1.0336339220695265
pulse_shape_stratum,compact,gradient_boosted_trees,597,1.2187105428420373,1.6044987965245738
pulse_shape_stratum,compact,mlp,597,1.4722406366151517,1.484452272922539
pulse_shape_stratum,compact,ridge,597,1.2309113334414004,1.6829565022278032
pulse_shape_stratum,compact,traditional_template_phase,597,2.8939930472240363,3.83779773566053
pulse_shape_stratum,mid_tail,attention_quant,762,2.638254820452686,2.213885590434078
pulse_shape_stratum,mid_tail,cnn,762,1.938740019903171,1.6092238028030295
pulse_shape_stratum,mid_tail,gradient_boosted_trees,762,1.6282020506846513,1.3759814347235348
pulse_shape_stratum,mid_tail,mlp,762,1.678023017906424,1.3868341896820162
pulse_shape_stratum,mid_tail,ridge,762,1.7199491801395521,1.3886991739273071
pulse_shape_stratum,mid_tail,traditional_template_phase,762,3.2814459575271506,3.83779773566053
pulse_shape_stratum,tail_rich,attention_quant,780,2.3894559318876194,1.9801578472871881
pulse_shape_stratum,tail_rich,cnn,780,1.7234705568408888,1.4936182841949162
pulse_shape_stratum,tail_rich,gradient_boosted_trees,780,1.6546322454433136,1.5604103785200145
pulse_shape_stratum,tail_rich,mlp,780,1.4659275328064159,1.454230522542975
pulse_shape_stratum,tail_rich,ridge,780,1.5507989118051966,1.4954793209133364
pulse_shape_stratum,tail_rich,traditional_template_phase,780,3.031445957527154,3.8377977356605157
timing_phase_stratum,early_peak,attention_quant,636,2.1543496433362876,1.5740195016880065
timing_phase_stratum,early_peak,cnn,636,1.4554798198795185,1.032704328029606
timing_phase_stratum,early_peak,gradient_boosted_trees,636,1.2517054367122504,1.642158007864122
timing_phase_stratum,early_peak,mlp,636,1.5494311716934277,1.5191735878296129
timing_phase_stratum,early_peak,ridge,636,1.2738075898784713,1.7062220925388587
timing_phase_stratum,early_peak,traditional_template_phase,636,2.7814459575271484,3.83779773566053
timing_phase_stratum,late_peak,attention_quant,660,2.4491303927029016,2.0040109902620316
timing_phase_stratum,late_peak,cnn,660,1.890176838384627,1.494580720394108
timing_phase_stratum,late_peak,gradient_boosted_trees,660,1.636992318550541,1.562964689164314
