model,alpha,fold,sigma68_ns,train_seconds,learning_rate,hidden,width,n_parameters
ridge,0.1,0,2.060017173967064,0.01229715347290039,,,,
ridge,0.1,1,1.3275766645520046,0.004883289337158203,,,,
ridge,0.1,2,1.4806170162698358,0.003824472427368164,,,,
ridge,0.1,-1,1.6227369515963013,,,,,
ridge,1.0,0,2.0613599986645603,0.0120086669921875,,,,
ridge,1.0,1,1.3296701108067401,0.011327266693115234,,,,
ridge,1.0,2,1.4803037691116403,0.011241436004638672,,,,
ridge,1.0,-1,1.623777959527647,,,,,
ridge,10.0,0,2.053145457757957,0.0072596073150634766,,,,
ridge,10.0,1,1.3056101861843878,0.011635541915893555,,,,
ridge,10.0,2,1.4721817119365752,0.015006065368652344,,,,
ridge,10.0,-1,1.6103124519596401,,,,,
gradient_boosted_trees,,0,1.8973443891818647,0.5064754486083984,0.03,,,
gradient_boosted_trees,,1,1.463435368948441,0.4338815212249756,0.03,,,
gradient_boosted_trees,,2,1.3600495978130036,0.40378880500793457,0.03,,,
gradient_boosted_trees,,-1,1.5736097853144362,,0.03,,,
gradient_boosted_trees,,0,1.899626834507455,0.4181227684020996,0.08,,,
gradient_boosted_trees,,1,1.5491901751045618,0.4159996509552002,0.08,,,
gradient_boosted_trees,,2,1.4483067469239341,0.44365477561950684,0.08,,,
gradient_boosted_trees,,-1,1.6323745855119836,,0.08,,,
mlp,,0,2.1451225943180945,3.1105756759643555,,32.0,,
mlp,,1,1.4291315089314367,0.9996213912963867,,32.0,,
mlp,,2,1.5338786704058183,1.1203787326812744,,32.0,,
mlp,,-1,1.7027109245517833,,,32.0,,
mlp,,0,2.097851656570447,1.2464385032653809,,64.0,,
mlp,,1,1.5163976656341698,2.6240551471710205,,64.0,,
mlp,,2,1.495089088930137,1.1239421367645264,,64.0,,
mlp,,-1,1.7031128037115846,,,64.0,,
cnn,,0,2.0335955825910492,0.725022554397583,,,8.0,361.0
cnn,,1,2.060373274788849,0.6772921085357666,,,8.0,361.0
cnn,,2,2.1031352813100677,0.5466156005859375,,,8.0,361.0
cnn,,-1,2.065701379563322,,,,8.0,
attention_quant,,0,1.4486078539953122,2.9957964420318604,,,8.0,433.0
attention_quant,,1,2.1250544206356903,2.9314465522766113,,,8.0,433.0
attention_quant,,2,2.355968777285569,2.1432712078094482,,,8.0,433.0
attention_quant,,-1,1.9765436839721904,,,,8.0,
