model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_traditional_template_phase_ns,delta_ci_low,delta_ci_high,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
ridge,436,1308,1.4089965930118609,1.3300746842370068,1.4759245933521798,2.4268621421822933,-1.6059550152789102,-1.6926226184865842,-1.4246218888804068,1.6103124519596401,0.02131819725036621,32.0,10.0,,,
mlp,436,1308,1.4930082740917245,1.4220205481876014,1.5507265707481948,2.3023245191064827,-1.5219433341990465,-1.615922046025076,-1.3581739881975947,1.7027109245517833,0.9107184410095215,1056.0,,,32.0,
gradient_boosted_trees,436,1308,1.4953506100709169,1.400652424252051,1.5747237467511366,2.1078226204889075,-1.5196009982198542,-1.6396491110982117,-1.3192693004729052,1.5736097853144362,1.0477707386016846,140.0,,0.03,,
cnn,436,1308,1.6849959612941645,1.632143954144478,1.7472930569052694,2.5697500579360546,-1.3299556469966065,-1.349265654981132,-1.2028609976778113,2.065701379563322,1.019885778427124,361.0,,,,8.0
attention_quant,436,1308,2.362093182545542,2.1614377727523975,2.3874474992728523,2.888243031975654,-0.652858425745229,-0.7396236183196323,-0.5194301086366179,1.9765436839721904,4.338707685470581,433.0,,,,8.0
traditional_template_phase,436,1308,3.014951608290771,2.8939930472240363,3.0314459575271506,3.281488707530945,0.0,0.0,0.0,,,,,,,
