run,model,n_pair_residuals,sigma68_ns,full_rms_ns
63,attention_quant,1110,2.3749780598745276,3.012908600728998
63,cnn,1110,1.6886447621440788,2.7028189962446194
63,gradient_boosted_trees,1110,1.491487629097282,2.179470645328314
63,mlp,1110,1.5084363665714349,2.4048424599362006
63,ridge,1110,1.417535560098806,2.53927898996344
63,traditional_template_phase,1110,3.0314459575271453,3.394297529488811
65,attention_quant,198,2.144251450624952,2.05196507657471
65,cnn,198,1.6223068675861345,1.6312469094045743
65,gradient_boosted_trees,198,1.4870913725929598,1.6469028781833412
65,mlp,198,1.4209654914088532,1.6106851037761878
65,ridge,198,1.3458013809654281,1.6600133894071556
65,traditional_template_phase,198,2.835468560581656,2.5574771493619264
