run,group,events_total,median_first_four_selected,dynamic_range_selected,dynamic_only,median_only,B2,B4,B6,B8
31,sample_i_calib,39990,27871,30065,2194,0,26948,592,237,94
32,sample_i_calib,41921,28240,30641,2401,0,27316,605,224,95
33,sample_i_calib,57173,48737,49818,1081,0,47724,559,318,136
34,sample_i_calib,39765,34118,34760,642,0,33373,412,244,89
35,sample_i_calib,27786,11667,13793,2126,0,11029,403,163,72
36,sample_i_calib,21764,10391,12107,1716,0,9847,340,143,61
37,sample_i_calib,50513,24537,29337,4800,0,22956,997,423,161
39,sample_i_calib,30321,14218,17229,3011,0,13174,663,273,108
40,sample_i_calib,32613,14708,18041,3333,0,13575,707,310,116
41,sample_i_calib,33997,16146,19428,3282,0,14963,758,298,127
42,sample_i_calib,33972,18112,21290,3178,0,16977,711,307,117
44,sample_i_analysis,4294,2038,2463,425,0,1884,93,44,17
45,sample_i_analysis,48181,24333,28993,4660,0,22786,969,401,177
46,sample_i_analysis,1441,687,736,49,0,675,7,3,2
47,sample_i_analysis,10970,5276,5687,411,0,5116,85,50,25
48,sample_i_analysis,31713,14000,17003,3003,0,13044,599,245,112
49,sample_i_analysis,32354,14815,17875,3060,0,13779,640,281,115
50,sample_i_analysis,44804,35217,36830,1613,0,34088,659,330,140
51,sample_i_analysis,20569,14740,15774,1034,0,14200,303,177,60
52,sample_i_analysis,10005,7152,7668,516,0,6893,148,76,35
53,sample_i_analysis,39612,32200,33603,1403,0,31225,559,296,120
54,sample_i_analysis,37413,30440,31655,1215,0,29493,536,298,113
55,sample_i_analysis,24416,17387,18686,1299,0,16735,372,199,81
56,sample_i_analysis,51823,40148,42084,1936,0,38730,825,421,172
57,sample_i_analysis,31284,13833,16792,2959,0,12774,656,273,130
58,sample_ii_analysis,34141,16781,17533,752,0,15791,591,285,114
59,sample_ii_analysis,42303,21377,23852,2475,0,13565,4527,2366,919
60,sample_ii_analysis,36074,17029,19397,2368,0,9873,4040,2189,927
61,sample_ii_analysis,36535,18965,21438,2473,0,11015,4401,2490,1059
62,sample_ii_analysis,37584,19089,21438,2349,0,11635,4183,2342,929
63,sample_ii_analysis,37030,18817,20360,1543,0,14566,2645,1153,453
64,sample_ii_calib,35943,14630,15860,1230,0,11907,1689,763,271
65,sample_ii_analysis,38424,13038,14137,1099,0,11768,842,323,105
