event_n,boundary_event_n,band_accuracy,flip_rate,boundary_band_accuracy,boundary_flip_rate,interval_band_coverage,boundary_interval_band_coverage,resolved_correct_rate,boundary_resolved_correct_rate,event_abstention_coverage,retained_boundary_flip_rate,score_abs68,method,run
11977,4788,0.9931535442932287,0.006846455706771337,0.9851712614870509,0.01482873851294908,0.9994155464640561,0.9987468671679198,0.8910411622276029,0.8304093567251462,0.927611254905235,0.010350654837346873,0.010743162132589818,strong_traditional_huber,58
10866,2023,0.9905208908521995,0.00947910914780048,0.9649036085022245,0.03509639149777555,0.9985275170255844,0.9940682155215027,0.815755567826247,0.7928818586258033,0.665470274249954,0.018877818563188264,0.20191331229166967,strong_traditional_huber,59
9097,1663,0.9912058920523249,0.0087941079476751,0.968129885748647,0.031870114251353,0.9989007365065407,0.995189416716777,0.8307134220072552,0.8610944076969332,0.5562273276904474,0.022126613398893658,0.13250656698471278,strong_traditional_huber,60
9744,1842,0.9906609195402298,0.009339080459770166,0.9636264929424538,0.03637350705754616,0.9987684729064039,0.993485342019544,0.8347701149425287,0.8621064060803475,0.38351806239737274,0.02249134948096887,0.13022650598753494,strong_traditional_huber,61
10021,1887,0.9895220037920367,0.010477996207963303,0.9613142554319025,0.03868574456809748,0.9985031433988624,0.9936406995230525,0.8390380201576689,0.8532061473237944,0.4035525396666999,0.020963172804532526,0.13811464830764672,strong_traditional_huber,62
11486,2952,0.9904231238028904,0.009576876197109563,0.9718834688346883,0.028116531165311653,0.9985199373149921,0.9952574525745257,0.8602646700330837,0.8675474254742548,0.5436183179522898,0.01614086573734408,0.0592232862281435,strong_traditional_huber,63
10030,2812,0.9903290129611166,0.00967098703888336,0.9704836415362731,0.02951635846372691,0.9982053838484546,0.9939544807965861,0.885643070787637,0.8936699857752489,0.0,,0.03944672308856115,strong_traditional_huber,64
9737,2774,0.9917839170175619,0.008216082982438144,0.976928622927181,0.023071377072819033,0.9977405771798296,0.9935111751982696,0.9006880969497791,0.9124008651766402,0.0,,0.02657241847810127,strong_traditional_huber,65
11977,4788,0.9752859647658011,0.024714035234198906,0.9388053467000835,0.06119465329991647,0.9999165066377222,0.9997911445279867,0.7778241629790432,0.5421888053467001,0.8084662269349586,0.05304178393591685,0.10105905543130889,ridge,58
10866,2023,0.9811338118903,0.018866188109699977,0.903114186851211,0.09688581314878897,0.9985275170255844,0.9920909540286703,0.7811522179274802,0.5610479485912012,0.5745444505797902,0.07874865156418553,0.2749217425276087,ridge,59
9097,1663,0.9824117841046499,0.01758821589535009,0.9122068550811786,0.0877931449188214,0.9984610311091568,0.9921828021647625,0.791909420688139,0.6157546602525557,0.38705067604704846,0.07823343848580444,0.2790827133498821,ridge,60
9744,1842,0.9791666666666666,0.02083333333333337,0.8990228013029316,0.10097719869706845,0.9976395730706076,0.987513572204126,0.7937192118226601,0.6004343105320304,0.38351806239737274,0.08419838523644751,0.2822225950469863,ridge,61
10021,1887,0.9794431693443768,0.020556830655623193,0.8987811340752517,0.10121886592474827,0.9978046103183315,0.9883412824589295,0.8159864285001497,0.6036036036036037,0.4035525396666999,0.08555240793201135,0.2702828798142363,ridge,62
11486,2952,0.9777119972139997,0.022288002786000294,0.9190379403794038,0.08096205962059622,0.9980846247605781,0.9925474254742548,0.8103778512972314,0.5802845528455285,0.5436183179522898,0.0704328686720469,0.15604691985955413,ridge,63
10030,2812,0.9781655034895314,0.02183449651046865,0.9253200568990043,0.07467994310099568,0.9983050847457627,0.9939544807965861,0.8243270189431705,0.6084637268847796,0.03280159521435693,0.19999999999999996,0.1401982166297708,ridge,64
9737,2774,0.9807949060285509,0.019205093971449094,0.9351117519826965,0.06488824801730353,0.9980486802916709,0.9935111751982696,0.8420458046626271,0.6290555155010815,0.021156413679778167,0.18181818181818177,0.10475762158434578,ridge,65
11977,4788,0.9945729314519496,0.005427068548050418,0.9864243943191312,0.013575605680868796,0.9998330132754446,0.9995822890559732,0.9410536862319445,0.8538011695906432,0.9197628788511313,0.012040557667934104,0.020179982354859974,gradient_boosted_trees,58
10866,2023,0.9946622492177434,0.005337750782256623,0.972318339100346,0.02768166089965396,0.9993557886986931,0.9965397923875432,0.9628198048960059,0.8151260504201681,0.6116326154978833,0.019453207150368024,0.08003680501226856,gradient_boosted_trees,59
9097,1663,0.9956029460261625,0.004397053973837495,0.9759470835838846,0.0240529164161154,0.9993404419039243,0.9963920625375827,0.9758162031438936,0.8821407095610343,0.5521600527646476,0.018461538461538418,0.06847751086010079,gradient_boosted_trees,60
9744,1842,0.9926108374384236,0.007389162561576401,0.9630836047774158,0.036916395222584164,0.9984605911330049,0.99185667752443,0.9767036124794746,0.8903365906623235,0.38351806239737274,0.029988465974625123,0.06251109084583846,gradient_boosted_trees,61
