claim_id,chapter,section,claim_text,current_value,unit,stat_unc,syst_unc,total_unc,ci_low,ci_high,ci_level,ci_method,bootstrap_unit,n_events,n_runs,n_data,n_mc,numerator,denominator,p_value,effect_size,baseline_value,baseline_unc,delta_vs_baseline,delta_ci_low,delta_ci_high,truth_type,status,allowed_status_validated,source_report,source_script,source_data,source_config,source_manifest,figure_ids,table_ids,source_commit,link_validated,ci_status,blocked_by,supersedes,notes
CL-001,Global,1,Selected B-stack pulses (S00 gate),640737,pulses,0,0,0,,,,,,,33,640737,,,,,,,,,,,data_count,GATED,NO,reports/S00_data_integrity_pipeline_reproduction/REPORT.md,scripts/01_build_pulse_table_from_root.py,data/processed/s00_selected_b_pulses.csv.gz,configs/s00_reproduction.yaml,reports/S00_data_integrity_pipeline_reproduction/manifest.json,FIG-GL-001,TAB-GL-001,dcde28d37b9adee4f56ee0348d090006c53d2fa1,YES,EXACT_COUNT_FIXED_INPUTS,952;953;954,,"Exact deterministic reproduction count for fixed raw inputs and algorithm; GATED until data-contract gates #952, #953, #954 pass. The count is reproducible but channel-mapping, waveform-sample-count, and raw-to-sorted closure are not yet proven."
CL-002,Timing,4,B6 single-stave timing sigma68 claim withheld,,ns,,,,,,,,,,,,,,,,,,,,,,legacy_claim_source_unresolved,GATED,NO,reports/studies/data_side/REPORT.md,scripts/studies/data_side_real_beam.py,/projects/hep/fs10/shared/nnbar/ccb_data/hrd/root/ + reports/1781028640.1299.266407ae/s00_selected_b_pulses.csv.gz,,reports/studies/paper_a02_waveform_lineage/manifest.json,,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_VALUE_WITHHELD_SOURCE_ABSENT,DATA-FORMAT-LIMITED-001;993-DISTINCT,0.68 ns legacy ledger value,[DATA-SIDE 2026-07-25; PAPER-A02 2026-08-12] LUNARC 8×16 raw: B4-B6 residual sigma68=38.0 ns (FORMAT-LIMITED; NOT DETECTOR RESOLUTION). Issue #993 closes 8×16 LUNARC raw vs 8×18 historical products as DISTINCT_SCHEMAS; sub-ns historical/toy-digitizer values are non-authorising for the located raw product. Canonical CL-002 toy-digitizer MC estimate remains withheld.
CL-003,Timing,4,B6 single-stave timing upper-bound claim withheld,,ns,,,,,,,,,,,,,,,,,,,,,,legacy_claim_source_unresolved,GATED,NO,reports/studies/data_side/REPORT.md,scripts/studies/data_side_real_beam.py,/projects/hep/fs10/shared/nnbar/ccb_data/hrd/root/ + reports/1781028640.1299.266407ae/s00_selected_b_pulses.csv.gz,,reports/studies/paper_a02_waveform_lineage/manifest.json,,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_VALUE_WITHHELD_SOURCE_ABSENT,DATA-FORMAT-LIMITED-001;993-DISTINCT,0.75 ns legacy ledger value,[DATA-SIDE 2026-07-25; PAPER-A02 2026-08-12] Same as CL-002: 8×16 LUNARC raw is format-limited (~38 ns); 18-sample historical timing non-authorising under #993 DISTINCT_SCHEMAS.
CL-004,Timing,4,Combined B4+B6+B8 timing sigma68 claim withheld,,ns,,,,,,,,,,,,,,,,,,,,,,legacy_claim_source_unresolved,GATED,NO,reports/studies/data_side/REPORT.md,scripts/studies/data_side_real_beam.py,/projects/hep/fs10/shared/nnbar/ccb_data/hrd/root/ + reports/1781028640.1299.266407ae/s00_selected_b_pulses.csv.gz,,reports/studies/paper_a02_waveform_lineage/manifest.json,,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_VALUE_WITHHELD_SOURCE_ABSENT,DATA-FORMAT-LIMITED-001;993-DISTINCT,0.54 ns legacy ledger value,[DATA-SIDE 2026-07-25; PAPER-A02 2026-08-12] Same as CL-002: combined historical sub-ns timing remains non-authorising for 8×16 LUNARC raw; cross-schema transfer quarantined by #993.
CL-005,Timing,4,Combined B4+B6+B8 timing upper-bound claim withheld,,ns,,,,,,,,,,,,,,,,,,,,,,legacy_claim_source_unresolved,BLOCKED,NO,reports/mv4_timing_1782678162/REPORT.md,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/mv4_summary.json,,,,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_VALUE_WITHHELD_SOURCE_ABSENT,BLK-MV4-LEGACY-001,0.56 ns legacy ledger value,The exact tracked MV4 report and summary contain no combined-stave upper bound or confidence interval. The former 0.56 ns entry is withheld pending a source-bound covariance-aware combination with run/block uncertainty.
CL-006,Timing,4,B4-B6 timing covariance claim withheld,,ns^2,,,,,,,,,,,,,,,,,,,,,,legacy_claim_source_unresolved,BLOCKED,NO,reports/mv4_timing_1782678162/REPORT.md,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/mv4_summary.json,,,,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_VALUE_WITHHELD_SOURCE_ABSENT,BLK-MV4-LEGACY-001,-0.127 ns^2 legacy ledger value,"The exact tracked MV4 report and summary contain no B4-B6 covariance or full 3x3 covariance matrix. The former -0.127 ns^2 entry is withheld pending event-matched stave residuals, a declared covariance estimator, and run/block bootstrap uncertainty."
CL-007,Timing,4,Legacy toy-digitizer raw timing pull (MV4),-1.054403396247793,sigma,,,,,,,fixed_source_formula_with_iid_track_bootstrap_se,,241487,,,80000,,,,,1.85,0.10,,,,legacy_toy_digitizer_diagnostic,GATED,NO,reports/mv4_timing_1782678162/REPORT.md,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/mv4_summary.json,,,FIG-TIM-014,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_ASSUMED_DATA_UNCERTAINTY_AND_IID_TRACK_BOOTSTRAP_SE,BLK-MV4-LEGACY-001,-1.05 sigma validated/PASS ledger entry,"Fixed legacy toy output: MC raw sigma68 1.744319343085384 ns with i.i.d. track-bootstrap SE 0.006755405549476786 ns, compared with a hard-coded 1.85 ns data anchor and assumed 0.10 ns uncertainty. The pull is not a beam-data validation result and is non-authorizing until strict current calibration, measured anchor uncertainty, run/block resampling, and input provenance are supplied."
CL-008,Timing,4,Legacy toy-digitizer analytic timewalk-corrected timing pull (MV4),2.680528799917713,sigma,,,,,,,fixed_source_formula_with_iid_track_bootstrap_se,,241487,,,80000,,,,,1.50,0.10,,,,legacy_toy_digitizer_diagnostic,GATED,NO,reports/mv4_timing_1782678162/REPORT.md,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/mv4_summary.json,,,FIG-TIM-015,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_ASSUMED_DATA_UNCERTAINTY_AND_IID_TRACK_BOOTSTRAP_SE,BLK-MV4-LEGACY-001,+2.68 sigma tension ledger entry,"Fixed legacy toy output: held-out analytic A+B/sqrt(amplitude) corrected MC sigma68 1.7696154242198858 ns with i.i.d. track-bootstrap SE 0.010813166729502352 ns, compared with a hard-coded 1.50 ns data anchor and assumed 0.10 ns uncertainty. The row-index parity split and absent strict input provenance make this a non-authorizing diagnostic, not an empirical detector-timing tension claim."
CL-009,Timing,4,Legacy analytic CFD20/timewalk timing verdict,REVIEW,diagnostic,,,,,,,,,,,,,,,,,,,,,,legacy_toy_digitizer_diagnostic,REVIEW,NO,reports/mv4_timing_1782678162/REPORT.md,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/mv4_summary.json,,,,TAB-TIM-003,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_QUALITATIVE_DIAGNOSTIC,BLK-MV4-LEGACY-001,ML timing verdict,"The historical producer evaluates CFD20 plus an analytic A+B/sqrt(amplitude) timewalk correction; it contains no machine-learning model. The report's overall verdict is REVIEW. The verdict is a non-authorizing legacy toy-digitizer diagnostic and does not authorize a production timing method without strict current calibration, measured data anchors, run/block validation, and source-bound outputs."
CL-010,Pile-up,5,Rmax pile-up tolerance (canonical definition unresolved),,MHz,,,,,,,,,,,,,,,,,,,,,,derived_model_conflicted,BLOCKED,NO,reports/mv5_pileup_1782678353/REPORT.md,scripts/mv5_pileup_study.py,reports/mv5_pileup_1782678353/mv5_pileup_summary.json,,,FIG-PU-003,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_WITH_REASON,S-STAT-003,4.22 MHz,"The accepted value is withheld. The recorded 0.38 is the beam duty factor, not a measured pile-up-quality threshold; the tracked MV5 summary reports rmax_from_failure_ceiling_mhz=null because the scan did not cross the recovery-failure ceiling, while 3.20 MHz is only the largest tested point. Selected-pulse occupancy does not identify event-arrival rate, live exposure, mu_max, or an absolute Rmax."
CL-011,Pile-up,5,S10b run-average 10% template live-time relative to CFD20,124.79018394263471,ns,,,,123.33094981246663,126.35875117626817,0.95,run_mean_nonparametric_bootstrap_percentile,run,,14,252266,,,,,,,,,,,data_measurement,DONE_DATA_ONLY,NO,reports/1781000867.546870.5c124aaf/REPORT.md,reports/1781000867.546870.5c124aaf/s10b_tau_eff_template_fit.py,reports/1781000867.546870.5c124aaf/result.json,,reports/1781000867.546870.5c124aaf/manifest.json,,,da9651c56ef6495ce9656d84b69b600daa6d8f86,YES,CI_AVAILABLE_RUN_BOOTSTRAP_METHOD_LIMITATIONS,BLK-S10B-001,90 ns,This is a run-average estimand across 14 runs and 252266 selected pulses; it is not a detector-wide universal dead time. MV5 uses the value as an input rather than independently validating it. The source provides a run-bootstrap interval but no statistical/systematic uncertainty decomposition.
CL-012,Pile-up,5,Rmax reported 3.044 MHz lower-bound claim,,MHz,,,,,,,,,,,,,,,,,,,,,,derived_model_conflicted,SUPERSEDED,NO,reports/mv5_pileup_1782678353/REPORT.md,scripts/mv5_pileup_study.py,reports/mv5_pileup_1782678353/mv5_pileup_summary.json,,,FIG-PU-003,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,SUPERSEDED_DO_NOT_USE,S-STAT-003,CL-010,3.0448717948717947 MHz is (1/tau_eff)*0.38 using the recorded beam duty factor; it is not a validated lower bound and not a recovery-ceiling crossing because rmax_from_failure_ceiling_mhz is null. Retain only as correction history pending S-STAT-003.
CL-013,Energy,7,Digitizer gain MV0 v2 median-matching estimate,92,ADC/MeV,,28,,,,,systematic_envelope,,,,579424,321130,,,,,110,,-18,,,data_mc_calibration_proxy,GATED,NO,reports/mv0_calibration_1782677847/REPORT.md,scripts/mv0_calibrate_from_data.py,reports/mv0_calibration_1782677847/calibration.json,,,FIG-EN-001,TAB-EN-001,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,SYSTEMATIC_ENVELOPE_NOT_CONFIDENCE_INTERVAL,BLK-MV0-001,110 ADC/MeV v1,"The source reports 92 ADC/MeV from B2 median matching and a 30% heuristic systematic envelope (rounded to 28 ADC/MeV). The envelope is not a confidence interval and no statistical uncertainty is supplied. The tracked producer path differs from the former ledger path, and the exact producer/data manifest is absent; the value is a data-MC calibration proxy and is not authorized as a precision calibration until BLK-MV0-001 is resolved."
CL-014,Energy,7,MV0 B2 KS statistic at median-matched gain,0.1577,dimensionless,,,,,,,fixed_two_sample_KS_statistic,,,,579424,321130,,,,,0.1188,,0.0389,,,data_mc_calibration_proxy,TENSION,YES,reports/mv0_calibration_1782677847/REPORT.md,scripts/mv0_calibrate_from_data.py,reports/mv0_calibration_1782677847/calibration.json,,,,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_FIXED_OUTPUT_P_VALUE_NOT_REPORTED,BLK-MV0-001,,"The two-sample KS statistic D=0.1577 at the median-matched 92 ADC/MeV gain is a fixed source output for 579424 B2 data pulses and 321130 MC B2-hit tracks. The p-value is not reported and no selection-threshold closure, so this is not a calibrated goodness-of-fit probability. The KS-optimal scan point is D=0.1188 at 60 ADC/MeV; the difference 0.0389 documents shape tension rather than an uncertainty interval."
CL-015,Energy,7,B2 duplicate-readout harm-veto accepted charge res68,0.03902452880489024,fraction,,,,0.03566372530746706,0.042719761350795714,0.95,run_block_bootstrap_percentile,run,100107,8,100107,,,,,,0.07854122474166687,,-0.03951669593677663,,,data_external_duplicate_readout,GATED,YES,reports/1781046824.725.569d120d__p04p_duplicate_harm_labels/REPORT.md,scripts/p04p_1781046824_725_569d120d_duplicate_harm_labels.py,reports/1781046824.725.569d120d__p04p_duplicate_harm_labels/result.json,configs/p04p_1781046824_725_569d120d_duplicate_harm_labels.json,reports/1781046824.725.569d120d__p04p_duplicate_harm_labels/manifest.json,,,c31b40fdadff23272b13e3824e769f518c53b38e,YES,CI_AVAILABLE_SELECTION_GATE_UNSTABLE,BLK-P04P-001,,"Source-backed B2 external duplicate-readout closure, not truth energy. Reported GBT winner uses point accepted_coverage 0.501643, but its run-bootstrap 95% interval [0.478103,0.538255] crosses the preregistered 0.50 gate. A lower-95%-bound sensitivity gate changes the eligible winner to MLP (coverage 0.547085; lower bound 0.522563; charge res68 0.040551). No canonical winner until the coverage-uncertainty rule is preregistered and cross-stave/new-run validation is completed."
CL-016,Energy,7,B2 saturation ratio-transfer duplicate charge res68,0.1763577793605039,fraction,,,,0.17304334869529975,0.18060166173702746,0.95,run_block_bootstrap_percentile,run,183132,33,183132,,,,,,0.12079374117700271,,0.05556403818350119,,,data_external_duplicate_readout,GATED,YES,reports/1781018174.2030.05ac1ce2/REPORT.md,scripts/p07e_1781018174_2030_05ac1ce2_duplicate_saturation_validation.py,reports/1781018174.2030.05ac1ce2/result.json,configs/p07e_1781018174_2030_05ac1ce2_duplicate_saturation_validation.json,reports/1781018174.2030.05ac1ce2/manifest.json,,,,YES,CI_AVAILABLE_PRODUCER_BYTES_UNBOUND,BLK-P07E-001,,"Source-backed B2 external duplicate-readout closure, not truth energy. Pseudo-saturation ML res68 0.036691 is a synthetic closure check, while held-out odd-duplicate validation gives ML 0.176358 [0.173043,0.180602] versus raw 0.120794 [0.117004,0.125364], a degradation of +0.055564. The historical manifest does not bind producer bytes or worktree cleanliness. Withhold the correction until producer bytes are recovered and cross-stave/new-run validation is completed."
