figure_id,stem,title,question,status,evidence_class,source_table,source_table_sha256,width_mm,height_mm
FIG-WIKI-001,selected_pulse_inventory,Selected-pulse inventory,How are the exact S00 analysis pulses distributed across samples and staves?,GATED,DATA_MEASUREMENT,docs/figures/paper/source_tables/selected_pulse_inventory_source.csv,d93f87272f7eebdc8bff8ebef1d717d656f0dc06a9053dd7d72706f809924802,89.0,49.0
FIG-WIKI-002,claim_status_overview,Claim ledger is mostly gated or blocked,What fraction of the project claim surface is currently publication-authorized?,REVIEW,GOVERNANCE_LEDGER,docs/figures/paper/source_tables/claim_status_overview_source.csv,65b14467dc6400739dd8ac9355f039abe72a81f489e3440950e79d3c1d10a74b,89.0,70.0
FIG-WIKI-003,timing_mc_method_closure,Timing estimator closure on MC,How much does the four-sensor estimator improve the MC residual width?,MC_METHOD_CLOSURE,MC_METHOD_CLOSURE,docs/figures/paper/source_tables/timing_mc_method_closure_source.csv,9837ea9481e7f4595328fc4a8358505346ce0a6ea56ee26521cc8e96f84ca06e,89.0,53.0
FIG-WIKI-004,pid_mc_validation,Grouped-fold PID stability on MC,Is the realistic-chain proton/deuteron AUC stable across grouped folds?,SIMULATION_RESULT,SIMULATION_RESULT,docs/figures/paper/source_tables/pid_mc_validation_source.csv,623251cd82feb1567238067ea1ae5fe528dea8f797eb2c7e561c00004b69d842,89.0,51.0
FIG-WIKI-005,adc_mc_calibration,Gain closure and gated data/MC proxy,How does MC digitizer closure compare with the gated MV0 data/MC proxy?,GATED,MC_CLOSURE_PLUS_GATED_DATA_MC_PROXY,docs/figures/paper/source_tables/adc_mc_calibration_source.csv,a06f751b0feb624ce099f907603a34fde1f11c7dc2f8f89440ce5d76f672cddf,89.0,50.0
FIG-WIKI-006,birks_mc_comparison,Birks-model dependence on MC,How strongly does the inferred Birks coefficient depend on the fitting observable?,SIMULATION_RESULT,SIMULATION_RESULT,docs/figures/paper/source_tables/birks_mc_comparison_source.csv,d3ed09e387d95bb90d58406cc43baff73f14d6da58ba4895b5bc1ac48eeeaf22,89.0,48.0
FIG-WIKI-007,pileup_digitizer_mc,Digitizer-domain overlap scan,Which event rates correspond to the stored 5% and 10% overlap scan points?,SIMULATION_RESULT,SIMULATION_RESULT,docs/figures/paper/source_tables/pileup_digitizer_mc_source.csv,71517e94b20f26951de838543c89f5693737c0e4ffc936d28463a820ba40ea5b,89.0,54.0
FIG-WIKI-008,stopping_b8_tension,B8 stopping assignment disagrees,How large is the exact B8 fraction mismatch in the legacy data/MC stopping profile?,TENSION,LEGACY_DATA_MC_DIAGNOSTIC,docs/figures/paper/source_tables/stopping_b8_tension_source.csv,8194cec832f2d22199b3a7260282966535b57cb050c1c07342ad53f9c1fab257,89.0,43.0
FIG-WIKI-009,anomaly_truth_mc,Early-peak morphology in truth MC,How frequent is the early-peak morphology overall and within truth-labelled C12 tracks?,TRUTH_LEVEL_MC_ONLY,TRUTH_LEVEL_MC_ONLY,docs/figures/paper/source_tables/anomaly_truth_mc_source.csv,53336883e9bff0602775f1b8e8f9a47157d7e6895521b1d6f27ebb71c8f61405,89.0,46.0
FIG-WIKI-010,pca_truth_mc,Synthetic-waveform PCA compression,How much variance is captured by compact PCA representations of the MC waveforms?,TRUTH_LEVEL_MC_ONLY,SYNTHETIC_WAVEFORM_MC,docs/figures/paper/source_tables/pca_truth_mc_source.csv,f991cd1ec3c5699b5761a1164e9682c0d1a8e8d05e585b95e4ef32b1e90e03b1,89.0,48.0
FIG-WIKI-011,systematic_sensitivity_inputs,ADC-response sensitivity inputs,Which dimensionless nuisance elasticities dominate the current MC sensitivity scan?,REVIEW,SENSITIVITY_INPUTS,docs/figures/paper/source_tables/systematic_sensitivity_inputs_source.csv,9b50fc74d879a318e62313148040730acb6323e5d6b1468b2cb79ebd9c502952,89.0,76.0
