comparison,ci_low_ns,ci_high_ns,p_value
ml_full_minus_traditional,-0.4517071608497642,-0.09229244984043505,0.006
ml_no_peak_minus_traditional,-0.380921310270658,-0.06113618333820345,0.016
ml_no_tail_minus_traditional,-0.36467382660737335,0.0027775825798564712,0.054
ml_no_sample_iv_indicator_minus_traditional,-0.4533958344058404,-0.11487690036078223,0.006
ml_no_peak_minus_ml_full,-0.11689822700928461,0.19287861986115679,0.824
ml_no_tail_minus_ml_full,-0.07785945151564233,0.28789286992219576,0.222
ml_no_sample_iv_indicator_minus_ml_full,-0.015168304314238323,0.009160595983925412,0.576
