quantity,expected,reproduced,delta,tolerance,pass
sample_iv_A1_A3_pairs,127.0,127.0,0.0,0.0,True
sample_iv_robust_width_ns,1.7936257228944266,1.7936260637768346,3.4088240807861325e-07,0.001,True
sample_iv_core_sigma_ns,1.9921758801207758,1.9921763970438024,5.169230266055536e-07,0.001,True
