method,metric,value,ci_low,ci_high,bootstrap_unit,n_runs
ml_random_forest_q_structure,auc,0.7591970108711238,0.7245537280456885,0.7928105741216617,heldout_run,33
ml_random_forest_q_structure,average_precision,0.3924397572551854,0.31135731250983884,0.46726086925069427,heldout_run,33
ml_random_forest_q_structure,precision,0.3418777381725467,0.26108476177516776,0.4227515449682832,heldout_run,33
ml_random_forest_q_structure,recall,0.3520666431637725,0.2556026266093052,0.44033271709685584,heldout_run,33
ml_random_forest_q_structure,f1,0.30562874612789775,0.22040577959031551,0.37976726216448486,heldout_run,33
ml_random_forest_q_structure,failure_rate_flagged,0.3418777381725467,0.25777699210196453,0.43463278908039266,heldout_run,33
ml_random_forest_q_structure,failure_rate_all,0.1063850705631033,0.08189707406533045,0.132563383114546,heldout_run,33
ml_random_forest_q_structure,flagged_minus_all_failure_rate,0.23549266760944348,0.14793038577789294,0.32871681644368533,heldout_run,33
shuffled_label_ml_control,auc,0.46873694434020496,0.4280194017636647,0.5087706237413426,heldout_run,33
shuffled_label_ml_control,average_precision,0.10902786143195083,0.08103523511397209,0.1368691748026644,heldout_run,33
shuffled_label_ml_control,precision,0.08864201404270189,0.0630160697905031,0.11617866842532372,heldout_run,33
shuffled_label_ml_control,recall,0.23794575601471832,0.17093240936120246,0.3167526552053102,heldout_run,33
shuffled_label_ml_control,f1,0.10040875961712721,0.07230430954921836,0.1312604719779508,heldout_run,33
shuffled_label_ml_control,failure_rate_flagged,0.08864201404270189,0.06436090901401066,0.11569371757793243,heldout_run,33
shuffled_label_ml_control,failure_rate_all,0.1063850705631033,0.08078466069455112,0.13155774952727303,heldout_run,33
shuffled_label_ml_control,flagged_minus_all_failure_rate,-0.017743056520401403,-0.03396310955404402,-0.0021497061823922926,heldout_run,33
traditional_conditional_q_residual,auc,0.6721698895625906,0.6536616465184727,0.68786729676752,heldout_run,33
traditional_conditional_q_residual,average_precision,0.16086619431463428,0.12814518345622808,0.19254920993678049,heldout_run,33
traditional_conditional_q_residual,precision,0.17598969912575432,0.14109073432752708,0.2109783485128992,heldout_run,33
traditional_conditional_q_residual,recall,0.5368011154909793,0.4971353679744605,0.5770285295363675,heldout_run,33
traditional_conditional_q_residual,f1,0.2438672465268473,0.20424684030477372,0.28471454809595675,heldout_run,33
traditional_conditional_q_residual,failure_rate_flagged,0.17598969912575432,0.14022153765329273,0.21254461395349397,heldout_run,33
traditional_conditional_q_residual,failure_rate_all,0.1063850705631033,0.08213562081056448,0.13099440730626435,heldout_run,33
traditional_conditional_q_residual,flagged_minus_all_failure_rate,0.06960462856265102,0.05603069675985824,0.0838977373309314,heldout_run,33
