stave,amp_bin,amp_low_adc,amp_high_adc,n_train,source,heldout_run,template_kind
B2,0,1000.0,1500.0,26698,stave_amp_bin,31,external_other_runs
B2,1,1500.0,2200.0,31962,stave_amp_bin,31,external_other_runs
B2,2,2200.0,3200.0,56863,stave_amp_bin,31,external_other_runs
B2,3,3200.0,4700.0,96682,stave_amp_bin,31,external_other_runs
B2,4,4700.0,6800.0,152335,stave_amp_bin,31,external_other_runs
B2,5,6800.0,10000.0,187916,stave_amp_bin,31,external_other_runs
B2,6,10000.0,15000.0,20,stave_fallback,31,external_other_runs
B2,7,15000.0,25000.0,0,stave_fallback,31,external_other_runs
B2,8,25000.0,1000000000.0,0,stave_fallback,31,external_other_runs
B4,0,1000.0,1500.0,3165,stave_amp_bin,31,external_other_runs
B4,1,1500.0,2200.0,5140,stave_amp_bin,31,external_other_runs
B4,2,2200.0,3200.0,13733,stave_amp_bin,31,external_other_runs
B4,3,3200.0,4700.0,10599,stave_amp_bin,31,external_other_runs
B4,4,4700.0,6800.0,2695,stave_amp_bin,31,external_other_runs
B4,5,6800.0,10000.0,192,stave_amp_bin,31,external_other_runs
B4,6,10000.0,15000.0,0,stave_fallback,31,external_other_runs
B4,7,15000.0,25000.0,0,stave_fallback,31,external_other_runs
B4,8,25000.0,1000000000.0,0,stave_fallback,31,external_other_runs
B6,0,1000.0,1500.0,1860,stave_amp_bin,31,external_other_runs
B6,1,1500.0,2200.0,3187,stave_amp_bin,31,external_other_runs
B6,2,2200.0,3200.0,6854,stave_amp_bin,31,external_other_runs
B6,3,3200.0,4700.0,5163,stave_amp_bin,31,external_other_runs
B6,4,4700.0,6800.0,629,stave_amp_bin,31,external_other_runs
B6,5,6800.0,10000.0,15,stave_fallback,31,external_other_runs
B6,6,10000.0,15000.0,0,stave_fallback,31,external_other_runs
B6,7,15000.0,25000.0,0,stave_fallback,31,external_other_runs
B6,8,25000.0,1000000000.0,0,stave_fallback,31,external_other_runs
B8,0,1000.0,1500.0,796,stave_amp_bin,31,external_other_runs
B8,1,1500.0,2200.0,863,stave_amp_bin,31,external_other_runs
B8,2,2200.0,3200.0,2260,stave_amp_bin,31,external_other_runs
B8,3,3200.0,4700.0,2542,stave_amp_bin,31,external_other_runs
B8,4,4700.0,6800.0,676,stave_amp_bin,31,external_other_runs
B8,5,6800.0,10000.0,21,stave_fallback,31,external_other_runs
B8,6,10000.0,15000.0,0,stave_fallback,31,external_other_runs
B8,7,15000.0,25000.0,0,stave_fallback,31,external_other_runs
B8,8,25000.0,1000000000.0,0,stave_fallback,31,external_other_runs
B2,0,1000.0,1500.0,383,stave_amp_bin,31,local_half_run
B2,1,1500.0,2200.0,463,stave_amp_bin,31,local_half_run
B2,2,2200.0,3200.0,847,stave_amp_bin,31,local_half_run
B2,3,3200.0,4700.0,1761,stave_amp_bin,31,local_half_run
B2,4,4700.0,6800.0,3380,stave_amp_bin,31,local_half_run
B2,5,6800.0,10000.0,6635,stave_amp_bin,31,local_half_run
B2,6,10000.0,15000.0,0,stave_fallback,31,local_half_run
B2,7,15000.0,25000.0,0,stave_fallback,31,local_half_run
B2,8,25000.0,1000000000.0,0,stave_fallback,31,local_half_run
B4,0,1000.0,1500.0,36,stave_amp_bin,31,local_half_run
B4,1,1500.0,2200.0,46,stave_amp_bin,31,local_half_run
B4,2,2200.0,3200.0,93,stave_amp_bin,31,local_half_run
B4,3,3200.0,4700.0,89,stave_amp_bin,31,local_half_run
B4,4,4700.0,6800.0,27,stave_fallback,31,local_half_run
B4,5,6800.0,10000.0,0,stave_fallback,31,local_half_run
B4,6,10000.0,15000.0,0,stave_fallback,31,local_half_run
B4,7,15000.0,25000.0,0,stave_fallback,31,local_half_run
B4,8,25000.0,1000000000.0,0,stave_fallback,31,local_half_run
B6,0,1000.0,1500.0,14,stave_fallback,31,local_half_run
B6,1,1500.0,2200.0,20,stave_fallback,31,local_half_run
B6,2,2200.0,3200.0,47,stave_amp_bin,31,local_half_run
B6,3,3200.0,4700.0,34,stave_amp_bin,31,local_half_run
B6,4,4700.0,6800.0,6,stave_fallback,31,local_half_run
B6,5,6800.0,10000.0,0,stave_fallback,31,local_half_run
B6,6,10000.0,15000.0,0,stave_fallback,31,local_half_run
B6,7,15000.0,25000.0,0,stave_fallback,31,local_half_run
B6,8,25000.0,1000000000.0,0,stave_fallback,31,local_half_run
B8,0,1000.0,1500.0,6,stave_fallback,31,local_half_run
B8,1,1500.0,2200.0,8,stave_fallback,31,local_half_run
B8,2,2200.0,3200.0,17,stave_fallback,31,local_half_run
B8,3,3200.0,4700.0,17,stave_fallback,31,local_half_run
B8,4,4700.0,6800.0,1,stave_fallback,31,local_half_run
B8,5,6800.0,10000.0,0,stave_fallback,31,local_half_run
B8,6,10000.0,15000.0,0,stave_fallback,31,local_half_run
B8,7,15000.0,25000.0,0,stave_fallback,31,local_half_run
B8,8,25000.0,1000000000.0,0,stave_fallback,31,local_half_run
B2,0,1000.0,1500.0,26602,stave_amp_bin,32,external_other_runs
B2,1,1500.0,2200.0,31880,stave_amp_bin,32,external_other_runs
B2,2,2200.0,3200.0,56789,stave_amp_bin,32,external_other_runs
B2,3,3200.0,4700.0,96294,stave_amp_bin,32,external_other_runs
B2,4,4700.0,6800.0,152352,stave_amp_bin,32,external_other_runs
B2,5,6800.0,10000.0,188171,stave_amp_bin,32,external_other_runs
B2,6,10000.0,15000.0,20,stave_fallback,32,external_other_runs
B2,7,15000.0,25000.0,0,stave_fallback,32,external_other_runs
B2,8,25000.0,1000000000.0,0,stave_fallback,32,external_other_runs
B4,0,1000.0,1500.0,3159,stave_amp_bin,32,external_other_runs
B4,1,1500.0,2200.0,5144,stave_amp_bin,32,external_other_runs
B4,2,2200.0,3200.0,13747,stave_amp_bin,32,external_other_runs
B4,3,3200.0,4700.0,10576,stave_amp_bin,32,external_other_runs
B4,4,4700.0,6800.0,2694,stave_amp_bin,32,external_other_runs
B4,5,6800.0,10000.0,191,stave_amp_bin,32,external_other_runs
B4,6,10000.0,15000.0,0,stave_fallback,32,external_other_runs
B4,7,15000.0,25000.0,0,stave_fallback,32,external_other_runs
B4,8,25000.0,1000000000.0,0,stave_fallback,32,external_other_runs
B6,0,1000.0,1500.0,1855,stave_amp_bin,32,external_other_runs
B6,1,1500.0,2200.0,3183,stave_amp_bin,32,external_other_runs
B6,2,2200.0,3200.0,6871,stave_amp_bin,32,external_other_runs
B6,3,3200.0,4700.0,5167,stave_amp_bin,32,external_other_runs
B6,4,4700.0,6800.0,630,stave_amp_bin,32,external_other_runs
B6,5,6800.0,10000.0,15,stave_fallback,32,external_other_runs
B6,6,10000.0,15000.0,0,stave_fallback,32,external_other_runs
B6,7,15000.0,25000.0,0,stave_fallback,32,external_other_runs
B6,8,25000.0,1000000000.0,0,stave_fallback,32,external_other_runs
B8,0,1000.0,1500.0,793,stave_amp_bin,32,external_other_runs
B8,1,1500.0,2200.0,860,stave_amp_bin,32,external_other_runs
B8,2,2200.0,3200.0,2262,stave_amp_bin,32,external_other_runs
B8,3,3200.0,4700.0,2544,stave_amp_bin,32,external_other_runs
B8,4,4700.0,6800.0,677,stave_amp_bin,32,external_other_runs
B8,5,6800.0,10000.0,21,stave_fallback,32,external_other_runs
B8,6,10000.0,15000.0,0,stave_fallback,32,external_other_runs
B8,7,15000.0,25000.0,0,stave_fallback,32,external_other_runs
B8,8,25000.0,1000000000.0,0,stave_fallback,32,external_other_runs
B2,0,1000.0,1500.0,454,stave_amp_bin,32,local_half_run
B2,1,1500.0,2200.0,497,stave_amp_bin,32,local_half_run
B2,2,2200.0,3200.0,922,stave_amp_bin,32,local_half_run
B2,3,3200.0,4700.0,1952,stave_amp_bin,32,local_half_run
B2,4,4700.0,6800.0,3454,stave_amp_bin,32,local_half_run
B2,5,6800.0,10000.0,6394,stave_amp_bin,32,local_half_run
B2,6,10000.0,15000.0,0,stave_fallback,32,local_half_run
B2,7,15000.0,25000.0,0,stave_fallback,32,local_half_run
B2,8,25000.0,1000000000.0,0,stave_fallback,32,local_half_run
B4,0,1000.0,1500.0,36,stave_amp_bin,32,local_half_run
B4,1,1500.0,2200.0,33,stave_amp_bin,32,local_half_run
B4,2,2200.0,3200.0,89,stave_amp_bin,32,local_half_run
B4,3,3200.0,4700.0,108,stave_amp_bin,32,local_half_run
B4,4,4700.0,6800.0,20,stave_fallback,32,local_half_run
B4,5,6800.0,10000.0,3,stave_fallback,32,local_half_run
B4,6,10000.0,15000.0,0,stave_fallback,32,local_half_run
B4,7,15000.0,25000.0,0,stave_fallback,32,local_half_run
B4,8,25000.0,1000000000.0,0,stave_fallback,32,local_half_run
B6,0,1000.0,1500.0,20,stave_fallback,32,local_half_run
B6,1,1500.0,2200.0,19,stave_fallback,32,local_half_run
B6,2,2200.0,3200.0,35,stave_amp_bin,32,local_half_run
B6,3,3200.0,4700.0,27,stave_fallback,32,local_half_run
B6,4,4700.0,6800.0,8,stave_fallback,32,local_half_run
B6,5,6800.0,10000.0,0,stave_fallback,32,local_half_run
B6,6,10000.0,15000.0,0,stave_fallback,32,local_half_run
B6,7,15000.0,25000.0,0,stave_fallback,32,local_half_run
B6,8,25000.0,1000000000.0,0,stave_fallback,32,local_half_run
B8,0,1000.0,1500.0,11,stave_fallback,32,local_half_run
B8,1,1500.0,2200.0,9,stave_fallback,32,local_half_run
B8,2,2200.0,3200.0,16,stave_fallback,32,local_half_run
B8,3,3200.0,4700.0,15,stave_fallback,32,local_half_run
B8,4,4700.0,6800.0,1,stave_fallback,32,local_half_run
B8,5,6800.0,10000.0,0,stave_fallback,32,local_half_run
B8,6,10000.0,15000.0,0,stave_fallback,32,local_half_run
B8,7,15000.0,25000.0,0,stave_fallback,32,local_half_run
B8,8,25000.0,1000000000.0,0,stave_fallback,32,local_half_run
B2,0,1000.0,1500.0,27125,stave_amp_bin,33,external_other_runs
B2,1,1500.0,2200.0,32354,stave_amp_bin,33,external_other_runs
B2,2,2200.0,3200.0,57498,stave_amp_bin,33,external_other_runs
B2,3,3200.0,4700.0,96247,stave_amp_bin,33,external_other_runs
B2,4,4700.0,6800.0,135848,stave_amp_bin,33,external_other_runs
B2,5,6800.0,10000.0,182610,stave_amp_bin,33,external_other_runs
B2,6,10000.0,15000.0,18,stave_fallback,33,external_other_runs
B2,7,15000.0,25000.0,0,stave_fallback,33,external_other_runs
B2,8,25000.0,1000000000.0,0,stave_fallback,33,external_other_runs
B4,0,1000.0,1500.0,3168,stave_amp_bin,33,external_other_runs
B4,1,1500.0,2200.0,5147,stave_amp_bin,33,external_other_runs
B4,2,2200.0,3200.0,13736,stave_amp_bin,33,external_other_runs
B4,3,3200.0,4700.0,10608,stave_amp_bin,33,external_other_runs
B4,4,4700.0,6800.0,2704,stave_amp_bin,33,external_other_runs
B4,5,6800.0,10000.0,194,stave_amp_bin,33,external_other_runs
B4,6,10000.0,15000.0,0,stave_fallback,33,external_other_runs
B4,7,15000.0,25000.0,0,stave_fallback,33,external_other_runs
B4,8,25000.0,1000000000.0,0,stave_fallback,33,external_other_runs
B6,0,1000.0,1500.0,1859,stave_amp_bin,33,external_other_runs
B6,1,1500.0,2200.0,3162,stave_amp_bin,33,external_other_runs
B6,2,2200.0,3200.0,6837,stave_amp_bin,33,external_other_runs
B6,3,3200.0,4700.0,5125,stave_amp_bin,33,external_other_runs
B6,4,4700.0,6800.0,631,stave_amp_bin,33,external_other_runs
B6,5,6800.0,10000.0,13,stave_fallback,33,external_other_runs
B6,6,10000.0,15000.0,0,stave_fallback,33,external_other_runs
B6,7,15000.0,25000.0,0,stave_fallback,33,external_other_runs
B6,8,25000.0,1000000000.0,0,stave_fallback,33,external_other_runs
B8,0,1000.0,1500.0,785,stave_amp_bin,33,external_other_runs
B8,1,1500.0,2200.0,856,stave_amp_bin,33,external_other_runs
B8,2,2200.0,3200.0,2240,stave_amp_bin,33,external_other_runs
B8,3,3200.0,4700.0,2541,stave_amp_bin,33,external_other_runs
B8,4,4700.0,6800.0,673,stave_amp_bin,33,external_other_runs
B8,5,6800.0,10000.0,21,stave_fallback,33,external_other_runs
B8,6,10000.0,15000.0,0,stave_fallback,33,external_other_runs
B8,7,15000.0,25000.0,0,stave_fallback,33,external_other_runs
B8,8,25000.0,1000000000.0,0,stave_fallback,33,external_other_runs
B2,0,1000.0,1500.0,184,stave_amp_bin,33,local_half_run
B2,1,1500.0,2200.0,247,stave_amp_bin,33,local_half_run
B2,2,2200.0,3200.0,503,stave_amp_bin,33,local_half_run
B2,3,3200.0,4700.0,1942,stave_amp_bin,33,local_half_run
B2,4,4700.0,6800.0,11683,stave_amp_bin,33,local_half_run
B2,5,6800.0,10000.0,9290,stave_amp_bin,33,local_half_run
B2,6,10000.0,15000.0,1,stave_fallback,33,local_half_run
B2,7,15000.0,25000.0,0,stave_fallback,33,local_half_run
B2,8,25000.0,1000000000.0,0,stave_fallback,33,local_half_run
B4,0,1000.0,1500.0,36,stave_amp_bin,33,local_half_run
B4,1,1500.0,2200.0,39,stave_amp_bin,33,local_half_run
B4,2,2200.0,3200.0,80,stave_amp_bin,33,local_half_run
B4,3,3200.0,4700.0,85,stave_amp_bin,33,local_half_run
B4,4,4700.0,6800.0,19,stave_fallback,33,local_half_run
B4,5,6800.0,10000.0,1,stave_fallback,33,local_half_run
B4,6,10000.0,15000.0,0,stave_fallback,33,local_half_run
B4,7,15000.0,25000.0,0,stave_fallback,33,local_half_run
B4,8,25000.0,1000000000.0,0,stave_fallback,33,local_half_run
B6,0,1000.0,1500.0,12,stave_fallback,33,local_half_run
B6,1,1500.0,2200.0,29,stave_fallback,33,local_half_run
B6,2,2200.0,3200.0,41,stave_amp_bin,33,local_half_run
B6,3,3200.0,4700.0,54,stave_amp_bin,33,local_half_run
B6,4,4700.0,6800.0,7,stave_fallback,33,local_half_run
B6,5,6800.0,10000.0,1,stave_fallback,33,local_half_run
B6,6,10000.0,15000.0,0,stave_fallback,33,local_half_run
B6,7,15000.0,25000.0,0,stave_fallback,33,local_half_run
B6,8,25000.0,1000000000.0,0,stave_fallback,33,local_half_run
B8,0,1000.0,1500.0,16,stave_fallback,33,local_half_run
B8,1,1500.0,2200.0,11,stave_fallback,33,local_half_run
B8,2,2200.0,3200.0,19,stave_fallback,33,local_half_run
B8,3,3200.0,4700.0,13,stave_fallback,33,local_half_run
B8,4,4700.0,6800.0,2,stave_fallback,33,local_half_run
B8,5,6800.0,10000.0,0,stave_fallback,33,local_half_run
B8,6,10000.0,15000.0,0,stave_fallback,33,local_half_run
B8,7,15000.0,25000.0,0,stave_fallback,33,local_half_run
B8,8,25000.0,1000000000.0,0,stave_fallback,33,local_half_run
B2,0,1000.0,1500.0,27230,stave_amp_bin,34,external_other_runs
B2,1,1500.0,2200.0,32539,stave_amp_bin,34,external_other_runs
B2,2,2200.0,3200.0,57858,stave_amp_bin,34,external_other_runs
B2,3,3200.0,4700.0,98273,stave_amp_bin,34,external_other_runs
B2,4,4700.0,6800.0,146370,stave_amp_bin,34,external_other_runs
B2,5,6800.0,10000.0,183761,stave_amp_bin,34,external_other_runs
B2,6,10000.0,15000.0,20,stave_fallback,34,external_other_runs
B2,7,15000.0,25000.0,0,stave_fallback,34,external_other_runs
B2,8,25000.0,1000000000.0,0,stave_fallback,34,external_other_runs
B4,0,1000.0,1500.0,3161,stave_amp_bin,34,external_other_runs
