pattern_id,regex,file_glob,claim_id,allow_if_line_contains,rationale
FP-001,(?<![\d.])0\.221(?![\d.]),WIKI.md;paper/figures.yaml;paper/**/*.tex;publication/**/*.tex,CL-032,superseded|diagnostic|b2-b4|historical|gated|non-authorising|withheld,Stale superseded two-channel dE-E +0.221 (33966 evts) may only appear with a quarantining qualifier; the corrected downstream-sum rows are CL-030..032
FP-002,2\.92\s*MHz,WIKI.md;paper/figures.yaml;paper/**/*.tex;publication/**/*.tex,CL-010,model|gated|blocked|non-authorising|superseded|diagnostic,Rmax 2.92 MHz is model-derived; canonical CL-010 is BLOCKED (derived_model_conflicted) and is not corroborated by data
FP-003,0\.(54|68|75)\s*ns,WIKI.md;paper/figures.yaml;paper/**/*.tex;publication/**/*.tex,CL-002..004,mc|toy|historical|superseded|format|sampling|gated|withheld|non-authorising|digitizer,Sub-ns timing numbers are toy-digitizer MC estimates; the raw 16-sample 100 MS/s beam format limits sigma68 to >=38 ns
FP-004,(?<![\d.])(8\.9\s*%|0\.0887),WIKI.md;paper/figures.yaml;paper/**/*.tex;publication/**/*.tex,CL-029,gated|model|non-authorising|birks|e_vis|mc|simulation,8.9 percent energy resolution is MC model-dependent optical (CL-029 GATED) not an authorising data result
FP-005,[Oo]nly one row is VALIDATED|single VALIDATED|ONLY VALIDATED,WIKI.md;paper/figures.yaml;paper/**/*.tex;publication/**/*.tex,CL-001,,No claim is VALIDATED while CL-001 is GATED; stale VALIDATED-count phrasing is forbidden with no qualifier
FP-006,PE/deposited|PE per deposited|per deposited MeV,WIKI.md;paper/figures.yaml;paper/**/*.tex;publication/**/*.tex,CL-013,superseded|historical|mislabel|e_vis|birks|gated|quenched,Light yield per DEPOSITED MeV conflates unquenched E_raw with Birks-visible E_vis (#1302)
FP-007,VALIDATED\s*·|✅\s*VALIDATED,WIKI.md;paper/**/*.tex;publication/**/*.tex,CL-001,cl-030|cl-031|cl-032|done_data_only,Banner-style VALIDATED status chips are forbidden while no ledger row is authorising; only DONE_DATA_ONLY rows may carry one
