category,value,n,n_runs,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,shuffled_res68_abs_frac,topology_only_res68_abs_frac,real_minus_shuffled_res68,real_minus_topology_res68,support_call
support_cell,B2_only|2000_3000|all_B_amp_lt7000|broad_saturation_like|downstream_none,75,17,-0.037799968965882724,0.3176308514775491,0.8358538765299991,0.22666666666666666,0.56,0.5429317812134692,0.32034461767996963,-0.22530092973592009,-0.002713766202420531,weak_or_null
support_cell,B2_only|3000_5000|all_B_amp_lt7000|dropout_like|downstream_none,54,18,-0.0693144477706675,0.31938664920245136,0.48052575665880676,0.18518518518518517,0.5370370370370371,0.48000257557246384,0.2976837006122944,-0.16061592637001249,0.02170294859015698,weak_or_null
support_cell,B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,253,23,-0.01737665143049962,0.31982628477061464,0.6189250116962588,0.18972332015810275,0.5177865612648221,0.4938670142697826,0.3315506484164749,-0.17404072949916793,-0.01172436364586027,weak_or_null
b2_amp_bin,1000_2000,496,26,-0.023902807822435063,0.3265278821261227,0.5481663920688531,0.1875,0.5141129032258065,0.5125612473292536,0.33003193417168397,-0.18603336520313085,-0.0035040520455612567,weak_or_null
topology_pattern,B2_B4,102,21,-0.028021482075279346,0.3328107413945297,0.4866886685924478,0.2549019607843137,0.5588235294117647,0.5195937080573411,0.2987331082055352,-0.18678296666281136,0.03407763318899448,weak_or_null
support_cell,B2_only|3000_5000|all_B_amp_lt7000|late_tail_high|downstream_none,125,20,-0.009921490377901387,0.3347165568663399,0.5185131070237605,0.288,0.512,0.4065835157332203,0.332846918934075,-0.07186695886688044,0.0018696379322649115,weak_or_null
support_cell,B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,184,20,-0.04980182567348749,0.3399798193693465,0.42939066336643444,0.15760869565217392,0.4891304347826087,0.5133810516170362,0.34440147721097414,-0.17340123224768966,-0.004421657841627624,weak_or_null
support_cell,B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|downstream_none,278,22,0.00865371641037022,0.34638415042224524,0.7911369649130869,0.17985611510791366,0.49280575539568344,0.5053685027315823,0.34406825448226325,-0.15898435230933705,0.0023158959399819934,weak_or_null
baseline_bin,large,1395,31,-0.02035676139120624,0.3487073831648762,0.5331690827483706,0.1956989247311828,0.5068100358422939,0.5256236994038486,0.34332643250939343,-0.17691631623897236,0.005380950655482775,weak_or_null
saturation_stratum,all_B_amp_lt7000,3134,32,-0.011505339326064068,0.3497633865686652,0.6049490995082443,0.19783024888321635,0.5009572431397575,0.5202525764624727,0.3475213061233699,-0.1704891898938075,0.0022420804452952803,weak_or_null
support_cell,B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|downstream_none,957,30,0.004420048967498942,0.3504455203265417,0.5136542015167846,0.18599791013584116,0.5067920585161965,0.5330423325947121,0.34993474948314834,-0.18259681226817043,0.0005107708433933489,weak_or_null
support_cell,B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|downstream_none,888,30,-0.014430197182333078,0.35175640183373813,0.6310917377639097,0.20608108108108109,0.49211711711711714,0.520844994910116,0.34635331924447915,-0.1690885930763779,0.0054030825892589784,weak_or_null
anomaly_stratum,broad_saturation_like,2271,32,-0.0099100318055102,0.3518132763845919,0.5937958074429188,0.20035226772346984,0.5019815059445178,0.5291089760065144,0.34863851864899076,-0.1772956996219225,0.0031747577356011636,weak_or_null
peak_phase_bin,early_le5,1045,28,-0.027462814141180635,0.35185463969430375,0.4871509525578864,0.18851674641148325,0.5043062200956938,0.5217774949463304,0.3394221970065241,-0.16992285525202666,0.012432442687779655,weak_or_null
b2_amp_bin,5000_7000,953,30,-0.007445185643171492,0.3519644930469587,0.6646768560349479,0.2130115424973767,0.49527806925498424,0.5201624944099583,0.3466330663836046,-0.16819800136299962,0.005331426663354122,weak_or_null
