method,accept_fraction_target,accepted_fraction,abstained_fraction,risk_threshold,n_runs,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,within_10pct_ci95,within_25pct_ci95,shuffled_res68_abs_frac,topology_only_res68_abs_frac,real_minus_shuffled_res68,real_minus_topology_res68
topology_median,1.0,1.0,0.0,1.2884783901048464,32,4055,-0.0019340615420653416,0.3814019572250541,0.6698995538012035,0.19482120838471023,0.47003699136868066,"[-0.023486014846616218, 0.024639959738613722]","[0.3668373558032522, 0.39426607510303485]","[0.5773281168694545, 0.777907171723963]","[0.1829888251000472, 0.20585932602975285]","[0.45575459259868606, 0.4834763687498339]",0.5264962100164489,0.35192469989017944,-0.14509425279139476,0.029477257334874662
topology_median,0.75,0.7499383477188656,0.2500616522811344,0.5707682889833431,32,3041,0.004195235363550905,0.36809194716888477,0.6960966064511934,0.20124958895100295,0.4787898717527129,"[-0.011836334113974547, 0.029798357957604445]","[0.35237794098836395, 0.38670433117419706]","[0.5793084065602855, 0.831995849120833]","[0.18601968059279275, 0.2130113877947016]","[0.4628954281243014, 0.4916977022240242]",0.5166442939539092,0.3454445634606572,-0.14855234678502444,0.022647383708227553
topology_median,0.5,0.5001233045622688,0.49987669543773117,0.5455504683068255,32,2028,0.004704287260921566,0.366655052656434,0.6010818103708031,0.20216962524654833,0.47928994082840237,"[-0.029013731268492358, 0.040367175235938205]","[0.35041185818147536, 0.3911936107235043]","[0.5276999073208449, 0.7012631880060162]","[0.18824490939660005, 0.2133000029123669]","[0.4577232267499834, 0.49708434244074967]",0.5156668108166682,0.3446933982747205,-0.1490117581602342,0.02196165438171349
topology_median,0.25,0.2500616522811344,0.7499383477188656,0.5032911354462287,32,1014,0.01126198996547452,0.39091338311911017,0.6128065626414085,0.1942800788954635,0.4536489151873767,"[-0.02306304455531908, 0.0514228122906759]","[0.3695580077436725, 0.4130393380044458]","[0.529334311097534, 0.7338006787916679]","[0.1665778207392728, 0.21329404616822545]","[0.42713334411761306, 0.4812335094600778]",0.5345017531152844,0.34659002295453933,-0.1435883699961742,0.044323360164570835
strong_huber_transfer,1.0,1.0,0.0,1.6611350358067714,32,4055,-0.014320360399836248,0.3542717727823608,0.5889118750955596,0.19580764488286068,0.49445129469790383,"[-0.032173157172576544, 0.004540153751304538]","[0.3437922330312273, 0.3653180079875444]","[0.5327333315673978, 0.6778227695346999]","[0.18294591708900404, 0.2085040186798661]","[0.4756483534344764, 0.5125465808741142]",0.5264962100164489,0.35192469989017944,-0.17222443723408803,0.00234707289218139
strong_huber_transfer,0.75,0.7499383477188656,0.2500616522811344,0.3973691705342289,32,3041,-0.013660343323025584,0.3478453043643158,0.5993727977203003,0.20124958895100295,0.5014797763893456,"[-0.032151928912510154, 0.003079830499830659]","[0.3381640902929588, 0.3630306471279187]","[0.5207554451240494, 0.7088103235273082]","[0.1888522374756375, 0.21176821309534619]","[0.47902205352981736, 0.5211894689741725]",0.5207025451718672,0.3454926619337742,-0.17285724080755138,0.0023526424305416183
strong_huber_transfer,0.5,0.5001233045622688,0.49987669543773117,0.36509628038540076,32,2028,-0.01086607066329641,0.3572031442340315,0.6449951332217662,0.1957593688362919,0.502465483234714,"[-0.04157972900334208, 0.02358643666714152]","[0.3403460703176651, 0.372617003718216]","[0.5325120546629185, 0.8014641443846929]","[0.1780617559033317, 0.20885425006850072]","[0.4758981294228726, 0.5269985531679066]",0.5146182986100808,0.3503427044596692,-0.1574151543760493,0.0068604397743622925
strong_huber_transfer,0.25,0.2500616522811344,0.7499383477188656,0.3448652112586684,30,1014,-0.0063804637430024055,0.359890716732745,0.58490054090862,0.1913214990138067,0.4990138067061144,"[-0.03422770981021601, 0.03048682692142247]","[0.3468343231587485, 0.3759489598115471]","[0.48102279866434966, 0.7451520137204646]","[0.1692681837976445, 0.21660962566844918]","[0.46088493376739004, 0.5283659535701706]",0.5245810441297692,0.35509616794094406,-0.16469032739702427,0.004794548791800912
ridge,1.0,1.0,0.0,1.4425562562863117,32,4055,-0.039455957858353034,0.35906967510294197,0.5633544940362957,0.19753390875462393,0.475462392108508,"[-0.06300472143601639, -0.02038900489600159]","[0.3493213539397757, 0.37031384469457]","[0.5043061358432686, 0.6646503295267308]","[0.1841129000193364, 0.20844088465491345]","[0.45323128170503435, 0.49413113982455975]",0.5264962100164489,0.35192469989017944,-0.1674265349135069,0.007144975212762528
ridge,0.75,0.7499383477188656,0.2500616522811344,0.40025636179461366,32,3041,-0.03593267803294547,0.36010576418495793,0.5940167949408363,0.20914172969417955,0.47846103255508055,"[-0.05291791622922841, -0.012594972694998671]","[0.35107777525048783, 0.3749146144759194]","[0.5226622765831956, 0.7107415498888362]","[0.19457595650155826, 0.21890735501206293]","[0.45319535639824426, 0.49829070777516843]",0.5258186070595238,0.35040999041525206,-0.16571284287456584,0.009695773769705873
