method,family,target,split,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,within_10pct_ci95,within_25pct_ci95
topology_median,traditional,selected_A1A3_charge,leave_one_run_out,4055,-0.0019340615420653416,0.3814019572250541,0.6698995538012034,0.19482120838471023,0.47003699136868066,"[-0.023648830250350864, 0.022033567973357444]","[0.36524143903490036, 0.39494831122836876]","[0.5781603315740257, 0.7974759378398638]","[0.18156591390997595, 0.20585125935302068]","[0.4546134704291985, 0.4840918131192594]"
strong_huber_transfer,traditional,selected_A1A3_charge,leave_one_run_out,4055,-0.014320360399836248,0.3542717727823608,0.5889118750955596,0.19580764488286068,0.49445129469790383,"[-0.031522607681081415, 0.0066416703888268385]","[0.34352534818707625, 0.36674368176601363]","[0.5278007061004806, 0.6825814184473148]","[0.1810033044804589, 0.20741640753415086]","[0.4734417499036808, 0.5120389459993951]"
ridge,ml,selected_A1A3_charge,leave_one_run_out,4055,-0.039455957858353034,0.35906967510294197,0.5633544940362957,0.19753390875462393,0.475462392108508,"[-0.05970728628565902, -0.020534400821250656]","[0.3495729693581149, 0.36888255829634664]","[0.5002331519172452, 0.6635600599563982]","[0.18562881349345148, 0.20762852256196151]","[0.45581899338288745, 0.49539290633260424]"
gradient_boosted_trees,ml,selected_A1A3_charge,leave_one_run_out,4055,-0.04631652697055652,0.36020281751752115,0.5705086870500705,0.19852034525277434,0.481134401972873,"[-0.06052090967704887, -0.027428114748121502]","[0.3485397132987771, 0.3722438332012629]","[0.5045229302639455, 0.6522979554660829]","[0.18228568148180296, 0.20878705956776494]","[0.4633341933731667, 0.49611481021340476]"
mlp,ml,selected_A1A3_charge,leave_one_run_out,4055,-0.042221048872579776,0.3850883125035192,0.6000777540887082,0.18397040690505548,0.4562268803945746,"[-0.061413058819288026, -0.024985241305924742]","[0.37438122072611324, 0.39777275111641286]","[0.544423884531305, 0.6971938576887706]","[0.17112833163614724, 0.19658874199921253]","[0.4405537941921027, 0.46894347132696523]"
1d_cnn,nn,selected_A1A3_charge,leave_one_run_out,4055,-0.006973665081697532,0.36695478452767744,0.6450820893419349,0.1970406905055487,0.4942046855733662,"[-0.023636824456169957, 0.009070086661006995]","[0.3531009636998877, 0.38289159314043486]","[0.5810041364958114, 0.74921301810953]","[0.17995606203127157, 0.2125622344100998]","[0.4742148607289185, 0.5116840800173751]"
support_gated_residual_cnn,new_architecture,selected_A1A3_charge,leave_one_run_out,4055,-0.004083483001584564,0.3638554199596054,0.6281301936015606,0.19482120838471023,0.5016029593094945,"[-0.021611483073703988, 0.020104875082250877]","[0.3492059400465913, 0.37939114057696877]","[0.5651052202117464, 0.7235445899713325]","[0.18412584589913888, 0.2047911450058587]","[0.4867930284187439, 0.5151668501776607]"
topology_only_sentinel,negative_control,selected_A1A3_charge,leave_one_run_out,4055,-0.04266695032842228,0.35192469989017944,0.5597559944460273,0.19556103575832307,0.48532675709001233,"[-0.05804805635726696, -0.023618018407260407]","[0.3417595497423454, 0.36609890356167535]","[0.499988369057981, 0.6646109915506268]","[0.18103577686340908, 0.20666854413008393]","[0.46668966500704, 0.5005870430668904]"
shuffled_target_hgb,negative_control,selected_A1A3_charge,leave_one_run_out,4055,-0.04241557489088122,0.5264962100164489,0.8365951909971023,0.13612823674475955,0.3533908754623921,"[-0.06146795671370704, -0.012145602703422187]","[0.5135898082126807, 0.5418290803884698]","[0.7454470988761924, 0.9754837957177579]","[0.12403824337790043, 0.15034829734227897]","[0.33593451204529673, 0.3718325435915067]"
