heldout_run,method,sigma68_ns,n_pair_residuals
58,cfd20_reference,3.1154211816170307,219
58,ml_extra_trees_no_score,2.570205515509226,219
58,ml_extra_trees_plus_score,2.583660932096004,219
58,ml_extra_trees_score_residualized,2.6733031320002314,219
58,traditional_no_score,2.0803792249614776,219
58,traditional_plus_score,2.0715776237549854,219
58,traditional_score_residualized,2.0718066545631117,219
59,cfd20_reference,3.1903942554003875,2289
59,ml_extra_trees_no_score,1.7578553983652008,2289
59,ml_extra_trees_plus_score,1.772989099554993,2289
59,ml_extra_trees_score_residualized,1.7551425048184557,2289
59,traditional_no_score,1.9118386732436214,2289
59,traditional_plus_score,1.9098923136278485,2289
59,traditional_score_residualized,1.9101695573708444,2289
60,cfd20_reference,3.138618995026782,2424
60,ml_extra_trees_no_score,1.7401628267826956,2424
60,ml_extra_trees_plus_score,1.7318446264144072,2424
60,ml_extra_trees_score_residualized,1.7661137158247393,2424
60,traditional_no_score,1.8624124655369627,2424
60,traditional_plus_score,1.8757928029403448,2424
60,traditional_score_residualized,1.8754981903513726,2424
61,cfd20_reference,2.9140833320178547,2799
61,ml_extra_trees_no_score,2.2043024786264844,2799
61,ml_extra_trees_plus_score,2.1907452614632543,2799
61,ml_extra_trees_score_residualized,2.1947099744432106,2799
61,traditional_no_score,2.462200565177453,2799
61,traditional_plus_score,2.4744383460457358,2799
61,traditional_score_residualized,2.4743522969380543,2799
62,cfd20_reference,3.2316856378650773,2421
62,ml_extra_trees_no_score,1.7879854361534762,2421
62,ml_extra_trees_plus_score,1.7961035499372258,2421
62,ml_extra_trees_score_residualized,1.7855780262279437,2421
62,traditional_no_score,1.940137597959817,2421
62,traditional_plus_score,1.954576156108958,2421
62,traditional_score_residualized,1.9549207009953322,2421
63,cfd20_reference,3.4035141628299086,1110
63,ml_extra_trees_no_score,1.7086612988660423,1110
63,ml_extra_trees_plus_score,1.7413467179487465,1110
63,ml_extra_trees_score_residualized,1.7174811433409238,1110
63,traditional_no_score,1.8170879745634074,1110
63,traditional_plus_score,1.818074595606748,1110
63,traditional_score_residualized,1.8180799108228336,1110
65,cfd20_reference,2.9933861916712807,198
65,ml_extra_trees_no_score,2.3059915364050756,198
65,ml_extra_trees_plus_score,2.1964765952627445,198
65,ml_extra_trees_score_residualized,2.2764598505596725,198
65,traditional_no_score,2.522360717579149,198
65,traditional_plus_score,2.5243896913046284,198
65,traditional_score_residualized,2.524098144431072,198
