method,variant,alpha,fold,sigma68_ns,n_pair_residuals,heldout_run
traditional_no_score,no_score,1.0,-1,,0,58
traditional_plus_score,plus_score,1.0,-1,,0,58
traditional_score_residualized,score_residualized,1.0,-1,,0,58
traditional_no_score,no_score,1.0,-1,,0,59
traditional_plus_score,plus_score,1.0,-1,,0,59
traditional_score_residualized,score_residualized,1.0,-1,,0,59
traditional_no_score,no_score,1.0,-1,,0,60
traditional_plus_score,plus_score,1.0,-1,,0,60
traditional_score_residualized,score_residualized,1.0,-1,,0,60
traditional_no_score,no_score,1.0,-1,,0,61
traditional_plus_score,plus_score,1.0,-1,,0,61
traditional_score_residualized,score_residualized,1.0,-1,,0,61
traditional_no_score,no_score,1.0,-1,,0,62
traditional_plus_score,plus_score,1.0,-1,,0,62
traditional_score_residualized,score_residualized,1.0,-1,,0,62
traditional_no_score,no_score,1.0,-1,,0,63
traditional_plus_score,plus_score,1.0,-1,,0,63
traditional_score_residualized,score_residualized,1.0,-1,,0,63
traditional_no_score,no_score,1.0,-1,,0,65
traditional_plus_score,plus_score,1.0,-1,,0,65
traditional_score_residualized,score_residualized,1.0,-1,,0,65
