method,n_heldout_runs,n_pair_residuals,sigma68_ns,ci_low,ci_high,delta_vs_baseline_ns,delta_ci_low,delta_ci_high,full_rms_ns
ml_extra_trees_no_score,7,11460,1.8966811751812036,1.7580562579414991,2.0938780165906166,-0.1845200251282273,-0.2525745059137051,-0.12457775332344245,5.573845563441288
ml_extra_trees_score_residualized,7,11460,1.8979360054835233,1.7607067765216056,2.095467363428862,-0.18326519482590764,-0.2535706824611679,-0.11618903232962441,5.57069296352328
ml_extra_trees_plus_score,7,11460,1.9016760465212732,1.7619975683358047,2.0824572076539756,-0.1795251537881577,-0.259502788037169,-0.1187687864252811,5.575226555908627
traditional_score_residualized,7,11460,2.0713231414027624,1.8912618913544854,2.328680000287715,-0.009878058906668485,-0.012354024771363502,0.007197719157845839,5.78075798497293
traditional_plus_score,7,11460,2.071504526210173,1.8912504131872727,2.3289942682192155,-0.009696674099258118,-0.012613648441746061,0.0074456466111819716,5.780842382494067
traditional_no_score,7,11460,2.081201200309431,1.8905228161941763,2.3351707972864264,0.0,0.0,0.0,5.775181957927873
cfd20_reference,7,11460,3.1502666141199165,3.0189231493978332,3.272844433918855,1.0690654138104856,0.6973525396317963,1.3659937331520107,6.204310730057545
