alpha,cv_rmse_ns,cv_rmse_std_ns,method,selected,pool,cfd_fraction
1.0,15.170798997588648,8.541345468054557,ridge,True,fixed_efficiency_cfd0.10,0.1
0.1,15.236826184137621,8.586382117441717,ridge,False,fixed_efficiency_cfd0.10,0.1
0.01,15.248527328964581,8.59367187199768,ridge,False,fixed_efficiency_cfd0.10,0.1
10.0,15.553812122414888,8.65579088269748,ridge,False,fixed_efficiency_cfd0.10,0.1
100.0,16.81359121859963,9.387423525551908,ridge,False,fixed_efficiency_cfd0.10,0.1
1000.0,17.571333162236833,10.228774428511713,ridge,False,fixed_efficiency_cfd0.10,0.1
1.0,13.858013655601066,7.331820903065603,ridge,True,fixed_efficiency_cfd0.15,0.15
0.1,13.886053330577312,7.337997997783026,ridge,False,fixed_efficiency_cfd0.15,0.15
0.01,13.893545067833603,7.341133747419639,ridge,False,fixed_efficiency_cfd0.15,0.15
10.0,14.472362714564747,7.732983347296343,ridge,False,fixed_efficiency_cfd0.15,0.15
100.0,16.056418733476246,8.976410836417498,ridge,False,fixed_efficiency_cfd0.15,0.15
1000.0,17.11362484063846,10.131946178177099,ridge,False,fixed_efficiency_cfd0.15,0.15
1.0,13.509601526047032,7.092375770972166,ridge,True,fixed_efficiency_cfd0.20,0.2
0.1,13.51447457175341,7.057396132437295,ridge,False,fixed_efficiency_cfd0.20,0.2
0.01,13.520223884090242,7.056809611536165,ridge,False,fixed_efficiency_cfd0.20,0.2
10.0,14.247799371618763,7.681527905663256,ridge,False,fixed_efficiency_cfd0.20,0.2
100.0,15.918696293367152,9.06526686627906,ridge,False,fixed_efficiency_cfd0.20,0.2
1000.0,17.136295862570403,10.261634595862118,ridge,False,fixed_efficiency_cfd0.20,0.2
0.1,13.215383029104094,7.032782916549579,ridge,True,fixed_efficiency_cfd0.25,0.25
0.01,13.218611850555714,7.032957964821019,ridge,False,fixed_efficiency_cfd0.25,0.25
1.0,13.230566998922438,7.062647208480107,ridge,False,fixed_efficiency_cfd0.25,0.25
10.0,13.941439393938191,7.576893697303594,ridge,False,fixed_efficiency_cfd0.25,0.25
100.0,15.371827509780271,8.71965526001044,ridge,False,fixed_efficiency_cfd0.25,0.25
1000.0,16.645795463717224,10.022199301677759,ridge,False,fixed_efficiency_cfd0.25,0.25
0.1,13.219650547299045,6.755702581843985,ridge,True,fixed_efficiency_cfd0.30,0.3
0.01,13.22109817051284,6.75554905475971,ridge,False,fixed_efficiency_cfd0.30,0.3
1.0,13.240869406327239,6.777552803412796,ridge,False,fixed_efficiency_cfd0.30,0.3
10.0,13.835993384744361,7.167236397212566,ridge,False,fixed_efficiency_cfd0.30,0.3
100.0,14.96648797334135,8.078779153402373,ridge,False,fixed_efficiency_cfd0.30,0.3
1000.0,16.272282319488475,9.436382351433654,ridge,False,fixed_efficiency_cfd0.30,0.3
0.01,13.244411533798282,6.590254508413041,ridge,True,fixed_efficiency_cfd0.35,0.35
0.1,13.245611492758831,6.592540686885246,ridge,False,fixed_efficiency_cfd0.35,0.35
1.0,13.278985798245667,6.621450177882574,ridge,False,fixed_efficiency_cfd0.35,0.35
10.0,13.790289761225972,6.939764436580487,ridge,False,fixed_efficiency_cfd0.35,0.35
100.0,14.684643266870566,7.678383014946977,ridge,False,fixed_efficiency_cfd0.35,0.35
1000.0,16.028195146845977,9.083998709119241,ridge,False,fixed_efficiency_cfd0.35,0.35
