method,gates,median_width_ns,min_width_ns,max_width_ns,mean_n_pairs
gradient_boosted_trees,6,11.020740828841902,10.428800684599127,12.487329786385548,1627.0
mlp,6,12.4405061485832,11.547198618268151,15.748915095951004,1627.0
ridge,6,17.130156072386377,16.26584356488182,21.282433428794704,1627.0
gated_residual_cnn_new,6,20.403419178812186,18.300229666930683,23.65800307881531,1627.0
cnn_1d,6,37.50120362307178,32.22642929904151,38.56188062322532,1627.0
constrained_monotone_timewalk,6,39.47214459509193,33.69572398658771,41.620071437809266,1627.0
