pool,method,n_pairs,median_ns,robust_width_ns,full_rms_ns,within_abs_2ns,tail_fraction_abs_gt_5ns,robust_ci_low_ns,robust_ci_high_ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,fit_error,cfd_fraction,gate_family
fixed_efficiency_cfd0.30,gradient_boosted_trees,1627,-0.017182590107409412,10.428800684599127,15.265788719091757,0.22372464658881377,0.5722188076213891,9.879299396333085,11.325569234860682,4.042785179750673,1.8566700193697043,-1.2988404181530182,1.2758742734270112,,0.3,fixed_efficiency
fixed_efficiency_cfd0.20,gradient_boosted_trees,1627,-0.13715723169006422,10.504583686686878,16.36997762677213,0.23601720958819913,0.5734480639213276,10.018164727502601,11.13688241292614,2.1194113827189933,0.2745815291440704,-0.17576021205116976,1.0520332652576474,,0.2,fixed_efficiency
fixed_efficiency_cfd0.25,gradient_boosted_trees,1627,0.20933262957164755,10.814939925496708,15.184316898477208,0.23355869698832207,0.56299938537185,10.076652148508101,11.405300018951914,3.828601968980587,1.503703387753951,-0.9171940092448944,1.6847076016677922,,0.25,fixed_efficiency
fixed_efficiency_cfd0.15,gradient_boosted_trees,1627,-0.24435395056649156,11.226541732187094,17.534423321509834,0.2390903503380455,0.5838967424708051,10.557180998502652,11.908504340423855,1.8029725098674445,0.17717459817777279,-0.42486290771328283,2.3084965973151634,,0.15,fixed_efficiency
fixed_efficiency_cfd0.30,mlp,1627,-0.7485850821506208,11.547198618268151,15.170555998754605,0.21880762138905963,0.5740626920712969,10.389140765062834,12.916739198266285,3.1835269218443467,0.923023400499538,0.13352407080227496,2.021274261600738,,0.3,fixed_efficiency
fixed_efficiency_cfd0.35,gradient_boosted_trees,1627,-0.07885414024244142,11.58321065368785,15.882414947674567,0.21880762138905963,0.5943454210202828,10.312534747410574,12.564760408038364,2.4044386941616103,0.41456926717807224,-0.5107059752184195,1.1407535584306234,,0.35,fixed_efficiency
fixed_efficiency_cfd0.25,mlp,1627,-0.1918932836165692,12.08181777948101,15.273988432755646,0.22433927473878304,0.578979717271051,10.908149285234112,13.583753351912877,2.276734669891346,0.33942707216616996,0.07492366602993819,0.7648113068039333,,0.25,fixed_efficiency
fixed_efficiency_cfd0.20,mlp,1627,0.04707133612052239,12.34366974634971,16.199563206159315,0.20897357098955133,0.5820528580208973,10.656969346975051,13.732347713244128,2.4608947661704828,0.45434963027730635,0.15069294933786542,1.1899384780489715,,0.2,fixed_efficiency
fixed_efficiency_cfd0.10,gradient_boosted_trees,1627,-0.61102942609946,12.487329786385548,18.91118161176835,0.2077443146896128,0.610940381069453,11.92464895738671,13.251236772557268,2.967749368351798,0.7807884098903085,0.15272754780489523,1.505389001198358,,0.1,fixed_efficiency
fixed_efficiency_cfd0.35,mlp,1627,-0.27406451208069704,12.537342550816692,15.576738789134902,0.2212661339889367,0.5986478180700676,11.325096519335691,14.010392807284607,1.8219050713374745,0.18864066520690645,0.18817251721430628,1.3309348739613365,,0.35,fixed_efficiency
fixed_efficiency_cfd0.15,mlp,1627,0.7053977456680904,13.663472847178074,17.592016824722446,0.2015980331899201,0.6047940995697603,12.228081546778409,15.52217229599498,2.4876988614419937,0.47535942524748825,-0.856593510091419,1.1452582138896032,,0.15,fixed_efficiency
fixed_efficiency_cfd0.10,mlp,1627,0.8645942380168918,15.748915095951004,21.207830506343182,0.16963736939151813,0.6472034419176398,14.456910388925957,17.82623081199992,2.334903844071896,0.4256925265466806,-0.2628925016454675,1.0435110165105008,,0.1,fixed_efficiency
fixed_efficiency_cfd0.35,ridge,1627,-0.6199950803685681,16.26584356488182,21.077725727066564,0.12231100184388445,0.6939151813153043,14.597196640259375,17.74418722089364,3.989991702805666,2.6141594969603346,0.12575949897911723,2.3392870014718925,,0.35,fixed_efficiency
fixed_efficiency_cfd0.30,ridge,1627,0.19817364195548492,16.32440087716275,20.989848917311985,0.1253841425937308,0.7111247695144438,14.822747777973348,18.15406233447128,7.13471658504729,13.686983002318312,0.4860645393292927,1.2800507789758404,,0.3,fixed_efficiency
fixed_efficiency_cfd0.25,ridge,1627,0.1977036064628468,16.859498454664653,21.08881602052433,0.11923786109403811,0.7105101413644745,15.166122281407134,18.636666634848414,3.7560411021850544,2.20001725345998,0.24827499678516313,1.3857369510084199,,0.25,fixed_efficiency
fixed_efficiency_cfd0.20,ridge,1627,-0.18710130426882543,17.4008136901081,21.818262300646612,0.11923786109403811,0.7068223724646588,15.752981429294499,18.448712662563324,3.3134242373983875,1.528046663019556,-2.23277030800598,2.2744969738968277,,0.2,fixed_efficiency
fixed_efficiency_cfd0.15,ridge,1627,-0.4225412218986264,17.893147227496073,22.56254114082261,0.12476951444376153,0.7203441917639828,16.36600803564886,19.63789229105816,2.6640145088262965,0.7504485303787034,-0.4838973350715668,1.8866401469763996,,0.15,fixed_efficiency
fixed_efficiency_cfd0.35,gated_residual_cnn_new,1627,7.135524970856455,18.300229666930683,24.796147382640388,0.1389059618930547,0.6963736939151813,16.966287238055568,19.93580393913739,3.58249355650245,1.63907381420783,-2.285576081101503,0.8526818681118427,,0.35,fixed_efficiency
