pool,comparison,ci_low_ns,ci_high_ns,p_value,cfd_fraction,gate_family
fixed_efficiency_cfd0.10,ridge_minus_constrained_monotone_timewalk,-14.378915946639676,-10.593453575065466,0.0,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,gradient_boosted_trees_minus_constrained_monotone_timewalk,-23.69874268459377,-17.563438155482785,0.0,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,mlp_minus_constrained_monotone_timewalk,-19.888100500025306,-15.4688600762681,0.0,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,cnn_1d_minus_constrained_monotone_timewalk,-2.389683514820866,-0.6567732350496018,0.0,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-12.300226135414581,-8.269609033952,0.0,0.1,fixed_efficiency
fixed_efficiency_cfd0.15,ridge_minus_constrained_monotone_timewalk,-20.7162317424561,-16.207255518852143,0.0,0.15,fixed_efficiency
fixed_efficiency_cfd0.15,gradient_boosted_trees_minus_constrained_monotone_timewalk,-28.449986817811947,-21.94529410508546,0.0,0.15,fixed_efficiency
fixed_efficiency_cfd0.15,mlp_minus_constrained_monotone_timewalk,-24.86894647247118,-20.495079476975715,0.0,0.15,fixed_efficiency
fixed_efficiency_cfd0.15,cnn_1d_minus_constrained_monotone_timewalk,-2.6817098667505874,-0.9331041745812098,0.0,0.15,fixed_efficiency
fixed_efficiency_cfd0.15,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-16.598099151697905,-12.194683223996247,0.0,0.15,fixed_efficiency
fixed_efficiency_cfd0.20,ridge_minus_constrained_monotone_timewalk,-24.07857702256883,-19.166055139563138,0.0,0.2,fixed_efficiency
fixed_efficiency_cfd0.20,gradient_boosted_trees_minus_constrained_monotone_timewalk,-31.796232893716112,-24.52496326684275,0.0,0.2,fixed_efficiency
fixed_efficiency_cfd0.20,mlp_minus_constrained_monotone_timewalk,-29.168641907472516,-23.446296279449374,0.0,0.2,fixed_efficiency
fixed_efficiency_cfd0.20,cnn_1d_minus_constrained_monotone_timewalk,-2.9337599996266057,-1.5614497280275919,0.0,0.2,fixed_efficiency
fixed_efficiency_cfd0.20,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-20.886186997497994,-15.064563323785432,0.0,0.2,fixed_efficiency
fixed_efficiency_cfd0.25,ridge_minus_constrained_monotone_timewalk,-25.730924696389323,-21.50522802702383,0.0,0.25,fixed_efficiency
fixed_efficiency_cfd0.25,gradient_boosted_trees_minus_constrained_monotone_timewalk,-32.43938284064503,-25.850347139836224,0.0,0.25,fixed_efficiency
fixed_efficiency_cfd0.25,mlp_minus_constrained_monotone_timewalk,-30.649984923342718,-25.382574766772244,0.0,0.25,fixed_efficiency
fixed_efficiency_cfd0.25,cnn_1d_minus_constrained_monotone_timewalk,-3.571360601511145,-1.4979531876660843,0.0,0.25,fixed_efficiency
fixed_efficiency_cfd0.25,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-23.006254289461886,-16.973192372740463,0.0,0.25,fixed_efficiency
fixed_efficiency_cfd0.30,ridge_minus_constrained_monotone_timewalk,-26.350355391169128,-23.12200376072727,0.0,0.3,fixed_efficiency
fixed_efficiency_cfd0.30,gradient_boosted_trees_minus_constrained_monotone_timewalk,-33.08500227860531,-28.203164641866227,0.0,0.3,fixed_efficiency
fixed_efficiency_cfd0.30,mlp_minus_constrained_monotone_timewalk,-31.413522262653267,-27.175393316002538,0.0,0.3,fixed_efficiency
fixed_efficiency_cfd0.30,cnn_1d_minus_constrained_monotone_timewalk,-3.6120117648266574,-2.1256155218666604,0.0,0.3,fixed_efficiency
fixed_efficiency_cfd0.30,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-23.67814924456462,-19.25678733733141,0.0,0.3,fixed_efficiency
fixed_efficiency_cfd0.35,ridge_minus_constrained_monotone_timewalk,-28.186262657388983,-23.696366059909924,0.0,0.35,fixed_efficiency
fixed_efficiency_cfd0.35,gradient_boosted_trees_minus_constrained_monotone_timewalk,-33.57613557413258,-27.93007293223771,0.0,0.35,fixed_efficiency
fixed_efficiency_cfd0.35,mlp_minus_constrained_monotone_timewalk,-31.790558936375128,-27.131553744470867,0.0,0.35,fixed_efficiency
fixed_efficiency_cfd0.35,cnn_1d_minus_constrained_monotone_timewalk,-4.073545388792496,-2.293548405198132,0.0,0.35,fixed_efficiency
fixed_efficiency_cfd0.35,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-26.490235538616677,-21.32590616261275,0.0,0.35,fixed_efficiency
