pool,method,run,n_pairs,robust_width_ns,full_rms_ns,cfd_fraction,gate_family
fixed_efficiency_cfd0.10,constrained_monotone_timewalk,58,214,33.76201451794218,36.13885719668148,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,constrained_monotone_timewalk,59,262,36.98779698071729,39.057318293501524,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,constrained_monotone_timewalk,60,222,34.128663951545526,37.623549326464904,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,constrained_monotone_timewalk,61,225,36.53555353535353,39.840545282554686,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,constrained_monotone_timewalk,62,232,41.01841514041514,41.166769432897624,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,constrained_monotone_timewalk,63,234,28.348897765976325,30.99792689836194,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,constrained_monotone_timewalk,65,238,28.293867704816066,38.553713921405574,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,ridge,58,214,17.262081660678447,24.86722373458321,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,ridge,59,262,23.198768815538127,27.15013626191535,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,ridge,60,222,20.352030767424665,25.17401471050754,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,ridge,61,225,26.486449120120174,28.79862883872412,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,ridge,62,232,24.842433711835675,29.114288127129438,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,ridge,63,234,19.00823744678204,23.606966602033307,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,ridge,65,238,17.595643001313803,23.374822233423913,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,gradient_boosted_trees,58,214,12.200389344459495,17.55653224883688,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,gradient_boosted_trees,59,262,13.053967604957547,20.79071669789541,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,gradient_boosted_trees,60,222,12.831961479745477,15.828161788966792,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,gradient_boosted_trees,61,225,12.538169436259416,19.7561757796334,0.1,fixed_efficiency
fixed_efficiency_cfd0.10,gradient_boosted_trees,62,232,14.820043287041885,21.373544335618984,0.1,fixed_efficiency
