method,pileup_proxy,saturation_flag,n,rmse_adc,bias_adc,median_abs_residual_adc
ML_gradient_boosted_trees,0,0,3272,74.8753755269416,3.2237504613233803,25.484284302389824
ML_gradient_boosted_trees,0,1,1,81.04076563488888,-81.04076563488888,81.04076563488888
ML_gradient_boosted_trees,1,0,7905,72.72579113784178,-0.5608197559889533,14.161831296249147
ML_gradient_boosted_trees,1,1,667,98.04985477984052,-0.927470114306135,34.709699493980224
ML_mlp,0,0,3272,213.04166584454498,-3.3597682775669986,99.8782958984375
ML_mlp,0,1,1,934.0048828125,-934.0048828125,934.0048828125
ML_mlp,1,0,7905,247.0652547864713,-25.08018290780904,123.720947265625
ML_mlp,1,1,667,613.7165997603092,-97.85618213842298,436.3798828125
ML_ridge,0,0,3272,243.49131775231356,19.61390352923159,124.9736328125
ML_ridge,0,1,1,231.9462890625,-231.9462890625,231.9462890625
ML_ridge,1,0,7905,245.78945030333634,14.805167782208649,127.005859375
ML_ridge,1,1,667,462.0114205388476,-62.573814289144494,345.98779296875
NN_1d_cnn,0,0,3272,5718.94381551405,5115.0018627661075,4775.640380859375
NN_1d_cnn,0,1,1,1216.8955078125,1216.8955078125,1216.8955078125
NN_1d_cnn,1,0,7905,4036.491536858953,3721.5088566991817,3688.552734375
NN_1d_cnn,1,1,667,1336.4415834956792,244.74576176267334,981.052734375
NN_transformer_new,0,0,3272,2559.8154520901057,-724.6304948802099,1763.3057861328125
NN_transformer_new,0,1,1,5797.6044921875,-5797.6044921875,5797.6044921875
NN_transformer_new,1,0,7905,2682.1000549792275,-2383.5287329271428,2293.890380859375
NN_transformer_new,1,1,667,6547.034361852066,-6476.675428765109,6472.416748046875
traditional_sideband_energy_window,0,0,3272,585.4168574280035,294.2875511136652,249.65837995298068
traditional_sideband_energy_window,0,1,1,586.6754000744322,-586.6754000744322,586.6754000744322
traditional_sideband_energy_window,1,0,7905,308.13017649957953,-14.08782824637741,6.369398759773503
traditional_sideband_energy_window,1,1,667,420.33947901054444,1.9346991927772403,14.737141793822047
