method,run,n,rmse_adc,mae_adc,bias_adc
ML_gradient_boosted_trees,42,1324,80.09417718887488,37.74223895201199,-0.9983908397071425
ML_gradient_boosted_trees,50,1370,63.05642492432956,32.23135542922471,-1.4031768820533974
ML_gradient_boosted_trees,57,1303,84.31641022089701,36.146422063895486,2.316312136764676
ML_gradient_boosted_trees,58,1299,77.13306682251608,30.28528136333455,-1.5907019795447452
ML_gradient_boosted_trees,60,1800,50.87102548066289,28.103365131711953,0.7416349014252314
ML_gradient_boosted_trees,62,1800,96.95739634369549,32.96432603698983,0.5843255375312281
ML_gradient_boosted_trees,64,1621,73.06197153661425,31.23976601364894,3.6229333840776063
ML_gradient_boosted_trees,65,1328,63.8123458996721,30.13220146669536,-0.4156226218534867
ML_mlp,42,1324,317.4442482501103,210.99799106056236,-30.026979532846873
ML_mlp,50,1370,348.6908150134132,232.99906901338676,-41.035961780408876
ML_mlp,57,1303,269.77252250425494,183.85288214518854,-4.552507952370282
ML_mlp,58,1299,265.2806715934946,178.17897164078286,-33.13744292578576
ML_mlp,60,1800,231.50726829363592,149.5207140519884,-23.40113471984863
ML_mlp,62,1800,253.86276768603287,153.70274084303114,-18.570103920830622
ML_mlp,64,1621,231.18295585131813,147.15381396868435,-14.41461897984763
ML_mlp,65,1328,271.35537138450616,164.23825789072427,-23.787134319902904
ML_ridge,42,1324,294.36649185229,208.00217245352593,7.899285825717845
ML_ridge,50,1370,314.264711246737,226.7081673837926,-29.270598062111514
ML_ridge,57,1303,278.43900135928607,194.73705669777812,18.387656066935516
ML_ridge,58,1299,276.69830333463057,190.26674454169975,-4.649618311787313
ML_ridge,60,1800,219.49826852279224,155.14258380777306,29.58252110487885
ML_ridge,62,1800,227.80054243110095,154.4467318005032,28.449887597825793
ML_ridge,64,1621,221.49106682706056,159.17362159714884,19.219029273021963
ML_ridge,65,1328,279.6031326997625,187.33387861266195,11.561208112412189
NN_1d_cnn,42,1324,4395.7140310248915,3637.562370553838,3499.7436748400914
NN_1d_cnn,50,1370,3656.341894826583,3106.6894652429287,2976.3570576243155
NN_1d_cnn,57,1303,4417.663409465763,3894.5885618711927,3826.3931358261284
NN_1d_cnn,58,1299,4445.238194972861,3966.6405708718244,3925.6017699913396
NN_1d_cnn,60,1800,4512.326841210279,4036.459418267144,4007.809084065755
NN_1d_cnn,62,1800,4577.816172825265,4177.475005832248,4151.3257105848525
NN_1d_cnn,64,1621,4702.2029061964995,4348.361640567768,4302.327009950575
NN_1d_cnn,65,1328,4893.264648872955,4442.021489706384,4414.4160110289795
NN_transformer_new,42,1324,3815.4454817031974,2837.5987502729063,-2441.2298954620824
NN_transformer_new,50,1370,3859.3084700437175,3226.3236803040886,-3011.9354751475535
NN_transformer_new,57,1303,2995.837972473116,2480.766704240215,-2189.887951819419
NN_transformer_new,58,1299,2959.5755158569405,2495.725478620874,-2286.026523181895
NN_transformer_new,60,1800,2724.515523565298,2418.4598350694446,-2047.850861545139
NN_transformer_new,62,1800,2562.1566186062214,2281.3172620307073,-1866.8439265272352
NN_transformer_new,64,1621,2507.107301378232,2160.8877609789483,-1813.291782084988
NN_transformer_new,65,1328,2575.8382396463167,2131.410998241011,-1785.5547393431145
traditional_sideband_energy_window,42,1324,458.2584695011181,196.0043848466991,15.478976137725025
traditional_sideband_energy_window,50,1370,353.5353606016146,130.32295637760646,19.113984120128496
traditional_sideband_energy_window,57,1303,429.5855879221909,186.86369758565402,56.28808496692663
traditional_sideband_energy_window,58,1299,337.16504322583296,116.70480674248071,23.779999894620158
traditional_sideband_energy_window,60,1800,442.1116281299432,191.98448430568627,129.08483186342383
traditional_sideband_energy_window,62,1800,431.06045450890184,188.93221086844633,132.55120437805644
traditional_sideband_energy_window,64,1621,383.6624190304761,159.6387391889671,95.26115260591874
traditional_sideband_energy_window,65,1328,414.14779412505715,158.91761331396356,57.20726135768869
