benchmark_role,method,target,metric,value,ci_low,ci_high,folds,min_fold,max_fold
claim,ML train-run-only AE latent distance,manual_flag,adjusted_mutual_info,0.30280192156981534,0.27376412605242484,0.32956797438285135,33,0.10652050343017648,0.4419181756201442
claim,ML train-run-only AE latent distance,manual_flag,purity,0.9461983270007602,0.9393113405478452,0.9541514737477905,33,0.9118264134275619,0.9856782321439563
claim,ML train-run-only AE latent distance,peak_group,adjusted_mutual_info,0.2487955751320483,0.2269083485002423,0.2738561562904415,33,0.12273810549666586,0.42357161673893123
claim,ML train-run-only AE latent distance,peak_group,purity,0.7956232687279355,0.7774817568425114,0.8164580238193516,33,0.6931353990236127,0.9633514093319826
claim,traditional train-run-only hand/PCA distance,manual_flag,adjusted_mutual_info,0.47597274261075617,0.44931045859774704,0.5052391122090139,33,0.31351930406399,0.7606068553381988
claim,traditional train-run-only hand/PCA distance,manual_flag,purity,0.9760092238076205,0.9721667635778368,0.980104399833571,33,0.9558403892033493,0.9941775836972343
claim,traditional train-run-only hand/PCA distance,peak_group,adjusted_mutual_info,0.25022921173762525,0.23128503096902542,0.26870197012159597,33,0.14164433087988598,0.35191780227442104
claim,traditional train-run-only hand/PCA distance,peak_group,purity,0.7919283748165739,0.7748642926526499,0.8111609112722472,33,0.701952774733486,0.9588820690066147
forbidden_all_data_guard,forbidden all-data AE latent distance,manual_flag,adjusted_mutual_info,0.38268668345799733,0.36381381075014957,0.4004713980181273,33,0.19447562034033286,0.42877062802065213
forbidden_all_data_guard,forbidden all-data AE latent distance,manual_flag,purity,0.9592178829495546,0.9526990303195265,0.9651167083739752,33,0.9371933267909716,0.9908898783265281
forbidden_all_data_guard,forbidden all-data AE latent distance,peak_group,adjusted_mutual_info,0.23590424381647823,0.21510498108257514,0.2557028341936509,33,0.12281333192614954,0.32464282977546044
forbidden_all_data_guard,forbidden all-data AE latent distance,peak_group,purity,0.7934476234923665,0.7744208945034384,0.8127850202814256,33,0.6987147554050015,0.9621595852452178
