heldout_run,train_rows_available,train_rows_fit,heldout_rows,ae_final_loss
31,612866,30476,27871,0.35582059621810913
32,612497,30488,28240,0.32780327275395393
33,592000,30371,48737,0.4090447798371315
34,606619,30474,34118,0.36905937641859055
35,629070,30572,11667,0.37654657289385796
36,630346,30603,10391,0.3743737041950226
37,616200,30346,24537,0.36733635887503624
39,626519,30426,14218,0.3486612103879452
40,626029,30391,14708,0.3686402328312397
41,624591,30382,16146,0.3732581287622452
42,622625,30390,18112,0.35944459959864616
44,638699,30953,2038,0.377674363553524
45,616404,30330,24333,0.3375520892441273
46,640050,31095,687,0.3578023128211498
47,635461,30947,5276,0.3697364591062069
48,626737,30450,14000,0.37783806398510933
49,625922,30411,14815,0.32817981019616127
50,605520,30367,35217,0.3566223233938217
51,625997,30570,14740,0.33627327159047127
52,633585,30848,7152,0.368560828268528
53,608537,30391,32200,0.35572508722543716
54,610297,30396,30440,0.3282253108918667
55,623350,30527,17387,0.37758147343993187
56,600589,30335,40148,0.3889615051448345
57,626904,30404,13833,0.35778652131557465
58,623956,30408,16781,0.37851087003946304
59,619360,30207,21377,0.3958022966980934
60,623708,30207,17029,0.3977111019194126
61,621772,30207,18965,0.40044428780674934
62,621648,30207,19089,0.3856218345463276
63,621920,30207,18817,0.33902933448553085
64,626107,30236,14630,0.399377066642046
65,627699,30402,13038,0.3511648252606392
