benchmark_role,heldout_run,method,target,metric,value,heldout_rows
claim,31,traditional train-run-only hand/PCA distance,manual_flag,adjusted_mutual_info,0.5071072129427717,27871
claim,31,traditional train-run-only hand/PCA distance,manual_flag,purity,0.9880520971619245,27871
claim,31,traditional train-run-only hand/PCA distance,peak_group,adjusted_mutual_info,0.20307269022967228,27871
claim,31,traditional train-run-only hand/PCA distance,peak_group,purity,0.7263105019554376,27871
claim,31,ML train-run-only AE latent distance,manual_flag,adjusted_mutual_info,0.41206613553609656,27871
claim,31,ML train-run-only AE latent distance,manual_flag,purity,0.9381435901115855,27871
claim,31,ML train-run-only AE latent distance,peak_group,adjusted_mutual_info,0.20809591288972773,27871
claim,31,ML train-run-only AE latent distance,peak_group,purity,0.717735280398981,27871
claim,32,traditional train-run-only hand/PCA distance,manual_flag,adjusted_mutual_info,0.510144883935647,28240
claim,32,traditional train-run-only hand/PCA distance,manual_flag,purity,0.9860481586402267,28240
claim,32,traditional train-run-only hand/PCA distance,peak_group,adjusted_mutual_info,0.20382250131019264,28240
claim,32,traditional train-run-only hand/PCA distance,peak_group,purity,0.720998583569405,28240
claim,32,ML train-run-only AE latent distance,manual_flag,adjusted_mutual_info,0.3459228175520097,28240
claim,32,ML train-run-only AE latent distance,manual_flag,purity,0.9492917847025496,28240
claim,32,ML train-run-only AE latent distance,peak_group,adjusted_mutual_info,0.20592475764768686,28240
claim,32,ML train-run-only AE latent distance,peak_group,purity,0.7268059490084986,28240
claim,33,traditional train-run-only hand/PCA distance,manual_flag,adjusted_mutual_info,0.3521057205906321,48737
claim,33,traditional train-run-only hand/PCA distance,manual_flag,purity,0.994111250179535,48737
claim,33,traditional train-run-only hand/PCA distance,peak_group,adjusted_mutual_info,0.1696585805741787,48737
claim,33,traditional train-run-only hand/PCA distance,peak_group,purity,0.8814863450766358,48737
claim,33,ML train-run-only AE latent distance,manual_flag,adjusted_mutual_info,0.10652050343017648,48737
claim,33,ML train-run-only AE latent distance,manual_flag,purity,0.9856782321439563,48737
claim,33,ML train-run-only AE latent distance,peak_group,adjusted_mutual_info,0.12410187128799081,48737
