run,event_index,event_id,stave,stave_index,amplitude_adc,trad_cluster,trad_nearest_centroid_distance,ml_cluster,ml_nearest_centroid_distance,trad_z0,trad_z1,trad_z2,trad_z3,ml_z0,ml_z1,ml_z2,ml_z3
31,0,391389,B2,0,7858.5,7,0.4219365,4,0.018687762,-0.11252024,-0.97495526,-0.06829384,0.27785125,-0.12367827,-0.24830058,0.07024305,0.14538789
31,1,391390,B2,0,5667.5,7,0.78680676,4,0.02052969,-0.12587668,-2.0921855,-0.16843888,-0.13925971,-0.12329196,-0.27814412,0.07795069,0.1341553
31,2,391391,B2,0,4843.0,7,0.28691453,4,0.01952228,-0.22570689,-1.603586,-0.063745126,-0.012229711,-0.12620702,-0.27225846,0.06970826,0.13912918
31,4,391393,B2,0,4226.0,7,0.172225,4,0.0228832,-0.16276403,-1.3399422,-0.24396476,0.15826786,-0.13378797,-0.27782968,0.07612418,0.14374508
31,5,391394,B2,0,8382.0,7,0.5230231,4,0.019328501,-0.06503854,-0.9422805,-0.19045936,0.3844714,-0.12312031,-0.24463236,0.07277432,0.1448204
31,8,391397,B2,0,1315.0,2,1.484082,1,0.13114718,4.1299243,5.451833,-7.9423227,-1.4443967,-0.06247754,0.87918156,-0.5296651,-0.13427925
31,10,391399,B2,0,7556.0,7,0.4838199,4,0.02377954,-0.11914161,-0.97151667,-0.13028336,0.38161996,-0.12457761,-0.24507071,0.06696245,0.14767727
31,12,391401,B2,0,7100.0,7,0.08619951,4,0.030719673,-0.18757829,-1.2636969,-0.07914205,0.10160723,-0.12902881,-0.2395619,0.06615172,0.15374303
31,13,391402,B2,0,5000.5,7,0.48700154,4,0.024685968,-0.19692658,-1.7859073,-0.01428479,-0.0995297,-0.122113645,-0.27731082,0.0681594,0.13424356
31,14,391403,B2,0,8608.0,1,0.6562407,4,0.03690249,-0.080412984,-0.49668145,-0.162356,0.25492904,-0.12669376,-0.23077293,0.06641175,0.15448038
31,15,391404,B2,0,4782.0,7,0.45487565,4,0.022747064,-0.21940222,-1.775583,-0.06645934,-0.036894128,-0.12367036,-0.276294,0.06963606,0.13510662
31,16,391405,B2,0,4299.0,7,0.27381045,4,0.023587437,-0.200203,-1.5976691,-0.17296726,0.088164225,-0.12948754,-0.27904153,0.07248747,0.13968131
31,17,391406,B2,0,8246.5,7,0.5148136,4,0.022621274,-0.08489485,-0.9457844,-0.18235286,0.38315427,-0.12403187,-0.24330151,0.06988953,0.14672133
31,18,391407,B2,0,5993.0,7,1.0177274,4,0.017867794,-0.15620594,-2.3282886,-0.11814664,-0.16419365,-0.12455128,-0.27618915,0.07935676,0.1361444
31,19,391408,B2,0,2261.0,0,0.4780031,7,0.014489584,-1.0844526,3.2915936,2.0004911,0.1297317,-0.15091737,-0.19968814,0.08433707,0.1889241
31,19,391408,B4,1,1965.5,0,0.48588222,7,0.009378297,-1.0881974,3.2796474,2.0174282,0.12180418,-0.1527501,-0.2044016,0.08751135,0.19169997
31,21,391410,B2,0,8870.0,7,0.6807482,4,0.010152446,0.07084836,-0.78263044,-0.32329822,0.29103023,-0.12000849,-0.25008243,0.0829542,0.1406405
31,22,391411,B8,3,1812.0,1,0.38818064,4,0.016474973,-0.039450783,-0.35812837,-0.060395572,-0.40975642,-0.12257131,-0.25529355,0.099964336,0.1378046
31,23,391412,B2,0,7831.0,7,0.58816147,4,0.03904255,-0.16310951,-0.7674396,-0.05483815,0.20628826,-0.12948295,-0.23286763,0.06417188,0.15933782
31,27,391416,B2,0,4005.0,7,0.3169471,4,0.02226858,-0.08280436,-1.0847418,-0.26085007,0.12074625,-0.12163224,-0.27652538,0.07560515,0.12839979
31,29,391418,B2,0,1599.5,1,0.5637659,4,0.039008275,0.046682954,0.36839947,-0.12444487,-0.48192194,-0.12428612,-0.22666296,0.10497277,0.1346959
31,30,391419,B2,0,7708.5,1,0.6025242,7,0.025683237,-0.22655748,-0.45223036,0.02419284,0.24986844,-0.14546889,-0.2315145,0.09345189,0.17334439
31,31,391420,B2,0,4464.5,7,0.2303272,4,0.023999609,-0.25740263,-1.2382879,-0.07493056,0.25417325,-0.13832581,-0.2706674,0.084502675,0.15486866
31,32,391421,B2,0,4149.5,1,1.981097,2,0.050600093,1.0750518,0.60596836,-1.402328,-0.29164046,-0.11584903,-0.11727495,0.03220942,0.070634186
31,35,391424,B2,0,8358.5,7,0.17467752,4,0.011876755,-0.056339934,-1.3009086,-0.19057207,0.16536097,-0.123111166,-0.25161248,0.075776845,0.14284149
31,36,391425,B2,0,6934.0,7,0.27090958,4,0.022233203,-0.20051269,-1.4887724,-0.030321479,0.28340352,-0.12555316,-0.2514764,0.06511474,0.14773494
31,37,391426,B2,0,3051.0,1,0.25665674,4,0.018784426,-0.045360614,-0.10701996,-0.075480975,-0.40845126,-0.130078,-0.2607237,0.10122222,0.14393395
