method,shuffled_proxy,n_pairs,n_events,veto_fraction,timing_efficiency,tail_fraction_before,tail_fraction_after,tail_capture,tail_fraction_delta,auc,average_precision,brier,veto_fraction_ci_low,veto_fraction_ci_high,tail_fraction_after_ci_low,tail_fraction_after_ci_high,tail_fraction_delta_ci_low,tail_fraction_delta_ci_high,tail_capture_ci_low,tail_capture_ci_high,auc_ci_low,auc_ci_high,average_precision_ci_low,average_precision_ci_high
traditional_quantile,False,11460,3820,0.10026178010471204,0.8997382198952879,0.015183246073298429,0.011541072640868975,0.3160919540229885,-0.0036421734324294536,0.7011703035598982,0.05064350532643156,0.35755353210498464,0.08218277449046679,0.11536837911786216,0.008263802321963203,0.013834063307191762,-0.0046721769799850914,-0.002753638477131568,0.26959841628959275,0.36676573426573417,0.6735371950762437,0.7283058686062872,0.03856231277127372,0.07126902397749968
traditional_quantile,True,11460,3820,0.10130890052356022,0.8986910994764398,0.015183246073298429,0.014855811243810078,0.1206896551724138,-0.000327434829488351,0.521960378130977,0.016748763825822542,0.3620397249703686,0.09727860741746305,0.10613608907023046,0.01116397862065732,0.018258515948722923,-0.0011584408335053567,0.00036430660592590315,0.07777397260273973,0.1688333625833626,0.4869845620921596,0.5602885559507305,0.013051994973993624,0.020382743271747685
ridge,False,11460,3820,0.10052356020942409,0.8994764397905759,0.015183246073298429,0.00863407062475747,0.4885057471264368,-0.006549175448540959,0.7315568469530962,0.14863613023692407,0.2072547964898249,0.08918617444477916,0.10889248293212925,0.005484916479680878,0.011089904186095081,-0.008264610153669895,-0.0046512772278478895,0.40338675671812463,0.5905723478113623,0.6873063259334685,0.8004868172586839,0.08323183082569219,0.25348924178043447
ridge,True,11460,3820,0.0830715532286213,0.9169284467713787,0.015183246073298429,0.013703844689760183,0.1724137931034483,-0.0014794013835382463,0.42743374458437977,0.03840163784290514,0.24726810942583904,0.06377111340916926,0.0995363745292708,0.010134478507490973,0.015739221853463714,-0.00373094903559431,0.00014679382166627128,0.06312761993479274,0.2842142678972312,0.32833160447927917,0.5417395236659632,0.02261298349360027,0.09852892652568498
gradient_boosted_trees,False,11460,3820,0.10209424083769633,0.8979057591623036,0.015183246073298429,0.00816326530612245,0.5172413793103449,-0.007019980767175979,0.7450100928624825,0.24766622429650578,0.012721379317414426,0.09465381681810375,0.10892564446431233,0.005639817465189371,0.010003493276022015,-0.00882482333949213,-0.005165870208301402,0.45401500638569603,0.5833333333333334,0.7128355017207811,0.7711257009167188,0.17335504216035263,0.34052023005848253
gradient_boosted_trees,True,11460,3820,0.09720767888307155,0.9027923211169284,0.015183246073298429,0.014111734003479606,0.16091954022988506,-0.0010715120698188228,0.4528257978046242,0.017214266368409677,0.015067669721935463,0.068252411312735,0.11929824561403508,0.008399621967971631,0.017592121425381937,-0.0029661043876568357,0.0002109419785150387,0.08886446886446887,0.33896286571642886,0.38869314854577397,0.5908163290471469,0.01289027255083942,0.028054674857173872
mlp,False,11460,3820,0.10148342059336823,0.8985165794066318,0.015183246073298429,0.008449062833835098,0.5,-0.006734183239463331,0.7418401600192284,0.2896977432252118,0.012437487509389309,0.09216616717505743,0.10811130456605964,0.005950716808206508,0.010427528675703858,-0.008293736578218035,-0.004841463433132094,0.4470525657071339,0.5595889687235841,0.7244104184287775,0.7648576198808513,0.23215921183574387,0.3951052291209198
mlp,True,11460,3820,0.10165794066317627,0.8983420593368238,0.015183246073298429,0.014473045167557066,0.14367816091954022,-0.0007102009057413632,0.4608074086295502,0.0180871764731641,0.07494535663368875,0.09383695578673328,0.10778353941092503,0.010613714116073094,0.017543859649122806,-0.0015158823429191309,-0.00014003876121224286,0.10791043811657261,0.2,0.39113647078555963,0.5082751960221459,0.011781215227847463,0.041849759322652405
cnn1d,False,11460,3820,0.09790575916230367,0.9020942408376963,0.015183246073298429,0.008028632230605534,0.5229885057471264,-0.007154613842692895,0.7386824486038037,0.3160370605327882,0.14557208319132472,0.08258898649316106,0.10936746392447436,0.005788190317993107,0.009874183117245937,-0.009142250323826854,-0.00516014317174746,0.47559451219512194,0.5870367070563078,0.7155620288259097,0.7956111078425127,0.21624129810117856,0.46978207873904104
cnn1d,True,11460,3820,0.09389179755671902,0.9061082024432809,0.015183246073298429,0.01454160246533128,0.13218390804597702,-0.0006416436079671496,0.35694003963816423,0.014342352416722664,0.24983898824226541,0.08498002042855059,0.09888314837887728,0.010392855079348591,0.017971893500266553,-0.001260196003746453,-0.00023736197133799802,0.10526315789473684,0.1750109649122807,0.31144961563249557,0.4090977876018316,0.01178105320001193,0.019557725559315328
siamese_cnn_meta,False,11460,3820,0.09738219895287958,0.9026178010471204,0.015183246073298429,0.008217324052590874,0.5114942528735632,-0.006965922020707555,0.7420504704231262,0.30219786947914085,0.13736291162293293,0.08100009572413527,0.10940566798367968,0.005449897028283347,0.01010289990645463,-0.008571465494199109,-0.005364418299124498,0.461036424512987,0.5714457417582417,0.7157548129249434,0.775461067253251,0.23229005160281407,0.423190188499694
siamese_cnn_meta,True,11460,3820,0.06055846422338569,0.9394415357766143,0.015183246073298429,0.014118521270666914,0.12643678160919541,-0.0010647248026315146,0.41166199197052195,0.035633523332603896,0.24493031019491804,0.046975219049859296,0.08541996298016528,0.008948439604829383,0.018150388936905792,-0.0023232343190950303,0.00027376897664191033,0.03591751408425752,0.25748360550340743,0.3310107723809807,0.49274836106908726,0.014015764364888366,0.0794922286685353
