event_id,run,pair,pair_code,stave_a,stave_b,residual_ns,max_pre_abs_adc,max_pre_ptp_adc,max_pre_rms_adc,max_abs_pre_slope_adc_per_sample,mean_pre_mean_adc,abs_delta_pre_mean_adc,abs_delta_pre_slope_adc_per_sample,max_pre_last_minus_first_adc,abs_delta_pre_last_minus_first_adc,min_amplitude_adc,max_peak_sample
58:391631:10103:2692,58,B4-B6,0,B4,B6,-3.916585084693601,7.5,11.0,4.387482193696061,2.6,0.25,1.5,0.4000000000000003,6.0,1.0,2799.5,9.0
58:391631:10103:2692,58,B4-B8,1,B4,B8,-3.439525131378531,12.5,16.0,6.098155458825234,4.7,1.625,1.25,2.1,16.0,11.0,2799.5,9.0
58:391631:10103:2692,58,B6-B8,2,B6,B8,0.4770599533150701,12.5,16.0,6.098155458825234,4.7,0.875,2.75,2.5000000000000004,16.0,10.0,2949.5,8.0
58:391841:10300:2900,58,B4-B6,0,B4,B6,-4.77227106404527,37.0,53.0,19.917015338649517,15.1,-2.625,5.25,16.299999999999997,43.0,46.0,3075.5,13.0
58:391841:10300:2900,58,B4-B8,1,B4,B8,-3.3236909143832776,37.0,53.0,19.917015338649517,15.1,-2.75,5.0,11.400000000000002,43.0,34.0,3077.0,12.0
58:391841:10300:2900,58,B6-B8,2,B6,B8,1.4485801496619928,7.5,14.0,5.261891294962297,3.6999999999999984,-0.125,0.25,4.899999999999997,9.0,12.0,3075.5,13.0
58:392066:10514:3123,58,B4-B6,0,B4,B6,-3.7273956732449705,12.0,16.0,6.057020719792859,3.0000000000000013,0.625,2.75,4.700000000000002,11.0,16.0,2045.0,8.0
58:392066:10514:3123,58,B4-B8,1,B4,B8,-1.0409795062342084,12.0,15.0,6.057020719792859,3.5000000000000013,0.75,3.0,5.200000000000002,13.0,18.0,2045.0,8.0
58:392066:10514:3123,58,B6-B8,2,B6,B8,2.686416167010762,12.0,16.0,6.041522986797286,3.5000000000000013,2.125,0.25,0.5,13.0,2.0,2216.0,8.0
58:392204:10642:3261,58,B4-B6,0,B4,B6,-4.880936657211464,25.5,40.0,15.896147331979533,4.300000000000003,-1.5,2.5,4.000000000000003,16.0,15.0,2875.5,10.0
58:392204:10642:3261,58,B4-B8,1,B4,B8,-4.601066565221856,13.0,21.0,8.317902379807062,7.3,-0.75,1.0,7.6,21.0,22.0,3032.5,10.0
58:392204:10642:3261,58,B6-B8,2,B6,B8,0.2798700919896077,25.5,40.0,15.896147331979533,7.3,-2.0,1.5,11.600000000000003,21.0,37.0,2875.5,8.0
58:392294:10722:3348,58,B4-B6,0,B4,B6,-4.811859348087488,13.5,17.0,6.745368781616021,5.6,1.125,2.75,5.099999999999999,17.0,15.0,1168.0,9.0
58:392294:10722:3348,58,B4-B8,1,B4,B8,-3.2785285106547803,25.5,41.0,17.53567791675018,14.6,2.5,0.0,9.000000000000002,39.0,22.0,1661.5,9.0
58:392294:10722:3348,58,B6-B8,2,B6,B8,1.5333308374327077,25.5,41.0,17.53567791675018,14.6,1.125,2.75,14.1,39.0,37.0,1168.0,9.0
58:392636:11042:3687,58,B4-B6,0,B4,B6,-6.8808267365773546,7.5,11.0,4.153311931459037,3.2,-0.25,1.5,5.199999999999999,9.0,13.0,2622.0,10.0
58:392636:11042:3687,58,B4-B8,1,B4,B8,-5.629836406550531,23.0,35.0,13.88119231190174,12.099999999999998,-1.875,1.75,8.899999999999999,35.0,26.0,3248.0,9.0
58:392636:11042:3687,58,B6-B8,2,B6,B8,1.2509903300268237,23.0,35.0,13.88119231190174,12.099999999999998,-1.125,3.25,14.099999999999998,35.0,39.0,2622.0,10.0
58:393248:11615:4294,58,B4-B6,0,B4,B6,-3.97219735623473,14.0,24.0,9.539392014169456,8.399999999999999,-0.375,1.25,6.099999999999998,24.0,12.0,2430.0,16.0
58:393248:11615:4294,58,B4-B8,1,B4,B8,-3.69045598092238,18.0,34.0,15.14100392972672,12.2,-0.25,1.5,20.6,31.0,55.0,2459.0,16.0
58:393248:11615:4294,58,B6-B8,2,B6,B8,0.2817413753123503,18.0,34.0,15.14100392972672,12.2,0.375,0.25,14.5,31.0,43.0,2430.0,16.0
58:394656:12923:5698,58,B4-B6,0,B4,B6,-6.140833758638443,20.5,30.0,12.173228823939851,10.1,1.375,2.75,12.499999999999998,28.0,34.0,2652.5,11.0
58:394656:12923:5698,58,B4-B8,1,B4,B8,-6.087708618517901,9.0,18.0,6.708203932499369,2.399999999999997,0.375,0.75,0.8999999999999979,6.0,0.0,3165.0,11.0
58:394656:12923:5698,58,B6-B8,2,B6,B8,0.0531251401205423,20.5,30.0,12.173228823939851,10.1,1.75,2.0,11.6,28.0,34.0,2652.5,9.0
