method,n_pairs,median_ns,robust_width_ns,full_rms_ns,tail_fraction_abs_gt_5ns,within_abs_2ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,fit_window_ns,pool,support_fraction
traditional,73,-0.18392417561690877,1.6834694841573636,1.564378718052904,0.0,0.7808219178082192,5.843675244725704,19.634484503795733,2.518383922685517,0.7292197312020489,2.5,run64_only,0.5748031496062992
ridge,73,-0.3343150747698118,1.4214610171683937,1.5419377799657834,0.0,0.821917808219178,2.3329754348337137,1.1156149211547408,0.17432101102592404,0.5420689645021632,2.5,run64_only,0.5748031496062992
gradient_boosted_trees,73,-0.3343150747698118,1.4214610171683937,1.5419377799657834,0.0,0.821917808219178,2.3329754348337137,1.1156149211547408,0.17432101102592404,0.5420689645021632,2.5,run64_only,0.5748031496062992
mlp,73,-0.3343150747698118,1.4214610171683937,1.5419377799657834,0.0,0.821917808219178,2.3329754348337137,1.1156149211547408,0.17432101102592404,0.5420689645021632,2.5,run64_only,0.5748031496062992
cnn1d,73,-0.3343150747698118,1.4214610171683937,1.5419377799657834,0.0,0.821917808219178,2.3329754348337137,1.1156149211547408,0.17432101102592404,0.5420689645021632,2.5,run64_only,0.5748031496062992
support_gated_cnn,73,-0.3343150747698118,1.4214610171683937,1.5419377799657834,0.0,0.821917808219178,2.3329754348337137,1.1156149211547408,0.17432101102592404,0.5420689645021632,2.5,run64_only,0.5748031496062992
traditional,82,-0.0418350163261465,1.6476514243133908,1.5035511476341732,0.0,0.8536585365853658,2.988738197117709,2.3245291912627923,-0.4563052292899123,1.119866954986594,2.5,sample_iii_early,0.6456692913385826
ridge,82,-0.026608087172041328,1.556179661125175,1.4967166793911895,0.0,0.8170731707317073,2.197893684305753,0.810923213493628,-0.2012836861777125,0.8999135840198722,2.5,sample_iii_early,0.6456692913385826
gradient_boosted_trees,82,-0.593389000162226,1.4714283988183727,1.4340215299525547,0.0,0.8292682926829268,2.117503699075851,0.8154670489965493,0.4240550777579034,1.0659694267944333,2.5,sample_iii_early,0.6456692913385826
mlp,82,-0.11867161652674829,1.5211153755624294,1.3689556040310187,0.0,0.8902439024390244,2.7082554421799707,1.8755390618119874,0.1442905900330202,1.9749059889668517,2.5,sample_iii_early,0.6456692913385826
cnn1d,82,-0.5562056722769597,1.2464642063841969,1.1995128252671503,0.0,0.9024390243902439,1.6997127596523374,0.4347203324106527,-0.03493986167405655,0.8008581463773897,2.5,sample_iii_early,0.6456692913385826
support_gated_cnn,82,0.09351528940778842,1.4617670000818412,1.4369800327878965,0.0,0.8658536585365854,2.118706950205167,0.8573915973889731,0.1711979177928092,1.159583612638331,2.5,sample_iii_early,0.6456692913385826
traditional,94,-0.022275488161085377,1.5363072117330387,1.449848333729036,0.0,0.851063829787234,2.5400027599950925,1.3934804794435676,0.13003174739563533,1.0845390509921875,2.5,sample_iii_late,0.7401574803149606
ridge,94,0.38270147112810915,1.6609110018132553,1.5772795089359755,0.0,0.7659574468085106,2.2392965922666135,0.9401627488336756,-0.2655618863366823,0.8259251243119443,2.5,sample_iii_late,0.7401574803149606
gradient_boosted_trees,94,-0.46461944957979107,1.4503382283949087,1.4028952753294213,0.0,0.8297872340425532,1.7199356565071366,0.41127955822918266,-0.06952164361574309,1.1964863396867154,2.5,sample_iii_late,0.7401574803149606
mlp,94,-0.2684505195401101,1.3886739820134686,1.3604768659640234,0.0,0.8297872340425532,2.1711824466952727,0.7346711286692027,-0.021373470137645505,1.369119717904749,2.5,sample_iii_late,0.7401574803149606
cnn1d,94,-0.44013169471761415,1.5697881237397864,1.4018060874086424,0.0,0.851063829787234,2.1060860306761198,0.8343051324574683,0.08531870066101918,1.2924700830077003,2.5,sample_iii_late,0.7401574803149606
support_gated_cnn,94,0.46599372946272766,1.1715501160480093,1.057953409521752,0.0,0.9787234042553191,1.3654230419366369,0.25190591524326006,0.018018303165593472,0.7957424294549088,2.5,sample_iii_late,0.7401574803149606
traditional,89,0.035379553577293166,1.5767558375684207,1.476435032283112,0.0,0.8426966292134831,2.006357215756395,0.6799501087752845,0.11265328936454824,0.8832088022865259,2.5,sample_iii_mixed,0.7007874015748031
ridge,89,0.08141391930620712,1.586696145380524,1.5140322779459556,0.0,0.8089887640449438,2.582559247089707,1.3488923403899449,-0.035467399504617664,0.9307490827354504,2.5,sample_iii_mixed,0.7007874015748031
gradient_boosted_trees,89,-0.5110036995954461,1.3627327137611958,1.369158498712622,0.0,0.8426966292134831,1.6233183233840618,0.3324089963254976,0.1692326396338046,0.5499439097175226,2.5,sample_iii_mixed,0.7007874015748031
mlp,89,-0.41032464178893147,1.4819803147294284,1.4004390052107543,0.0,0.8651685393258427,2.2476810862112733,0.9327713618657352,0.23844387738698342,1.124181970792216,2.5,sample_iii_mixed,0.7007874015748031
cnn1d,89,0.16625370612915447,1.0624538646458515,1.0284375567460404,0.0,0.9550561797752809,1.4790954293754572,0.3109866744240426,0.18183740121615577,1.1417737189405397,2.5,sample_iii_mixed,0.7007874015748031
support_gated_cnn,89,-0.04619466893392854,1.3516084088632827,1.2354578872828668,0.0,0.8764044943820225,1.9752546452298643,0.5870523671412613,0.10788733389226556,1.1506699455126603,2.5,sample_iii_mixed,0.7007874015748031
