pool,description,train_n_pairs,train_runs
run64_only,Original S18 Sample IV run 64 calibration pool only.,16,64
sample_iii_early,Early Sample III calibration-period A-stack runs only.,3816,"31,32,33,34,35,36,37,39,40,41,42"
sample_iii_late,Late Sample III analysis-period A-stack runs only.,2514,"44,45,46,47,48,49,50,51,52,53,54,55,56,57"
sample_iii_mixed,All available Sample III A-stack runs.,6330,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57"
