method,n_pairs,median_ns,robust_width_ns,full_rms_ns,tail_fraction_abs_gt_5ns,within_abs_2ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,fit_window_ns,pool,robust_ci_low_ns,robust_ci_high_ns
traditional,127,-0.5260384564236205,1.7936260637771233,1.7370391554518416,0.0,0.7086614173228346,1.9921764037756304,0.5288116611505606,-0.08294302013644377,1.5356428333968881,2.5,run64_only,1.3641535787716532,2.083146486759715
ridge,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.399020481001385,1.9778986145277424
gradient_boosted_trees,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.4103368969786603,1.9742209775665518
mlp,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.4103253534587301,1.9683953576945443
cnn1d,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.4051649142813902,1.9370369148293944
support_gated_cnn,127,0.05585501996958531,1.6623775253029547,1.5801504011084586,0.0,0.7716535433070866,1.5836290746145294,0.2537313579415588,-0.12067955284332224,0.6682248028663659,2.5,run64_only,1.408366928739695,1.935560678883544
traditional,127,0.06296879264721156,1.5577453031744022,1.490313100691901,0.0,0.84251968503937,1.7820620691151132,0.38482828270366,-0.27351654854649227,1.028143535874907,2.5,sample_iii_early,1.2752822059582682,1.6836267666498783
ridge,127,0.26470164711849353,1.4651454487542614,1.4626346079537056,0.0,0.84251968503937,1.776279846294197,0.3526410096680453,-0.1690740189369698,0.7929073681535399,2.5,sample_iii_early,1.2806792471007489,1.6449727271162717
gradient_boosted_trees,127,-0.5462235499997492,1.5277508462320253,1.575301650756892,0.007874015748031496,0.8188976377952756,1.9558567886279425,0.5769446706500148,0.12653803902168245,1.781550479054841,2.5,sample_iii_early,1.2308287568965994,1.7225954873013762
mlp,127,0.30661432824259105,1.7882679167884015,1.7613376189763552,0.007874015748031496,0.7401574803149606,2.5167132998255872,0.9733513946128683,0.2148650549020561,1.7188335883609787,2.5,sample_iii_early,1.4056418958091355,2.271359627573589
cnn1d,127,-0.6211126822012432,1.528259045899929,3.7394594856286574,0.07086614173228346,0.7716535433070866,1.7031991679296585,0.37994801929923716,-0.04732783774239441,1.1358354530632673,2.5,sample_iii_early,1.1715867694824844,1.9690179709388775
support_gated_cnn,127,0.5146226698216765,1.6536278519396537,2.980722985193844,0.03937007874015748,0.7716535433070866,2.2692448332646364,0.8346957270437066,-0.48075541409604095,1.7149800544601503,2.5,sample_iii_early,1.3493571999697376,2.5916036469696477
traditional,127,-0.03243820851864854,1.456624277722887,1.4720366872656505,0.0,0.84251968503937,2.037470731479423,0.6010953778214176,-0.18659652258183215,1.8483466555955372,2.5,sample_iii_late,1.2569893543986983,1.647663670110957
ridge,127,1.0198986420993368,2.2745612277470055,2.212018905734372,0.023622047244094488,0.6062992125984252,6.358039584068288,16.01269063667692,-1.124410535614599,0.7884550053355803,2.5,sample_iii_late,1.9055019346360278,2.8529148363160006
gradient_boosted_trees,127,-0.5008063356240813,1.479841003318974,6.8719532553728655,0.015748031496062992,0.8188976377952756,1.72327965736283,0.35845126072070504,-0.25446800074586257,1.6796326754730257,2.5,sample_iii_late,1.2047662673666575,1.671449697359709
mlp,127,-0.28797258365644485,1.3851062216682013,1.377945557682378,0.0,0.8503937007874016,2.0526237831260095,0.548353141584789,-0.15383127286845114,1.6185059860899926,2.5,sample_iii_late,1.2055750238637926,1.5800304054212717
cnn1d,127,-0.15994538301715266,1.723389463197556,1.711530842124172,0.0,0.7559055118110236,1.8667301240806364,0.43546676617920516,0.006535106083966793,1.0765507303135098,2.5,sample_iii_late,1.458529362662576,1.8772857396921996
support_gated_cnn,127,0.665515850877668,1.4509082423580508,2.3682503236512997,0.07086614173228346,0.8110236220472441,1.5980612529278448,0.3511687564955215,-0.20256703426050823,1.2112161415462737,2.5,sample_iii_late,1.2814362361495817,2.3706466778557385
traditional,127,0.035379553577293166,1.4921094019259467,1.476962066204108,0.0,0.8503937007874016,1.6829194724736605,0.33717264679829667,0.14586604642198495,1.0460414540403227,2.5,sample_iii_mixed,1.283915747136255,1.663420870566097
ridge,127,0.686097948421919,1.8636634425445946,1.780947420385955,0.0,0.7165354330708661,2.4178805011087494,0.9314021967783825,-0.10817303369212518,1.8653377214252906,2.5,sample_iii_mixed,1.567415726810535,2.2652321670735973
gradient_boosted_trees,127,-0.4535712447873528,1.3702898462484696,1.3866585467156292,0.0,0.8582677165354331,1.4754758526115639,0.2220596181135372,-0.016201663784215857,0.7595823002613455,2.5,sample_iii_mixed,1.1989407471363538,1.5643713063557656
