run,group,control_stratum,n,downstream,p04_duplicate_charge,integral_charge,log_p04_duplicate_charge
44,high_20nA,baseline_excursion|amp_1p5_2p5k|lowering_large|nonsaturated|B2,3,0,2297.0,2621.0,7.739359202689098
44,high_20nA,baseline_excursion|amp_2p5_4k|lowering_large|nonsaturated|B2,14,0,1303.5,9143.5,7.172808233373557
44,high_20nA,baseline_excursion|amp_4_7k|lowering_large|nonsaturated|B2,9,0,2979.0,28596.0,7.999342952713282
44,high_20nA,baseline_excursion|amp_7_12k|lowering_large|nonsaturated|B2,6,0,2882.5,57996.0,7.966413252143214
44,high_20nA,baseline_excursion|amp_7_12k|lowering_large|saturation_proxy|B2,1,0,3279.0,55831.0,8.095293776844649
44,high_20nA,dropout|amp_1_1p5k|lowering_large|nonsaturated|B2,4,0,2488.0,1691.0,7.81923445385907
44,high_20nA,novel_broad_template_mismatch|amp_2p5_4k|lowering_none|nonsaturated|B2,1,1,36514.0,34788.0,10.505451027673455
44,high_20nA,novel_broad_template_mismatch|amp_4_7k|lowering_none|nonsaturated|B2,5,4,55992.0,60338.0,10.932964102369375
44,high_20nA,novel_broad_template_mismatch|amp_4_7k|lowering_none|nonsaturated|B4,1,1,41831.0,47634.0,10.641392970437847
44,high_20nA,novel_delayed_peak|amp_1_1p5k|lowering_none|nonsaturated|B2,1,0,3522.5,1627.0,8.166926243772835
44,high_20nA,novel_delayed_peak|amp_1_1p5k|lowering_none|nonsaturated|B6,1,1,5286.0,4026.0,8.572817095164234
44,high_20nA,novel_delayed_peak|amp_1p5_2p5k|lowering_mild|nonsaturated|B4,1,1,4642.0,1883.0,8.442900586834382
44,high_20nA,novel_delayed_peak|amp_1p5_2p5k|lowering_mild|nonsaturated|B8,1,1,4785.0,2615.0,8.473241303887054
44,high_20nA,novel_delayed_peak|amp_1p5_2p5k|lowering_none|nonsaturated|B2,2,1,7436.5,3831.0,8.914155587032653
44,high_20nA,novel_delayed_peak|amp_2p5_4k|lowering_large|nonsaturated|B2,1,0,8158.5,5923.0,9.006815607531125
44,high_20nA,novel_delayed_peak|amp_2p5_4k|lowering_mild|nonsaturated|B2,1,0,23074.0,30036.0,10.046461721487235
44,high_20nA,novel_delayed_peak|amp_2p5_4k|lowering_none|nonsaturated|B2,2,0,22861.0,19438.5,10.03718768092397
44,high_20nA,novel_delayed_peak|amp_2p5_4k|lowering_none|nonsaturated|B4,4,4,9603.5,6163.75,9.169882894344907
44,high_20nA,novel_delayed_peak|amp_2p5_4k|lowering_none|nonsaturated|B8,2,2,12589.5,10164.75,9.440618412190991
44,high_20nA,novel_delayed_peak|amp_4_7k|lowering_none|nonsaturated|B2,7,1,23907.5,20290.0,10.081947496223698
44,high_20nA,novel_delayed_peak|amp_4_7k|lowering_none|nonsaturated|B4,3,3,28021.5,24172.5,10.240727351648726
44,high_20nA,novel_delayed_peak|amp_4_7k|lowering_none|saturation_proxy|B2,1,0,44687.0,40817.0,10.707437910562579
44,high_20nA,novel_early_pretrigger|amp_1_1p5k|lowering_large|nonsaturated|B2,52,0,1165.75,1746.5,7.06111993568843
44,high_20nA,novel_early_pretrigger|amp_1_1p5k|lowering_large|nonsaturated|B4,1,1,809.0,1325.0,6.695798917058491
44,high_20nA,novel_early_pretrigger|amp_1_1p5k|lowering_large|saturation_proxy|B2,1,0,555.0,5209.0,6.318968113746434
44,high_20nA,novel_early_pretrigger|amp_1p5_2p5k|lowering_large|nonsaturated|B2,38,0,1166.0,2286.0,7.061334366910438
44,high_20nA,novel_early_pretrigger|amp_1p5_2p5k|lowering_large|nonsaturated|B6,2,2,946.0,9851.5,6.852242569051878
44,high_20nA,novel_early_pretrigger|amp_1p5_2p5k|lowering_large|saturation_proxy|B2,3,0,2222.0,12699.0,7.706162970199576
44,high_20nA,novel_early_pretrigger|amp_2p5_4k|lowering_large|nonsaturated|B2,6,0,2340.25,21825.5,7.758013040251854
44,high_20nA,novel_early_pretrigger|amp_4_7k|lowering_large|nonsaturated|B2,1,0,3091.0,30904.5,8.036249942132116
44,high_20nA,pileup_or_long_tail|amp_2p5_4k|lowering_none|nonsaturated|B2,1,0,18543.5,15323.0,9.827874602316976
44,high_20nA,pileup_or_long_tail|amp_4_7k|lowering_none|nonsaturated|B2,1,0,22126.0,18271.0,10.004508666594857
44,high_20nA,pileup_or_long_tail|amp_4_7k|lowering_none|nonsaturated|B4,2,2,21284.25,17735.25,9.9657226415597
44,high_20nA,unassigned_common|amp_1_1p5k|lowering_large|nonsaturated|B2,7,0,2953.0,5960.0,7.990576881743923
44,high_20nA,unassigned_common|amp_1_1p5k|lowering_mild|nonsaturated|B2,7,0,6352.0,8830.0,8.756525002926972
44,high_20nA,unassigned_common|amp_1_1p5k|lowering_mild|saturation_proxy|B2,1,0,7041.0,7490.0,8.859505484519133
44,high_20nA,unassigned_common|amp_1_1p5k|lowering_none|nonsaturated|B2,63,0,8546.0,8767.0,9.05321861620397
44,high_20nA,unassigned_common|amp_1_1p5k|lowering_none|nonsaturated|B4,3,3,7239.0,7208.0,8.88723835429314
44,high_20nA,unassigned_common|amp_1_1p5k|lowering_none|nonsaturated|B6,2,2,8532.75,8634.5,9.051666980087935
44,high_20nA,unassigned_common|amp_1_1p5k|lowering_none|saturation_proxy|B2,4,0,8397.5,8329.0,9.035689321486448
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_large|nonsaturated|B2,15,4,5850.0,12009.0,8.674196940225903
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_large|nonsaturated|B6,1,1,2653.5,9555.0,7.88363480226795
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_large|nonsaturated|B8,1,1,4826.5,17026.0,8.48187684628867
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_mild|nonsaturated|B2,20,0,10053.75,15068.5,9.215700978218278
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_mild|nonsaturated|B6,1,1,8491.0,14979.5,9.046762057999363
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_none|nonsaturated|B2,142,2,14039.5,14252.0,9.549630064410048
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_none|nonsaturated|B4,5,5,12102.0,12029.0,9.401126007182267
44,high_20nA,unassigned_common|amp_1p5_2p5k|lowering_none|saturation_proxy|B2,7,1,15983.0,15855.0,9.679280936368654
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_large|nonsaturated|B2,25,0,11114.0,20432.5,9.315960853839867
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_mild|nonsaturated|B2,18,0,18916.0,25043.5,9.847763403763766
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_mild|saturation_proxy|B2,1,0,17454.5,27574.0,9.767352774041491
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_none|nonsaturated|B2,328,8,27435.75,27465.0,10.219602186462227
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_none|nonsaturated|B4,11,11,29704.0,26964.0,10.299036995856916
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_none|nonsaturated|B6,3,3,19574.0,20035.0,9.881957433985765
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_none|saturation_proxy|B2,32,1,27211.5,26825.0,10.211394957049487
44,high_20nA,unassigned_common|amp_2p5_4k|lowering_none|saturation_proxy|B6,1,1,20127.0,20087.0,9.909817476230998
44,high_20nA,unassigned_common|amp_4_7k|lowering_large|nonsaturated|B2,31,1,16518.0,34046.0,9.712205974370661
44,high_20nA,unassigned_common|amp_4_7k|lowering_large|nonsaturated|B4,1,1,12380.0,37276.0,9.423837546238587
44,high_20nA,unassigned_common|amp_4_7k|lowering_mild|nonsaturated|B2,20,0,29414.25,47915.5,10.289234529778188
44,high_20nA,unassigned_common|amp_4_7k|lowering_mild|nonsaturated|B4,1,1,21324.5,39500.0,9.967611925426151
44,high_20nA,unassigned_common|amp_4_7k|lowering_mild|saturation_proxy|B2,1,0,27664.0,47656.0,10.227887207923072
44,high_20nA,unassigned_common|amp_4_7k|lowering_none|nonsaturated|B2,617,12,47281.0,46618.0,10.763863802448526
44,high_20nA,unassigned_common|amp_4_7k|lowering_none|nonsaturated|B4,9,9,36919.0,40678.0,10.516481602659502
44,high_20nA,unassigned_common|amp_4_7k|lowering_none|nonsaturated|B6,2,2,43874.0,42458.5,10.689077168485634
44,high_20nA,unassigned_common|amp_4_7k|lowering_none|nonsaturated|B8,3,3,50585.0,47522.0,10.831410368639991
44,high_20nA,unassigned_common|amp_4_7k|lowering_none|saturation_proxy|B2,23,0,47646.0,47307.0,10.771553960123265
44,high_20nA,unassigned_common|amp_7_12k|lowering_large|nonsaturated|B2,18,6,71563.0,56481.5,11.17833345960585
44,high_20nA,unassigned_common|amp_7_12k|lowering_mild|nonsaturated|B2,6,0,42346.5,61355.0,10.653641052036846
44,high_20nA,unassigned_common|amp_7_12k|lowering_none|nonsaturated|B2,295,12,64130.0,61299.0,11.068667552142909
