heldout_run,train_rows,test_rows,feature_count,train_current_high_fraction,train_downstream_fraction
44,241221,1912,27,0.9757981270287412,0.032949038433635544
45,220120,23013,27,0.9734781028529893,0.03142376885335272
46,242456,677,27,0.9787136635100802,0.03321839838981094
47,237972,5161,27,0.9971551274939909,0.033361067688635636
48,229948,13185,27,0.9746116513298659,0.03198984118148451
49,229196,13937,27,0.974528351280127,0.03182429012722735
50,208876,34257,27,0.9720504031099791,0.03451808728623681
51,228838,14295,27,0.9744885027836286,0.03349094118983735
52,236200,6933,27,0.9752836579170194,0.03335309060118544
53,211747,31386,27,0.9724293614549439,0.034649841556196784
54,213468,29665,27,0.9726516386531002,0.03442202109918114
55,226292,16841,27,0.9742014742014742,0.03351863963374755
56,204201,38932,27,0.9714105219856906,0.03434850955676025
57,230194,12939,27,0.9746387829396075,0.03166025178762261
