method,n_runs,res68_abs_frac,res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95
observed_ceiling,7,0.2677586493020068,"[0.2585287911499107, 0.2764180785951135]",-0.20724104771334992,"[-0.21927586565236265, -0.1975388794947094]",0.17107745965399362,"[0.15401835656964233, 0.18525955090756022]"
traditional_template,7,0.2746063984094847,"[0.2589077131307524, 0.2915201249789301]",-0.07561028323221122,"[-0.09237169356259359, -0.06011786204243579]",0.3446151685689886,"[0.3326150262429336, 0.35964475585934297]"
ml_gbr_masked,7,0.08141019174450627,"[0.07681413131694963, 0.08499288273772077]",0.029638615409160424,"[0.026174177674646474, 0.032878255611859766]",0.7814678709397557,"[0.7638026711147381, 0.8022468676135505]"
