method,family,n_runs,n_events_total,n_events_mean_per_run,n_events_mean_per_run_ci95,timing_tail_frac_abs_gt5ns,timing_tail_frac_abs_gt5ns_ci95,tail_delta_vs_observed,tail_delta_vs_observed_ci95,timing_sigma68_ns,timing_sigma68_ns_ci95,sigma68_delta_vs_observed_ns,sigma68_delta_vs_observed_ns_ci95,timing_q95_abs_ns,timing_q95_abs_ns_ci95,q_template_median,q_template_median_ci95,amp_ratio_median,amp_ratio_median_ci95
observed_saturated,observed,7,249,35.57142857142857,"[14.989285714285716, 58.57857142857142]",0.6979816354816355,"[0.5829022704022704, 0.8251279266904264]",0.0,"[0.0, 0.0]",19.37500324801181,"[13.264528711323967, 26.19540235684005]",0.0,"[0.0, 0.0]",57.767997150073654,"[45.06087808590128, 69.13535378377485]",0.21842032851879023,"[0.20439407084908334, 0.23687423727123091]",1.0,"[1.0, 1.0]"
traditional_template,traditional,7,249,35.57142857142857,"[14.125, 58.87142857142855]",0.6979816354816355,"[0.5882854523479523, 0.8194960585585584]",0.0,"[0.0, 0.0]",19.374212509358507,"[13.250899872034484, 25.961191597854604]",-0.000790738653303131,"[-0.015423567238045674, 0.01305135127813628]",57.74387890425562,"[42.41298227050203, 67.92435944380212]",0.21842032851879023,"[0.20325498505470233, 0.2347775177069245]",1.0,"[1.0, 1.0]"
ml_corrected,ml,7,249,35.57142857142857,"[14.135714285714286, 58.57857142857142]",0.6974090849090848,"[0.5789938186813186, 0.8120648120648121]",-0.0005725505725505675,"[-0.03060918060918064, 0.030929280929280965]",19.58211218987574,"[13.635738955242829, 25.696000882290978]",0.20710894186393677,"[-0.005719273358662128, 0.4962681026059056]",58.3662230817178,"[45.8322166876664, 69.0297198930348]",0.22206349393685457,"[0.20863689118267084, 0.23785112569858682]",1.1266327617437233,"[1.1161442408257976, 1.1374454300105108]"
ml_p07e_nuisance_low,ml_nuisance,7,249,35.57142857142857,"[15.417857142857144, 60.71785714285714]",0.700583688083688,"[0.5986263736263736, 0.8339170214170214]",0.002602052602052612,"[-0.020646181896181916, 0.030929280929280965]",19.522850979579918,"[13.374546271475948, 26.833127714119623]",0.14784773156810996,"[-0.009680876978394386, 0.34093099731117893]",58.15883543531216,"[43.57644130881115, 68.75555017431714]",0.2188956662874379,"[0.20409308275525853, 0.23632707038442155]",1.0603656816163223,"[1.0507777232257958, 1.0698451676495444]"
ml_p07e_nuisance_high,ml_nuisance,7,249,35.57142857142857,"[15.417857142857144, 58.42857142857143]",0.7112068112068111,"[0.6040020377520376, 0.8296905834405834]",0.013225175725175722,"[-0.01145431145431148, 0.04189560439560442]",19.755070315098145,"[13.766443182035895, 26.83549012432758]",0.38006706708633636,"[-0.06277727171629155, 0.8626883419896475]",59.30063467611652,"[45.55901524158969, 69.55884194987796]",0.2366831988977514,"[0.22471370856815734, 0.24986028919360712]",1.2594302478723876,"[1.2488600513677797, 1.2711258521208442]"
