run,method,n,res68_abs_frac,bias_median_frac,frac_within10
58,observed_ceiling,3753,0.28487142273319427,-0.2271278137378031,0.138822275512923
58,traditional_template,3753,0.29389251831162005,-0.04655333072909451,0.3842259525712763
58,ml_gbr_masked,3753,0.07029003786381217,0.031262433974985446,0.8398614441779909
59,observed_ceiling,2270,0.26695888350807523,-0.20338559338016404,0.1841409691629956
59,traditional_template,2270,0.2947881242590554,-0.06592204154236103,0.32599118942731276
59,ml_gbr_masked,2270,0.08425371112891218,0.022117314962356506,0.7594713656387665
60,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,traditional_template,1805,0.24357034795763993,-0.11445649767544831,0.33130193905817173
60,ml_gbr_masked,1805,0.08872073015699575,0.036004608062840684,0.7523545706371191
61,observed_ceiling,2073,0.2533134216912451,-0.1928160629603471,0.19536903039073805
61,traditional_template,2073,0.24776401059404185,-0.1033400582828962,0.3420164013506995
61,ml_gbr_masked,2073,0.08167519551602609,0.030095204816138338,0.7819585142305837
62,observed_ceiling,2135,0.2569364950856516,-0.1972707204495284,0.1882903981264637
62,traditional_template,2135,0.26064486288115096,-0.07914868861031839,0.3517564402810304
62,ml_gbr_masked,2135,0.08476948421110414,0.03308791658019165,0.7690866510538642
63,observed_ceiling,2436,0.2851909424561208,-0.22529414431266293,0.1568144499178982
63,traditional_template,2436,0.3022017742880969,-0.05544445520683751,0.33045977011494254
63,ml_gbr_masked,2436,0.07808876252873222,0.02389240916616843,0.7931034482758621
65,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,traditional_template,2496,0.2793831505747874,-0.06440691057852271,0.34655448717948717
65,ml_gbr_masked,2496,0.08207342080596135,0.031010420301441903,0.7744391025641025
