file,path,filename_token_hit,entries,trigger_branch_present,non_beam_trigger_entries,unique_triggers
hrda_run_0000.root,data/root/root/hrda_run_0000.root,False,0,True,0,
hrda_run_0001.root,data/root/root/hrda_run_0001.root,False,0,True,0,
hrda_run_0002.root,data/root/root/hrda_run_0002.root,False,0,True,0,
hrda_run_0003.root,data/root/root/hrda_run_0003.root,False,0,True,0,
hrda_run_0012.root,data/root/root/hrda_run_0012.root,False,15043,True,0,1
hrda_run_0013.root,data/root/root/hrda_run_0013.root,False,51109,True,0,1
hrda_run_0014.root,data/root/root/hrda_run_0014.root,False,3495,True,0,1
hrda_run_0015.root,data/root/root/hrda_run_0015.root,False,103882,True,0,1
hrda_run_0016.root,data/root/root/hrda_run_0016.root,False,11984,True,0,1
hrda_run_0017.root,data/root/root/hrda_run_0017.root,False,5670,True,0,1
hrda_run_0018.root,data/root/root/hrda_run_0018.root,False,75391,True,0,1
hrda_run_0019.root,data/root/root/hrda_run_0019.root,False,73816,True,0,1
hrda_run_0020.root,data/root/root/hrda_run_0020.root,False,57759,True,0,1
hrda_run_0021.root,data/root/root/hrda_run_0021.root,False,0,True,0,
hrda_run_0022.root,data/root/root/hrda_run_0022.root,False,0,True,0,
hrda_run_0023.root,data/root/root/hrda_run_0023.root,False,3815,True,0,1
hrda_run_0024.root,data/root/root/hrda_run_0024.root,False,24988,True,0,1
hrda_run_0025.root,data/root/root/hrda_run_0025.root,False,3315,True,0,1
hrda_run_0026.root,data/root/root/hrda_run_0026.root,False,54079,True,0,1
hrda_run_0027.root,data/root/root/hrda_run_0027.root,False,34986,True,0,1
hrda_run_0028.root,data/root/root/hrda_run_0028.root,False,5222,True,0,1
hrda_run_0029.root,data/root/root/hrda_run_0029.root,False,25873,True,0,1
hrda_run_0030.root,data/root/root/hrda_run_0030.root,False,5243,True,0,1
hrda_run_0031.root,data/root/root/hrda_run_0031.root,False,39994,True,0,1
hrda_run_0032.root,data/root/root/hrda_run_0032.root,False,41913,True,0,1
hrda_run_0033.root,data/root/root/hrda_run_0033.root,False,57167,True,0,1
hrda_run_0034.root,data/root/root/hrda_run_0034.root,False,39721,True,0,1
hrda_run_0035.root,data/root/root/hrda_run_0035.root,False,27764,True,0,1
hrda_run_0036.root,data/root/root/hrda_run_0036.root,False,21755,True,0,1
hrda_run_0037.root,data/root/root/hrda_run_0037.root,False,50511,True,0,1
hrda_run_0039.root,data/root/root/hrda_run_0039.root,False,30336,True,0,1
hrda_run_0040.root,data/root/root/hrda_run_0040.root,False,32645,True,0,1
hrda_run_0041.root,data/root/root/hrda_run_0041.root,False,34021,True,0,1
hrda_run_0042.root,data/root/root/hrda_run_0042.root,False,33976,True,0,1
hrda_run_0043.root,data/root/root/hrda_run_0043.root,False,13,True,0,1
hrda_run_0044.root,data/root/root/hrda_run_0044.root,False,4299,True,0,1
hrda_run_0045.root,data/root/root/hrda_run_0045.root,False,48208,True,0,1
hrda_run_0046.root,data/root/root/hrda_run_0046.root,False,1444,True,0,1
hrda_run_0047.root,data/root/root/hrda_run_0047.root,False,10982,True,0,1
hrda_run_0048.root,data/root/root/hrda_run_0048.root,False,31671,True,0,1
hrda_run_0049.root,data/root/root/hrda_run_0049.root,False,32325,True,0,1
hrda_run_0050.root,data/root/root/hrda_run_0050.root,False,44824,True,0,1
hrda_run_0051.root,data/root/root/hrda_run_0051.root,False,20566,True,0,1
hrda_run_0052.root,data/root/root/hrda_run_0052.root,False,10010,True,0,1
hrda_run_0053.root,data/root/root/hrda_run_0053.root,False,39621,True,0,1
hrda_run_0054.root,data/root/root/hrda_run_0054.root,False,37385,True,0,1
hrda_run_0055.root,data/root/root/hrda_run_0055.root,False,24409,True,0,1
hrda_run_0056.root,data/root/root/hrda_run_0056.root,False,51829,True,0,1
hrda_run_0057.root,data/root/root/hrda_run_0057.root,False,31275,True,0,1
hrda_run_0058.root,data/root/root/hrda_run_0058.root,False,34178,True,0,1
hrda_run_0059.root,data/root/root/hrda_run_0059.root,False,42314,True,0,1
hrda_run_0060.root,data/root/root/hrda_run_0060.root,False,36089,True,0,1
hrda_run_0061.root,data/root/root/hrda_run_0061.root,False,36550,True,0,1
hrda_run_0062.root,data/root/root/hrda_run_0062.root,False,37589,True,0,1
hrda_run_0063.root,data/root/root/hrda_run_0063.root,False,37040,True,0,1
hrda_run_0064.root,data/root/root/hrda_run_0064.root,False,35985,True,0,1
hrda_run_0065.root,data/root/root/hrda_run_0065.root,False,38429,True,0,1
hrdb_run_0012.root,data/root/root/hrdb_run_0012.root,False,14791,True,0,1
hrdb_run_0013.root,data/root/root/hrdb_run_0013.root,False,50629,True,0,1
hrdb_run_0014.root,data/root/root/hrdb_run_0014.root,False,3479,True,0,1
hrdb_run_0015.root,data/root/root/hrdb_run_0015.root,False,103871,True,0,1
hrdb_run_0016.root,data/root/root/hrdb_run_0016.root,False,11533,True,0,1
hrdb_run_0017.root,data/root/root/hrdb_run_0017.root,False,5648,True,0,1
hrdb_run_0018.root,data/root/root/hrdb_run_0018.root,False,75023,True,0,1
hrdb_run_0019.root,data/root/root/hrdb_run_0019.root,False,73470,True,0,1
hrdb_run_0020.root,data/root/root/hrdb_run_0020.root,False,57388,True,0,1
hrdb_run_0021.root,data/root/root/hrdb_run_0021.root,False,0,True,0,
hrdb_run_0022.root,data/root/root/hrdb_run_0022.root,False,0,True,0,
hrdb_run_0023.root,data/root/root/hrdb_run_0023.root,False,3806,True,0,1
hrdb_run_0024.root,data/root/root/hrdb_run_0024.root,False,24908,True,0,1
hrdb_run_0025.root,data/root/root/hrdb_run_0025.root,False,3315,True,0,1
hrdb_run_0026.root,data/root/root/hrdb_run_0026.root,False,53953,True,0,1
hrdb_run_0027.root,data/root/root/hrdb_run_0027.root,False,34979,True,0,1
hrdb_run_0028.root,data/root/root/hrdb_run_0028.root,False,5203,True,0,1
hrdb_run_0029.root,data/root/root/hrdb_run_0029.root,False,25800,True,0,1
hrdb_run_0030.root,data/root/root/hrdb_run_0030.root,False,5265,True,0,1
