endpoint,method,reference_method,delta_auc,delta_brier,delta_log_loss,delta_sigma68_ns,delta_rms_ns,delta_tail_fraction_abs_gt_5ns
electronics_epoch,1d_cnn,traditional_cfd_template_pedestal,-0.14187481333858687,0.157849025386947,0.9284764466572293,,,
electronics_epoch,gated_attention_waveform_new,traditional_cfd_template_pedestal,-0.16859229578692947,0.20290572832142273,3.4962364124826815,,,
electronics_epoch,gradient_boosted_trees,traditional_cfd_template_pedestal,-0.1460525188065488,0.1979610469318478,4.628014002355879,,,
electronics_epoch,mlp,traditional_cfd_template_pedestal,-0.16467902427380843,0.19966363183386693,4.908839111925969,,,
electronics_epoch,ridge,traditional_cfd_template_pedestal,0.0050540817165273255,-0.0035789340372718303,0.0014525845788053715,,,
forced_random_surrogate,1d_cnn,traditional_cfd_template_pedestal,-0.03629584646358541,0.030491754321930964,0.49094523974951887,,,
forced_random_surrogate,gated_attention_waveform_new,traditional_cfd_template_pedestal,-0.03721259337068161,0.0212087896393236,-0.04590077306925355,,,
forced_random_surrogate,gradient_boosted_trees,traditional_cfd_template_pedestal,0.018463322829131545,-0.087009226984051,-1.0879129089862474,,,
forced_random_surrogate,mlp,traditional_cfd_template_pedestal,0.021050894316059776,-0.2853495472641196,-0.49225775183110976,,,
forced_random_surrogate,ridge,traditional_cfd_template_pedestal,0.019974213643790928,-0.00878754413112448,-0.2655088790128559,,,
late_tail_memory,1d_cnn,traditional_cfd_template_pedestal,-0.28018923445366495,0.14466347022881404,1.4263324234538866,,,
late_tail_memory,gated_attention_waveform_new,traditional_cfd_template_pedestal,-0.05635010974843535,0.06509790922991941,0.2799300204622093,,,
late_tail_memory,gradient_boosted_trees,traditional_cfd_template_pedestal,-0.0023165997568399543,-0.003917013915667878,-0.006533287699699171,,,
late_tail_memory,mlp,traditional_cfd_template_pedestal,-0.010605870521325556,-6.993673456366645e-05,0.04754562881360966,,,
late_tail_memory,ridge,traditional_cfd_template_pedestal,1.5299503072219167e-06,-4.284943901009409e-05,-0.00017380637144290972,,,
pedestal_state,1d_cnn,traditional_cfd_template_pedestal,-0.18302671498103784,0.09275037610557155,0.8025833797017131,,,
pedestal_state,gated_attention_waveform_new,traditional_cfd_template_pedestal,-0.17889660222142334,0.07652524904043712,0.9183747735488988,,,
pedestal_state,gradient_boosted_trees,traditional_cfd_template_pedestal,0.019253680511542637,-0.016103898868610918,-0.10038651084578842,,,
pedestal_state,mlp,traditional_cfd_template_pedestal,-0.015724202856115643,-0.0009834649727267913,0.1378754751043494,,,
pedestal_state,ridge,traditional_cfd_template_pedestal,-0.0014516549484138164,0.0006840100426936113,0.0072499573033558695,,,
saturation_clipping,1d_cnn,traditional_cfd_template_pedestal,-0.06739327092204161,0.01939594350057692,0.0710432280577436,,,
saturation_clipping,gated_attention_waveform_new,traditional_cfd_template_pedestal,-0.10114790297814047,0.02276431098679075,0.04589986566310006,,,
saturation_clipping,gradient_boosted_trees,traditional_cfd_template_pedestal,0.1121089525876301,-0.022726636641768976,-0.21195352974902562,,,
saturation_clipping,mlp,traditional_cfd_template_pedestal,-0.04106281675653578,-0.003803231852403409,0.06893366397304662,,,
saturation_clipping,ridge,traditional_cfd_template_pedestal,-0.0023941239936517977,-3.721270056575299e-05,0.0017179556352154846,,,
timing_residual,1d_cnn,traditional_cfd_template_pedestal,,,,2.369589706955873,2.822013062001322,0.12552410901467506
timing_residual,gated_attention_waveform_new,traditional_cfd_template_pedestal,,,,2.2358667535025103,2.7517449798626403,0.11556603773584906
timing_residual,gradient_boosted_trees,traditional_cfd_template_pedestal,,,,-0.0007853789013053669,-0.04749771283201004,0.0
timing_residual,mlp,traditional_cfd_template_pedestal,,,,0.007837377054587924,-0.017809197562482004,0.0002620545073375262
timing_residual,ridge,traditional_cfd_template_pedestal,,,,0.04196024201404924,-0.028255851439655533,0.0002620545073375262
