check,value,pass
loro_runs_match_config,"58,59,60,61,62,63,65",True
train_heldout_event_id_overlap_max,0,True
features_exclude_run_event_residual_labels,,True
all_predictions_finite,137520,True
one_row_per_method_fold_shuffled_state,84,True
cnn1d_actual_tail_capture_ge_shuffled_proxy_median,0.3913043478260869,True
gradient_boosted_trees_actual_tail_capture_ge_shuffled_proxy_median,0.23529411764705885,True
mlp_actual_tail_capture_ge_shuffled_proxy_median,0.38596491228070173,True
ridge_actual_tail_capture_ge_shuffled_proxy_median,0.2352941176470588,True
siamese_cnn_meta_actual_tail_capture_ge_shuffled_proxy_median,0.3055555555555556,True
traditional_quantile_actual_tail_capture_ge_shuffled_proxy_median,0.1388888888888889,True
