method,comparison,metric,delta,ci95,n_pairs
ml_hgb_blind_train_dynamic_selector,dynamic_only_minus_matched_control,within_25pct,0.20861372812920587,"[0.033565259117082524, 0.279933595211373]",3715
ml_hgb_shuffled_train_dynamic_selector,dynamic_only_minus_matched_control,bias_median_frac,39.73485410115385,"[32.8023538695258, 43.29478190310541]",3715
ml_hgb_shuffled_train_dynamic_selector,dynamic_only_minus_matched_control,res68_abs_frac,53.689010255050036,"[39.014294664121486, 58.43677903485756]",3715
ml_hgb_shuffled_train_dynamic_selector,dynamic_only_minus_matched_control,full_rms_frac,33.671191667096906,"[29.526425932179798, 47.038837671133045]",3715
ml_hgb_shuffled_train_dynamic_selector,dynamic_only_minus_matched_control,within_10pct,-0.006998654104979811,"[-0.021593090211132437, -0.0015852974186307562]",3715
ml_hgb_shuffled_train_dynamic_selector,dynamic_only_minus_matched_control,within_25pct,-0.04495289367429341,"[-0.052771697713528444, -0.03838771593090211]",3715
ml_hgb_aware_train_dynamic_selector,dynamic_only_minus_matched_control,bias_median_frac,0.05520103857511733,"[0.0035656138610335834, 0.0860148069026327]",3715
ml_hgb_aware_train_dynamic_selector,dynamic_only_minus_matched_control,res68_abs_frac,-0.16946505577447737,"[-0.24496865938571902, -0.01624650534028534]",3715
ml_hgb_aware_train_dynamic_selector,dynamic_only_minus_matched_control,full_rms_frac,-0.07052657668893045,"[-0.11073194953708217, 0.04191213635789881]",3715
ml_hgb_aware_train_dynamic_selector,dynamic_only_minus_matched_control,within_10pct,0.288021534320323,"[0.10046785028790786, 0.3650533108866442]",3715
ml_hgb_aware_train_dynamic_selector,dynamic_only_minus_matched_control,within_25pct,0.253028263795424,"[0.023212571976967383, 0.350364758698092]",3715
