pair_id,run,stave,dynamic_index,control_index,match_distance,saturation_boundary,baseline_boundary
57:B2:0,57,B2,530476,537990,0.6601268705734565,False,True
57:B2:1,57,B2,530482,535595,0.5450551727677316,False,True
57:B2:2,57,B2,530495,544197,1.1386705031742674,False,True
57:B2:3,57,B2,530497,533289,0.6715096575740523,False,True
57:B2:4,57,B2,530501,540134,1.9614111258191016,False,True
57:B2:5,57,B2,530512,538329,0.5480329894964837,False,True
57:B2:6,57,B2,530514,533085,0.44621238729386925,False,True
57:B2:7,57,B2,530524,534863,0.7210986464720761,False,True
57:B2:8,57,B2,530532,534225,0.45155997482165633,False,True
57:B2:9,57,B2,530543,533030,2.1849903662353025,False,True
57:B2:10,57,B2,530546,534225,0.5956433521513442,False,True
57:B2:11,57,B2,530549,535595,0.8333931088900692,False,True
57:B2:12,57,B2,530551,531038,0.9835253027509464,False,True
57:B2:13,57,B2,530559,540134,1.4940903149099272,False,True
57:B2:14,57,B2,530569,535031,0.4430795525648988,False,True
57:B2:15,57,B2,530596,540694,0.48390368950778984,False,True
57:B2:16,57,B2,530597,537716,1.109165401134094,False,True
57:B2:17,57,B2,530602,544792,1.1403137650461408,False,True
57:B2:18,57,B2,530612,541730,0.8031763525735548,False,True
57:B2:19,57,B2,530638,544792,0.4370654843814694,False,True
57:B2:20,57,B2,530639,542009,0.6119670723455013,False,True
57:B2:21,57,B2,530640,543122,0.9401729304505909,False,True
57:B2:22,57,B2,530645,533030,1.822936637588929,False,True
57:B2:23,57,B2,530665,545893,0.9173911766429305,False,True
57:B2:24,57,B2,530674,540134,1.3531540409786473,False,True
57:B2:25,57,B2,530681,545152,0.6857221888491186,False,True
57:B2:26,57,B2,530685,538225,0.4585445985874813,False,True
57:B2:27,57,B2,530687,535031,1.7498360390515872,False,True
57:B2:28,57,B2,530701,540134,1.785500622045939,False,True
57:B2:29,57,B2,530712,534932,0.6838802070490728,False,True
57:B2:30,57,B2,530717,533030,1.720916105403206,False,True
57:B2:31,57,B2,530720,541633,0.6201811841978321,False,True
57:B2:32,57,B2,530725,532243,0.7209293120640635,False,True
57:B2:33,57,B2,530734,535135,0.3813602158732922,False,True
57:B2:34,57,B2,530744,533030,0.7001966701857439,False,True
57:B2:35,57,B2,530755,537452,0.7002181412494644,False,True
57:B2:36,57,B2,530777,546651,0.09252421631923712,False,True
57:B2:37,57,B2,530791,535595,0.6234296455854164,False,True
57:B2:38,57,B2,530797,538706,0.27206423006174474,False,True
57:B2:39,57,B2,530806,533030,0.3840213542773744,False,True
57:B2:40,57,B2,530812,533030,1.6111852451437532,False,True
57:B2:41,57,B2,530825,541398,1.100550738463836,False,True
57:B2:42,57,B2,530834,531688,1.8078126321559713,False,True
57:B2:43,57,B2,530837,539190,0.4324147098989059,False,True
57:B2:44,57,B2,530842,540600,0.780872260631549,True,True
57:B2:45,57,B2,530846,541633,0.6762806085505417,False,True
57:B2:46,57,B2,530853,537026,0.6707833647458529,False,True
57:B2:47,57,B2,530856,532609,0.42234124733951,False,True
57:B2:48,57,B2,530858,537716,0.8745439822293264,False,True
57:B2:49,57,B2,530868,533030,1.9351524393389647,False,True
57:B2:50,57,B2,530878,540134,1.733187191309759,False,True
57:B2:51,57,B2,530885,545994,0.5782600063954603,False,True
57:B2:52,57,B2,530890,533030,1.1483319289102085,False,True
57:B2:53,57,B2,530896,536298,0.5769304830931333,False,True
57:B2:54,57,B2,530943,531301,0.4497079674110218,False,True
57:B2:55,57,B2,530946,541305,0.42116906785609015,False,True
57:B2:56,57,B2,530952,532373,0.8296286744576025,False,True
57:B2:57,57,B2,530988,537452,0.794170252695199,False,True
57:B2:58,57,B2,530989,544197,1.9522259601874703,False,True
57:B2:59,57,B2,530990,533030,1.2761851414378236,False,True
57:B2:60,57,B2,531004,545152,0.6631447116550105,False,True
57:B2:61,57,B2,531006,539304,1.1841358253699936,True,True
57:B2:62,57,B2,531021,543741,0.5364254554406528,False,True
57:B2:63,57,B2,531027,540134,1.3829475677851937,False,True
57:B2:64,57,B2,531028,534893,0.42706810747081403,False,True
57:B2:65,57,B2,531031,544197,0.8211441756715893,False,True
57:B2:66,57,B2,531041,546740,0.9858578789833035,False,True
57:B2:67,57,B2,531043,545893,0.8962981428627905,False,True
57:B2:68,57,B2,531044,537716,1.1268227774703101,False,True
57:B2:69,57,B2,531051,533030,1.7955083550185482,False,True
57:B2:70,57,B2,531057,541633,0.668507871016047,False,True
57:B2:71,57,B2,531066,544197,2.1715519862555945,False,True
57:B2:72,57,B2,531073,533030,1.8240749711557678,False,True
57:B2:73,57,B2,531080,532391,0.5532144877213258,False,True
57:B2:74,57,B2,531094,534225,0.8396597818287428,False,True
57:B2:75,57,B2,531098,540134,1.885497883398464,False,True
57:B2:76,57,B2,531116,533030,0.5491496551744873,False,True
57:B2:77,57,B2,531120,533030,2.6162475881741445,False,True
57:B2:78,57,B2,531121,533496,0.31672111236614686,False,False
57:B2:79,57,B2,531136,541132,0.566870176807313,False,True
57:B2:80,57,B2,531151,545893,0.8376395037582048,False,True
57:B2:81,57,B2,531156,546778,0.5080636452378272,False,True
57:B2:82,57,B2,531165,534422,0.7050511399890177,False,True
57:B2:83,57,B2,531169,540134,2.2980557722872126,False,True
57:B2:84,57,B2,531173,532635,0.3864523354109909,False,True
57:B2:85,57,B2,531181,535031,1.317198658530752,False,True
57:B2:86,57,B2,531183,546032,0.43826996763638565,False,True
57:B2:87,57,B2,531194,531688,0.49293587169613934,False,True
57:B2:88,57,B2,531215,544197,1.3050412427178948,False,True
57:B2:89,57,B2,531225,540134,0.9070915218733515,False,True
57:B2:90,57,B2,531241,540134,1.931637721749658,False,True
57:B2:91,57,B2,531243,532507,0.7198620670598219,False,True
57:B2:92,57,B2,531252,534366,0.8998000136505727,False,True
57:B2:93,57,B2,531268,540134,1.9962445822200339,False,True
57:B2:94,57,B2,531270,540134,1.9378528317001513,False,True
57:B2:95,57,B2,531285,546740,0.980771812638393,False,True
57:B2:96,57,B2,531313,540970,0.5972914993744114,False,True
57:B2:97,57,B2,531356,531632,0.7915421305914224,False,True
57:B2:98,57,B2,531359,539716,0.6434649663164389,False,True
57:B2:99,57,B2,531369,535031,0.7324138365696858,False,True
57:B2:100,57,B2,531371,537716,0.9434300848367794,False,True
57:B2:101,57,B2,531376,544792,1.250434331423845,False,True
57:B2:102,57,B2,531380,532871,0.7427095384808498,False,True
57:B2:103,57,B2,531381,533289,0.6858763471282233,False,True
57:B2:104,57,B2,531393,540134,1.318647311980299,False,True
57:B2:105,57,B2,531396,531688,1.3977956818707524,False,True
57:B2:106,57,B2,531400,543584,0.5783999964579338,False,True
57:B2:107,57,B2,531403,544197,2.4815661284761856,False,True
57:B2:108,57,B2,531414,533030,1.775815458235974,False,True
57:B2:109,57,B2,531422,532243,0.6772122972299114,False,True
57:B2:110,57,B2,531429,540134,1.8279094934419062,False,True
57:B2:111,57,B2,531434,540134,1.260639961628231,False,True
57:B2:112,57,B2,531441,532624,0.6230168552538352,False,True
57:B2:113,57,B2,531458,544197,2.3528976407708972,False,True
57:B2:114,57,B2,531469,540134,1.7786964252031638,False,True
57:B2:115,57,B2,531472,538350,1.0901760555344309,False,True
57:B2:116,57,B2,531477,540134,1.2622265193932205,False,True
57:B2:117,57,B2,531481,537272,0.1705271282863482,False,True
57:B2:118,57,B2,531482,540134,1.464765600498689,False,True
57:B2:119,57,B2,531484,541876,0.3871115495518717,False,True
57:B2:120,57,B2,531489,544197,1.638996611989317,False,True
57:B2:121,57,B2,531499,537026,0.5580267551663494,False,True
57:B2:122,57,B2,531503,537452,0.7228816486344857,False,True
57:B2:123,57,B2,531505,532749,0.684951425786715,False,True
57:B2:124,57,B2,531518,546778,0.18265329057991075,False,True
57:B2:125,57,B2,531526,539190,0.8246552134204882,False,True
57:B2:126,57,B2,531531,546772,0.5604339750243931,False,True
57:B2:127,57,B2,531532,541633,0.6976060519784497,False,True
57:B2:128,57,B2,531535,535031,1.4565786136019243,False,True
57:B2:129,57,B2,531541,544197,2.381934188640661,False,True
57:B2:130,57,B2,531548,544197,2.338790828574905,False,True
57:B2:131,57,B2,531550,539670,0.7806082997055731,False,True
