species,kinetic_energy_MeV,run_id,n_heldout,edep_mean_MeV,edep_median_MeV,median_bias_fraction,sigma68_fraction,rms_fraction,tail_fraction,saturation_fraction_mean
deuteron,110.0,deuteron_110,200,28.582263937963933,26.5492692778059,0.09888832676807205,0.09095304015374477,0.19607175709559538,0.165,0.0
proton,60.0,proton_60,200,28.665770264738658,27.589965533022934,0.1030478098551432,0.08293683811378619,0.15866492653768804,0.135,0.0
