method,contrast,matched_controls,n_cells,delta_abs_frac,delta_abs_frac_ci95
ML_extratrees_without_pretrigger,high_pretrigger_minus_quiet_reference,run+stave+amp_bin+peak_bin+is_saturated,177,0.0516936223024902,"[0.0440058113051316, 0.05883319741495225]"
traditional_dropout_cell_corrected,high_pretrigger_minus_quiet_reference,run+stave+amp_bin+peak_bin+is_saturated,177,1.35763208199908,"[1.2517341506439645, 1.4596159938769548]"
ML_hgb_with_pretrigger,high_pretrigger_minus_quiet_reference,run+stave+amp_bin+peak_bin+is_saturated,177,0.0422817980113833,"[0.03484249581417634, 0.05086687676669042]"
ML_hgb_without_pretrigger,high_pretrigger_minus_quiet_reference,run+stave+amp_bin+peak_bin+is_saturated,177,0.0420966512483111,"[0.03484295584798306, 0.0487958508324434]"
