run,events,B2_selected,B4_selected,B6_selected,B8_selected,selected_pulses
31,39990,26948,592,237,94,27871
32,41921,27316,605,224,95,28240
33,57173,47724,559,318,136,48737
34,39765,33373,412,244,89,34118
35,27786,11029,403,163,72,11667
36,21764,9847,340,143,61,10391
37,50513,22956,997,423,161,24537
39,30321,13174,663,273,108,14218
40,32613,13575,707,310,116,14708
41,33997,14963,758,298,127,16146
42,33972,16977,711,307,117,18112
44,4294,1884,93,44,17,2038
45,48181,22786,969,401,177,24333
46,1441,675,7,3,2,687
47,10970,5116,85,50,25,5276
48,31713,13044,599,245,112,14000
49,32354,13779,640,281,115,14815
50,44804,34088,659,330,140,35217
51,20569,14200,303,177,60,14740
52,10005,6893,148,76,35,7152
53,39612,31225,559,296,120,32200
54,37413,29493,536,298,113,30440
55,24416,16735,372,199,81,17387
56,51823,38730,825,421,172,40148
57,31284,12774,656,273,130,13833
58,34141,15791,591,285,114,16781
59,42303,13565,4527,2366,919,21377
60,36074,9873,4040,2189,927,17029
61,36535,11015,4401,2490,1059,18965
62,37584,11635,4183,2342,929,19089
63,37030,14566,2645,1153,453,18817
64,35943,11907,1689,763,271,14630
65,38424,11768,842,323,105,13038
