method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,note,brier,brier_ci_low,brier_ci_high
traditional_span_q_template,0.9123003041762775,0.8830170102622439,0.9290946756542092,0.9605694808479471,0.9154076100886507,0.9766331978833739,Uses downstream span; overlaps weak-label definition,,,
traditional_q_template_only,0.7170512362696387,0.6912384788762793,0.7402800880119584,0.8819347532942992,0.8175738354751667,0.907882388768608,No timing-span feature,,,
rf_clean_timing,0.9934725824756305,0.9913841725600907,0.9952618065356755,0.9977874576233497,0.9958919888951137,0.9985585759078093,"RF excludes timing spans, pair residuals, run, and sample",0.02684066097372348,0.024411099858888265,0.030259812052438308
leaky_rf_control,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,RF with forbidden label-defining timing spans,0.0023624259824182496,0.002141585105792596,0.002664287583802459
