stress,method,n_events,time_sigma68_ns,leading_edge_time_sigma68_ns,secondary_pulse_delay_sigma68_ns,pileup_miss_rate,false_split_rate,energy_proxy_distortion_sigma68
pretrigger_pedestal_clean_control,1d_cnn,588,,,,,0.2602040816326531,
pretrigger_pedestal_clean_control,causal_window_transformer_new,588,,,,,0.1921768707482993,
pretrigger_pedestal_clean_control,gradient_boosted_trees,588,,,,,0.2193877551020408,
pretrigger_pedestal_clean_control,leading_edge_cfd_traditional,588,,,,,0.8673469387755102,
pretrigger_pedestal_clean_control,mlp,588,,,,,0.20238095238095238,
pretrigger_pedestal_clean_control,residual_tail_veto_traditional,588,,,,,0.2465986394557823,
pretrigger_pedestal_clean_control,ridge,588,,,,,0.24149659863945577,
pretrigger_pedestal_clean_control,template_residual_boosted_stack_new,588,,,,,0.20578231292517007,
pretrigger_pedestal_clean_control,tiny_sequence_transformer,588,,,,,0.23639455782312926,
pretrigger_pedestal_clean_control,two_pulse_template_likelihood_traditional,588,,,,,0.17346938775510204,
pretrigger_pedestal_clean_control,wiener_tail_deconvolution_traditional,588,,,,,0.4574829931972789,
synthetic_over_real_tight_sep_le_15ns,1d_cnn,264,8.280943406664402,6.643156737545364,7.3887009620666495,0.4128787878787879,,0.08116000377611624
synthetic_over_real_tight_sep_le_15ns,causal_window_transformer_new,264,11.398588168215309,13.434249136534953,10.644459629058838,0.5075757575757576,,0.07600274012504055
synthetic_over_real_tight_sep_le_15ns,gradient_boosted_trees,264,5.848881937457039,3.917525831026034,7.073860722710732,0.36363636363636365,,0.052525443216104986
synthetic_over_real_tight_sep_le_15ns,leading_edge_cfd_traditional,264,12.307427537846632,9.302320255802982,5.0,0.04924242424242424,,0.22637840821083216
synthetic_over_real_tight_sep_le_15ns,mlp,264,8.463515093482272,5.699184540244005,10.911450490879455,0.3446969696969697,,0.11425474949658765
synthetic_over_real_tight_sep_le_15ns,residual_tail_veto_traditional,264,11.876277926877526,6.479690027856588,21.250000000000004,0.7045454545454546,,0.07357909085945999
synthetic_over_real_tight_sep_le_15ns,ridge,264,8.656734414123028,5.159949658176453,7.69638584661538,0.32575757575757575,,0.06162546615686547
synthetic_over_real_tight_sep_le_15ns,template_residual_boosted_stack_new,264,6.0894916078387755,3.7312417136777847,7.563471035055391,0.3977272727272727,,0.05890286107619665
synthetic_over_real_tight_sep_le_15ns,tiny_sequence_transformer,264,11.528250085654452,13.92961939075524,15.170663547515868,0.4772727272727273,,0.08319950486235925
synthetic_over_real_tight_sep_le_15ns,two_pulse_template_likelihood_traditional,264,10.856868642145095,5.539079204185231,19.049999999999994,0.7386363636363636,,0.07384223345935664
synthetic_over_real_tight_sep_le_15ns,wiener_tail_deconvolution_traditional,264,16.489431658135384,6.856878301242844,10.199101582004815,0.6931818181818182,,0.13882080860097334
synthetic_over_real_saturated_sum_gt_11000adc,1d_cnn,26,6.514919831911484,6.443578895444261,11.435062122344972,0.07692307692307693,,0.07747495872491403
synthetic_over_real_saturated_sum_gt_11000adc,causal_window_transformer_new,26,13.411515124551194,13.929053462254238,12.279740047454835,0.11538461538461539,,0.06645421532015425
synthetic_over_real_saturated_sum_gt_11000adc,gradient_boosted_trees,26,5.54184471266861,5.27833406792133,8.052543869142763,0.038461538461538464,,0.04303253586275821
synthetic_over_real_saturated_sum_gt_11000adc,leading_edge_cfd_traditional,26,18.865552231397576,12.218719074086772,20.0,0.0,,0.19824678429650244
synthetic_over_real_saturated_sum_gt_11000adc,mlp,26,9.796744695995407,6.884512951231727,13.52643569841704,0.0,,0.08188717876977686
synthetic_over_real_saturated_sum_gt_11000adc,residual_tail_veto_traditional,26,8.509744016505847,8.333294630019063,11.4,0.6153846153846154,,0.034994585528538985
synthetic_over_real_saturated_sum_gt_11000adc,ridge,26,8.510641329949282,8.457702988734766,9.321224641973368,0.0,,0.0470910377953626
